subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.85553772070626,0.6944444444444444,0.6857142857142857,0.71875,0.6944444444444444,0.38888888888888884
VP002,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.8805472602264046,0.6944444444444444,0.674074074074074,0.7592592592592593,0.6944444444444444,0.38888888888888884
VP003,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8499814791949623,0.9305555555555556,0.9305421570519004,0.930888030888031,0.9305555555555556,0.8611111111111112
VP004,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8859624046789409,0.8055555555555556,0.804953560371517,0.809375,0.8055555555555556,0.6111111111111112
VP005,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8777626867514507,0.8194444444444444,0.8194096083349411,0.8196911196911197,0.8194444444444444,0.6388888888888888
VP006,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8805325101292688,0.8194444444444444,0.8185694902112812,0.8257277734067663,0.8194444444444444,0.6388888888888888
VP007,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.872028685357485,0.875,0.873807205452775,0.8897353648757017,0.875,0.75
VP008,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.824836459966481,0.9722222222222222,0.9722007722007722,0.9736842105263157,0.9722222222222222,0.9444444444444444
VP009,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8610038610038611,0.9166666666666666,0.9164086687306501,0.921875,0.9166666666666667,0.8333333333333334
VP010,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8693224383876923,0.7916666666666666,0.7916264711557013,0.7918918918918919,0.7916666666666667,0.5833333333333333
VP011,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8803995951510843,0.75,0.7401764234161989,0.7945454545454546,0.75,0.5
VP012,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8527766417950755,0.9861111111111112,0.9861084314103801,0.9864864864864865,0.9861111111111112,0.9722222222222222
VP013,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.8777740053705361,0.9027777777777778,0.9018500486854917,0.9186046511627908,0.9027777777777778,0.8055555555555556
VP014,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8694192552575728,0.9583333333333334,0.9582608695652174,0.9615384615384616,0.9583333333333333,0.9166666666666666
VP015,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.8527766417950755,0.8888888888888888,0.8885448916408669,0.89375,0.8888888888888888,0.7777777777777778
VP016,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.847192745514181,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9444444444444444
VP017,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8833189282627485,0.8055555555555556,0.8041958041958042,0.8142857142857143,0.8055555555555556,0.6111111111111112
VP018,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.8415676464456953,0.8472222222222222,0.8464818763326225,0.8540519276160503,0.8472222222222222,0.6944444444444444
VP019,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8943629343629345,0.8888888888888888,0.8881118881118881,0.9,0.8888888888888888,0.7777777777777778
VP020,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.8916658307548669,0.8333333333333334,0.8321678321678322,0.8428571428571429,0.8333333333333333,0.6666666666666667
VP021,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8499583217560434,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8888888888888888
VP022,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.8777777777777778,0.8472222222222222,0.8469565217391304,0.8496503496503496,0.8472222222222222,0.6944444444444444
VP023,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.886039886039886,0.8194444444444444,0.8191304347826087,0.8216783216783217,0.8194444444444444,0.6388888888888888
VP024,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8499953702274762,0.75,0.7450826121164438,0.7709030100334449,0.75,0.5
VP025,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8749913188415862,0.9861111111111112,0.9861084314103801,0.9864864864864865,0.9861111111111112,0.9722222222222222
VP026,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.9027169758877076,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666667
