subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8555238461116295,0.7037037037037037,0.6931818181818181,0.7360890302066773,0.7037037037037037,0.40740740740740744
VP002,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.836532507739938,0.8333333333333334,0.8331043956043955,0.8351724137931034,0.8333333333333333,0.6666666666666667
VP003,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8423065162795331,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.8148148148148149
VP004,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8719019771651351,0.5,0.36359668267132256,0.5,0.5,0.0
VP005,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8419285406801549,0.8425925925925926,0.8422544892172867,0.8455551712210307,0.8425925925925926,0.6851851851851851
VP006,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8388220077604218,0.8703703703703703,0.8699690402476781,0.875,0.8703703703703703,0.7407407407407407
VP007,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8162728756766044,0.9259259259259259,0.9259005145797599,0.926510989010989,0.9259259259259259,0.8518518518518519
VP008,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.8678291086221339,0.9537037037037037,0.9536042615344962,0.9576271186440678,0.9537037037037037,0.9074074074074074
VP009,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8740585257439191,0.8981481481481481,0.8977184674989238,0.9049529124520405,0.8981481481481481,0.7962962962962963
VP010,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.8109010011123471,0.7962962962962963,0.7956656346749226,0.8,0.7962962962962963,0.5925925925925926
VP011,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8497728045500912,0.7129629629629629,0.6993264481365065,0.7601591956430667,0.712962962962963,0.42592592592592593
VP012,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.84367030149299,0.9537037037037037,0.9536997342021778,0.9538593481989708,0.9537037037037037,0.9074074074074074
VP013,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8758539757266729,0.8240740740740741,0.8240589899682758,0.8241852487135506,0.8240740740740741,0.6481481481481481
VP014,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8536188669015994,0.8888888888888888,0.8888507718696398,0.8894230769230769,0.8888888888888888,0.7777777777777778
VP015,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.857324718372445,0.8518518518518519,0.8505707367692841,0.8643465909090908,0.8518518518518519,0.7037037037037037
VP016,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8591027067111605,0.8796296296296297,0.8793710799896899,0.8829124870287097,0.8796296296296297,0.7592592592592593
VP017,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8462324901622416,0.8703703703703703,0.8703259005145798,0.8708791208791209,0.8703703703703703,0.7407407407407407
VP018,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8662538699690403,0.8055555555555556,0.8035172832019406,0.818783542039356,0.8055555555555556,0.6111111111111112
VP019,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.836893843703663,0.8703703703703703,0.8699690402476781,0.875,0.8703703703703703,0.7407407407407407
VP020,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8603828612205641,0.8888888888888888,0.8885448916408669,0.89375,0.8888888888888888,0.7777777777777778
VP021,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.8511145728504667,0.8240740740740741,0.8214876033057852,0.8440116490717147,0.8240740740740741,0.6481481481481481
VP022,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8518498196134378,0.8796296296296297,0.8796193089256623,0.8797598627787306,0.8796296296296295,0.7592592592592593
VP023,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.8607630186577555,0.8981481481481481,0.8980694980694981,0.8993808049535603,0.8981481481481481,0.7962962962962963
VP024,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.866600790513834,0.7314814814814815,0.7296037296037297,0.7380952380952381,0.7314814814814814,0.4629629629629629
VP025,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8498140702309787,0.9722222222222222,0.9722007722007722,0.9736842105263157,0.9722222222222222,0.9444444444444444
VP026,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.845571286320207,0.8518518518518519,0.8518010291595197,0.8523351648351649,0.8518518518518519,0.7037037037037037
