subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.7306397306397306,0.65,0.6491228070175439,0.6515151515151515,0.6499999999999999,0.30000000000000004
VP002,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7216975332789395,0.75,0.7499305362600722,0.7502780867630701,0.75,0.5
VP003,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7233056638997233,0.5833333333333334,0.5832175604334537,0.5834260289210234,0.5833333333333333,0.16666666666666663
VP004,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.6750745318728436,0.5,0.4949494949494949,0.5,0.5,0.0
VP005,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.6814610320662562,0.75,0.7493734335839599,0.7525252525252526,0.75,0.5
VP006,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.6815574325850309,0.85,0.8499583217560434,0.850389321468298,0.8500000000000001,0.7
VP007,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.7027752112299763,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.4666666666666667
VP008,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.7296365113096497,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.2666666666666667
VP009,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6766343300996767,0.6833333333333333,0.6723196320781835,0.7118100128369704,0.6833333333333333,0.3666666666666667
VP010,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6799431009957326,0.6333333333333333,0.6266968325791855,0.6435406698564593,0.6333333333333333,0.2666666666666667
VP011,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6941896024464831,0.6166666666666667,0.607843137254902,0.6282051282051282,0.6166666666666667,0.23333333333333328
VP012,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6491228070175439,0.6166666666666667,0.6157059314954052,0.6178451178451179,0.6166666666666667,0.23333333333333328
VP013,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6983779436078467,0.75,0.7482517482517483,0.7571428571428571,0.75,0.5
VP014,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.702377634849684,0.7666666666666667,0.7664071190211346,0.7678571428571428,0.7666666666666666,0.5333333333333333
VP015,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6951081801346041,0.65,0.6378269617706237,0.6732991014120667,0.65,0.30000000000000004
VP016,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.6928418803418803,0.8666666666666667,0.8665183537263625,0.8683035714285714,0.8666666666666667,0.7333333333333334
VP017,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6651785714285714,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.4666666666666667
VP018,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.7061965811965811,0.6166666666666667,0.6033342914630642,0.634788189987163,0.6166666666666667,0.23333333333333328
VP019,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7159565580618212,0.7,0.6945701357466063,0.715311004784689,0.7,0.4
VP020,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.7331435687600072,0.7666666666666667,0.765625,0.7714932126696833,0.7666666666666666,0.5333333333333333
VP021,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.7058299162060973,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666667
VP022,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6895826611333014,0.7,0.6875,0.7380952380952381,0.7,0.4
VP023,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7395833333333333,0.6666666666666666,0.6632996632996633,0.6736111111111112,0.6666666666666667,0.33333333333333337
VP024,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6966632962588473,0.7,0.6914285714285715,0.7250000000000001,0.7,0.4
VP025,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.7159565580618212,0.6,0.5995550611790879,0.6004464285714286,0.6,0.19999999999999996
VP026,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6842953741435672,0.75,0.7442455242966752,0.7747252747252746,0.75,0.5
