subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,"{""C"": 100.0, ""gamma"": ""auto""}",0.7468131868131869,0.84375,0.8434503541935736,0.8464021413950559,0.84375,0.6875
B62,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7749208706185768,0.65,0.6497811131957474,0.650375939849624,0.65,0.30000000000000004
B63,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7749978027129172,0.71875,0.718475073313783,0.7196078431372549,0.71875,0.4375
B64,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7483877426932573,0.73125,0.7274059986528785,0.7450736876966385,0.73125,0.4625
B65,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7843560469181862,0.8125,0.8117647058823529,0.8174603174603174,0.8125,0.625
B66,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7655677655677655,0.73125,0.7299737038345304,0.7357063226628444,0.73125,0.4625
B67,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7421868705734145,0.8875,0.8875,0.8875,0.8875,0.775
B68,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7858742450772811,0.66875,0.6640120448512223,0.6788375558867362,0.66875,0.3375
B69,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.773392687518772,0.73125,0.7309872922776148,0.7321568627450981,0.73125,0.4625
B70,"{""C"": 100.0, ""gamma"": ""auto""}",0.7687138615408657,0.7625,0.7621655452980755,0.7639849151477058,0.7625,0.525
B71,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7482992366412213,0.75,0.7467953790156671,0.7633311389071757,0.75,0.5
B72,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7558470522639904,0.85,0.8499765588373183,0.8502188868042526,0.8500000000000001,0.7
B73,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7419600771187497,0.71875,0.7128156036855331,0.7384602282405042,0.71875,0.4375
B74,"{""C"": 100.0, ""gamma"": ""auto""}",0.7640342716780084,0.64375,0.6405911330049261,0.6489878542510121,0.64375,0.2875
B75,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7373743295131459,0.75625,0.7554763117677026,0.7595347365089413,0.75625,0.5125
B76,"{""C"": 100.0, ""gamma"": ""auto""}",0.7546581500228299,0.7625,0.7615686274509804,0.7666666666666666,0.7625,0.525
B77,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7531033000947349,0.73125,0.7312395015430291,0.7312861384591343,0.73125,0.4625
B78,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7499975585699079,0.55625,0.5562326653384897,0.5562587904360057,0.55625,0.11250000000000004
B79,"{""C"": 100.0, ""gamma"": ""auto""}",0.7577125327588776,0.85625,0.8562443845462713,0.8563056727613689,0.85625,0.7125
B80,"{""C"": 100.0, ""gamma"": ""auto""}",0.7577645970028253,0.68125,0.6812375483417321,0.6812783247382403,0.68125,0.36250000000000004
B81,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7296551589423539,0.80625,0.8053298795086149,0.8121516164994427,0.80625,0.6125
