subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7093191624169647,0.7133333333333334,0.7132310305070658,0.7132886890168444,0.7133333333333334,0.5700000000000001
sub-002,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7114634747900884,0.87,0.8717256667323082,0.8773418889192998,0.87,0.8049999999999999
sub-003,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6987331601415375,0.69,0.6899992986885476,0.691659950569525,0.69,0.5349999999999999
sub-004,"{""C"": 100.0, ""gamma"": ""auto""}",0.7359935458590116,0.73,0.7283216050404407,0.7281442682615058,0.73,0.595
sub-005,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7231144275173018,0.6666666666666666,0.6609600526940151,0.6622379454926625,0.6666666666666666,0.5
sub-006,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7122562735587166,0.59,0.5910065882685341,0.6190600800221125,0.59,0.385
sub-007,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7114682635262861,0.8,0.7995646574748984,0.7993227299746023,0.8000000000000002,0.7
sub-008,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7272862839258503,0.63,0.6168625615780529,0.6307766085089147,0.63,0.44499999999999995
sub-009,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7325056322477197,0.7566666666666667,0.7574668378262729,0.7603174603174603,0.7566666666666667,0.635
sub-010,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7028040936638661,0.6622073578595318,0.6634244603152982,0.6648946296138781,0.6624242424242425,0.4932628576222837
sub-011,"{""C"": 100.0, ""gamma"": ""auto""}",0.7433511306936644,0.39,0.3898566295948626,0.3904988821385665,0.38999999999999996,0.08499999999999996
