subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.7152714970019763,0.6166666666666667,0.613986013986014,0.62,0.6166666666666667,0.23333333333333328
VP002,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7216975332789395,0.75,0.7499305362600722,0.7502780867630701,0.75,0.5
VP003,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.7047772410091251,0.65,0.6475524475524476,0.6542857142857144,0.6499999999999999,0.30000000000000004
VP004,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.6855345911949685,0.48333333333333334,0.4762038862292312,0.48237367802585196,0.4833333333333333,-0.03333333333333344
VP005,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6895826611333014,0.7666666666666667,0.7624434389140271,0.7870813397129186,0.7666666666666666,0.5333333333333333
VP006,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.6815574325850309,0.85,0.8499583217560434,0.850389321468298,0.8500000000000001,0.7
VP007,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.70560685133146,0.75,0.7499305362600722,0.7502780867630701,0.75,0.5
VP008,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.7092731829573935,0.65,0.6499027507641011,0.6501668520578421,0.6499999999999999,0.30000000000000004
VP009,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6766343300996767,0.6833333333333333,0.6723196320781835,0.7118100128369704,0.6833333333333333,0.3666666666666667
VP010,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.6839131994261118,0.6,0.5833333333333333,0.6190476190476191,0.6000000000000001,0.19999999999999996
VP011,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6941896024464831,0.6166666666666667,0.607843137254902,0.6282051282051282,0.6166666666666667,0.23333333333333328
VP012,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.6538461538461537,0.6,0.5927601809954751,0.6076555023923444,0.6,0.19999999999999996
VP013,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.695906432748538,0.7333333333333333,0.7306397306397306,0.7430555555555556,0.7333333333333334,0.4666666666666667
VP014,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.702377634849684,0.7666666666666667,0.7664071190211346,0.7678571428571428,0.7666666666666666,0.5333333333333333
VP015,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6951081801346041,0.65,0.6378269617706237,0.6732991014120667,0.65,0.30000000000000004
VP016,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6995192307692308,0.85,0.849624060150376,0.8535353535353536,0.8500000000000001,0.7
VP017,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6651785714285714,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.4666666666666667
VP018,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.7061965811965811,0.6166666666666667,0.6033342914630642,0.634788189987163,0.6166666666666667,0.23333333333333328
VP019,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7361712549120014,0.6666666666666666,0.6632996632996633,0.6736111111111112,0.6666666666666667,0.33333333333333337
VP020,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.7331435687600072,0.7666666666666667,0.765625,0.7714932126696833,0.7666666666666666,0.5333333333333333
VP021,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.70560685133146,0.8166666666666667,0.8166157265907197,0.8170189098998888,0.8166666666666667,0.6333333333333333
VP022,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6993452407465146,0.6666666666666666,0.6336996336996337,0.7604166666666666,0.6666666666666666,0.33333333333333337
VP023,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7395833333333333,0.6666666666666666,0.6632996632996633,0.6736111111111112,0.6666666666666667,0.33333333333333337
VP024,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6966632962588473,0.7,0.6914285714285715,0.7250000000000001,0.7,0.4
VP025,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.6680488649953616,0.6833333333333333,0.6825396825396826,0.6851851851851851,0.6833333333333333,0.3666666666666667
VP026,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6842953741435672,0.75,0.7442455242966752,0.7747252747252746,0.75,0.5
