subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,"{""C"": 100.0, ""gamma"": ""auto""}",0.7421566544825919,0.84375,0.8435972629521017,0.8450980392156863,0.84375,0.6875
B62,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7701862595419848,0.6375,0.6374433505235193,0.6375859912445279,0.6375,0.275
B63,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7624791241417703,0.6625,0.6616541353383458,0.6641414141414141,0.6625000000000001,0.32499999999999996
B64,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7389190839694657,0.69375,0.6922956159974881,0.6974836757445453,0.69375,0.38749999999999996
B65,"{""C"": 100.0, ""gamma"": ""auto""}",0.7499975585699079,0.75625,0.754088669950739,0.765587044534413,0.75625,0.5125
B66,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7421113170638787,0.73125,0.7294640399512407,0.7375220670839352,0.73125,0.4625
B67,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7359368553145882,0.86875,0.8684982975226019,0.8715950244056054,0.8687499999999999,0.7375
B68,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7765357672182464,0.6625,0.6571428571428571,0.6733333333333333,0.6625,0.32499999999999996
B69,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7812158149710893,0.6625,0.660590823381521,0.6662404092071611,0.6625000000000001,0.32499999999999996
B70,"{""C"": 100.0, ""gamma"": ""auto""}",0.7546389788996359,0.74375,0.7425330664468778,0.7484472049689441,0.74375,0.48750000000000004
B71,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7359368553145882,0.71875,0.7147272078925473,0.7318264613346581,0.71875,0.4375
B72,"{""C"": 100.0, ""gamma"": ""auto""}",0.7512412270730509,0.84375,0.8437438962459471,0.8438037193311454,0.84375,0.6875
B73,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.744983144735266,0.6875,0.6790242336703579,0.709643605870021,0.6875,0.375
B74,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7576793893129772,0.63125,0.6259756725702286,0.6390958768007948,0.63125,0.26249999999999996
B75,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.7234368247969356,0.73125,0.7307346092129466,0.7330341678475831,0.73125,0.4625
B76,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.7453118782028276,0.60625,0.6050001959324425,0.6076119639183415,0.60625,0.21250000000000002
B77,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.75622857477708,0.725,0.7248280175109443,0.7255639097744361,0.725,0.44999999999999996
B78,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7453118782028276,0.58125,0.5804469492387774,0.581876869784286,0.58125,0.16249999999999998
B79,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7498436522826767,0.85,0.8499765588373183,0.8502188868042526,0.8500000000000001,0.7
B80,"{""C"": 100.0, ""gamma"": ""auto""}",0.7437474975341556,0.65,0.65,0.65,0.65,0.30000000000000004
B81,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7202790372871755,0.81875,0.8181746933657275,0.8228358917550245,0.81875,0.6375
