	VP001_A	acc=0.4352	f1=0.4347	precision=0.4350	kappa=-0.1296	inner_f1=0.5831
	VP002_A	acc=0.5000	f1=0.4985	precision=0.5000	kappa=0.0000	inner_f1=0.5351
	VP003_A	acc=0.4630	f1=0.4628	precision=0.4629	kappa=-0.0741	inner_f1=0.5774
	VP004_A	acc=0.4537	f1=0.4537	precision=0.4537	kappa=-0.0926	inner_f1=0.5573
	VP005_A	acc=0.4630	f1=0.4628	precision=0.4629	kappa=-0.0741	inner_f1=0.5627
	VP006_A	acc=0.6296	f1=0.6291	precision=0.6303	kappa=0.2593	inner_f1=0.5315
	VP007_A	acc=0.5741	f1=0.5645	precision=0.5812	kappa=0.1481	inner_f1=0.5532
	VP008_A	acc=0.5648	f1=0.5630	precision=0.5659	kappa=0.1296	inner_f1=0.5665
	VP009_A	acc=0.5648	f1=0.5538	precision=0.5719	kappa=0.1296	inner_f1=0.5357
	VP010_A	acc=0.4815	f1=0.4808	precision=0.4814	kappa=-0.0370	inner_f1=0.5248
	VP011_A	acc=0.4722	f1=0.4711	precision=0.4720	kappa=-0.0556	inner_f1=0.5794
	VP012_A	acc=0.5185	f1=0.5170	precision=0.5188	kappa=0.0370	inner_f1=0.5500
	VP013_A	acc=0.5000	f1=0.5000	precision=0.5000	kappa=0.0000	inner_f1=0.5424
	VP014_A	acc=0.6481	f1=0.6480	precision=0.6484	kappa=0.2963	inner_f1=0.5735
	VP015_A	acc=0.6296	f1=0.6291	precision=0.6303	kappa=0.2593	inner_f1=0.5516
	VP016_A	acc=0.5648	f1=0.5618	precision=0.5667	kappa=0.1296	inner_f1=0.5741
	VP017_A	acc=0.4815	f1=0.4813	precision=0.4815	kappa=-0.0370	inner_f1=0.5442
	VP018_A	acc=0.5741	f1=0.5728	precision=0.5750	kappa=0.1481	inner_f1=0.5591
	VP019_A	acc=0.5370	f1=0.5312	precision=0.5390	kappa=0.0741	inner_f1=0.5351
	VP020_A	acc=0.4815	f1=0.4813	precision=0.4815	kappa=-0.0370	inner_f1=0.5621
	VP021_A	acc=0.5185	f1=0.5170	precision=0.5188	kappa=0.0370	inner_f1=0.5440
	VP022_A	acc=0.5926	f1=0.5903	precision=0.5947	kappa=0.1852	inner_f1=0.5739
	VP023_A	acc=0.5093	f1=0.5020	precision=0.5098	kappa=0.0185	inner_f1=0.5682
	VP024_A	acc=0.4907	f1=0.4907	precision=0.4907	kappa=-0.0185	inner_f1=0.5661
	VP025_A	acc=0.5370	f1=0.5345	precision=0.5379	kappa=0.0741	inner_f1=0.5592
	VP026_A	acc=0.5833	f1=0.5833	precision=0.5834	kappa=0.1667	inner_f1=0.5326
