subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
VP001_C1,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5291157840834456,0.5666666666666667,0.5661846496106786,0.5669642857142857,,0.1333333333333333,True,
VP002_C1,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5331465919701214,0.55,0.5468531468531468,0.5514285714285714,,0.09999999999999998,True,
VP003_C1,"{""C"": 100.0, ""gamma"": ""auto""}",0.5622389306599833,0.5166666666666667,0.5132867132867133,0.5171428571428571,,0.033333333333333326,True,
VP004_C1,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5284859158854545,0.5333333333333333,0.53125,0.5339366515837104,,0.06666666666666665,True,
VP005_C1,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.5399795546468732,0.4666666666666667,0.4660734149054505,0.46651785714285715,,-0.06666666666666665,True,
VP006_C1,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5565434843011947,0.45,0.442410588566601,0.4471210340775558,,-0.10000000000000009,True,
VP007_C1,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5263298345490126,0.5333333333333333,0.5328142380422691,0.5334821428571428,,0.06666666666666665,True,
VP008_C1,"{""C"": 0.20691380811147894, ""gamma"": ""scale""}",0.5221386800334169,0.6166666666666667,0.613986013986014,0.62,,0.23333333333333328,True,
VP009_C1,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.506578947368421,0.5,0.49776785714285715,0.5,,0.0,True,
VP010_C1,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.5233280369781886,0.55,0.5468531468531468,0.5514285714285714,,0.09999999999999998,True,
VP011_C1,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.5166612962366248,0.5166666666666667,0.5099971838918614,0.517626321974148,,0.033333333333333326,True,
VP012_C1,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5198079231692677,0.43333333333333335,0.43270300333704115,0.4330357142857143,,-0.1333333333333333,True,
VP013_C1,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5365379272020006,0.5166666666666667,0.5154553049289892,0.5168350168350169,,0.033333333333333326,True,
VP014_C1,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.4999110953058321,0.48333333333333334,0.4831897749374826,0.4833147942157954,,-0.03333333333333344,True,
VP015_C1,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5432358604630334,0.6166666666666667,0.613986013986014,0.62,,0.23333333333333328,True,
VP016_C1,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5095586027424682,0.48333333333333334,0.48203842940685043,0.48316498316498313,,-0.03333333333333344,True,
VP017_C1,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.52995299529953,0.48333333333333334,0.4831897749374826,0.4833147942157954,,-0.03333333333333344,True,
VP018_C1,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.5531545951714019,0.4,0.3828571428571429,0.38749999999999996,,-0.19999999999999996,True,
VP019_C1,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.4915027432088853,0.6,0.595959595959596,0.6041666666666667,,0.19999999999999996,True,
VP020_C1,"{""C"": 0.20691380811147894, ""gamma"": ""auto""}",0.5233280369781886,0.4666666666666667,0.4612794612794613,0.4652777777777778,,-0.06666666666666665,True,
VP021_C1,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5328142380422691,0.5666666666666667,0.5588235294117647,0.5717703349282297,,0.1333333333333333,True,
VP022_C1,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.4899943332703697,0.65,0.6499027507641011,0.6501668520578421,,0.30000000000000004,True,
VP023_C1,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.4766608517872421,0.4666666666666667,0.4660734149054505,0.46651785714285715,,-0.06666666666666665,True,
VP024_C1,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.49313058556756034,0.5166666666666667,0.5165323701028064,0.5166852057842046,,0.033333333333333326,True,
VP025_C1,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.5399182076813656,0.5666666666666667,0.5666666666666667,0.5666666666666667,,0.1333333333333333,True,
VP026_C1,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.54,0.5333333333333333,0.5286195286195287,0.5347222222222222,,0.06666666666666665,True,
