	sub-B61	acc=0.5687	f1=0.5649	precision=0.5713	kappa=0.1375	inner_f1=0.5052
	sub-B62	acc=0.4437	f1=0.4420	precision=0.4430	kappa=-0.1125	inner_f1=0.5568
	sub-B63	acc=0.4625	f1=0.4622	precision=0.4624	kappa=-0.0750	inner_f1=0.5121
	sub-B64	acc=0.5188	f1=0.5183	precision=0.5188	kappa=0.0375	inner_f1=0.5480
	sub-B65	acc=0.5062	f1=0.5047	precision=0.5063	kappa=0.0125	inner_f1=0.5374
	sub-B66	acc=0.6250	f1=0.6212	precision=0.6302	kappa=0.2500	inner_f1=0.5219
	sub-B67	acc=0.5312	f1=0.5311	precision=0.5313	kappa=0.0625	inner_f1=0.5490
	sub-B68	acc=0.4813	f1=0.4803	precision=0.4811	kappa=-0.0375	inner_f1=0.5146
	sub-B69	acc=0.4813	f1=0.4788	precision=0.4809	kappa=-0.0375	inner_f1=0.5525
	sub-B70	acc=0.4938	f1=0.4933	precision=0.4937	kappa=-0.0125	inner_f1=0.5171
	sub-B71	acc=0.5188	f1=0.5178	precision=0.5189	kappa=0.0375	inner_f1=0.5328
	sub-B72	acc=0.4625	f1=0.4612	precision=0.4621	kappa=-0.0750	inner_f1=0.5139
	sub-B73	acc=0.4125	f1=0.4121	precision=0.4123	kappa=-0.1750	inner_f1=0.5324
	sub-B74	acc=0.4875	f1=0.4823	precision=0.4870	kappa=-0.0250	inner_f1=0.5061
	sub-B75	acc=0.4625	f1=0.4625	precision=0.4625	kappa=-0.0750	inner_f1=0.5453
	sub-B76	acc=0.4875	f1=0.4602	precision=0.4843	kappa=-0.0250	inner_f1=0.5531
	sub-B77	acc=0.5188	f1=0.5186	precision=0.5188	kappa=0.0375	inner_f1=0.5484
	sub-B78	acc=0.4688	f1=0.4687	precision=0.4687	kappa=-0.0625	inner_f1=0.5155
	sub-B79	acc=0.5062	f1=0.5030	precision=0.5064	kappa=0.0125	inner_f1=0.5187
	sub-B80	acc=0.5813	f1=0.5799	precision=0.5823	kappa=0.1625	inner_f1=0.5035
	sub-B81	acc=0.5875	f1=0.5874	precision=0.5876	kappa=0.1750	inner_f1=0.5359
