subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
sub-B61,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.505162711034989,0.56875,0.5649261083743843,0.571255060728745,,0.13749999999999996,True,
sub-B62,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5567726036917671,0.44375,0.4419844037775775,0.44302896027852506,,-0.11250000000000004,True,
sub-B63,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.5121140746097987,0.4625,0.4621638524077548,0.462406015037594,,-0.07499999999999996,True,
sub-B64,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.5479507966340713,0.51875,0.5182795698924731,0.5188235294117647,,0.03749999999999998,True,
sub-B65,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.5374277230817315,0.50625,0.5046827853756025,0.5063301155246083,,0.012499999999999956,True,
sub-B66,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.5218563225125982,0.625,0.6212121212121212,0.6302083333333333,,0.25,True,
sub-B67,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.5490090530951799,0.53125,0.531085147122035,0.5312940071976217,,0.0625,True,
sub-B68,"{""C"": 0.20691380811147894, ""gamma"": ""scale""}",0.5145583557621727,0.48125,0.4802551759226644,0.48110533774208786,,-0.03750000000000009,True,
sub-B69,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5524956970740103,0.48125,0.47878645158758193,0.48088867654085043,,-0.03750000000000009,True,
sub-B70,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.5171297347583085,0.49375,0.49325513196480936,0.4937254901960785,,-0.012499999999999956,True,
sub-B71,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.5328113594027329,0.51875,0.5178270909162068,0.5188946622579121,,0.03749999999999998,True,
sub-B72,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5138619205678123,0.4625,0.46115288220551376,0.4621212121212121,,-0.07499999999999996,True,
sub-B73,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5323610470875548,0.4125,0.41213258286429016,0.41228070175438597,,-0.17500000000000004,True,
sub-B74,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.5061294261294261,0.4875,0.4823232323232323,0.48697916666666663,,-0.02499999999999991,True,
sub-B75,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.5453025090883344,0.4625,0.4625,0.4625,,-0.07499999999999996,True,
sub-B76,"{""C"": 0.20691380811147894, ""gamma"": ""auto""}",0.5531206359437104,0.4875,0.46017116524028967,0.48432601880877746,,-0.02499999999999991,True,
sub-B77,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.5484275777543941,0.51875,0.5185807510452893,0.518776404318573,,0.03749999999999998,True,
sub-B78,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.5155493045788404,0.46875,0.46872924723622017,0.4687451164244413,,-0.0625,True,
sub-B79,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5187312004375171,0.50625,0.5029688175848374,0.5064195153265929,,0.012499999999999956,True,
sub-B80,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.5034569453174105,0.58125,0.5799208432932325,0.5822915018199082,,0.16249999999999998,True,
sub-B81,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5359091741439297,0.5875,0.5874355368026254,0.5875547217010632,,0.17500000000000004,True,
