subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
VP001_B,"{""C"": 100.0, ""gamma"": ""scale""}",0.7444128904803062,0.3888888888888889,0.3888888888888889,0.3888888888888889,,-0.22222222222222232,True,
VP002_B,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.7443734370658517,0.4583333333333333,0.42635342185903985,0.44637537239324726,,-0.08333333333333326,True,
VP003_B,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.6959812816201936,0.5416666666666666,0.5343915343915344,0.5444444444444445,,0.08333333333333337,True,
VP004_B,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7577932271809823,0.6111111111111112,0.609907120743034,0.6125,,0.2222222222222222,True,
VP005_B,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7353739970132855,0.5694444444444444,0.498989898989899,0.6587301587301587,,0.13888888888888884,True,
VP006_B,"{""C"": 100.0, ""gamma"": ""scale""}",0.7740778331306026,0.5138888888888888,0.41975592908128023,0.5395604395604395,,0.02777777777777779,True,
VP007_B,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7688004394958179,0.5138888888888888,0.36347562515786813,0.7535211267605634,,0.02777777777777779,True,
VP008_B,"{""C"": 100.0, ""gamma"": ""auto""}",0.6888792863977283,0.6944444444444444,0.6934984520123839,0.696875,,0.38888888888888884,True,
VP009_B,"{""C"": 100.0, ""gamma"": ""scale""}",0.7499922837124602,0.6944444444444444,0.6934984520123839,0.696875,,0.38888888888888884,True,
VP010_B,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7294512322675117,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.33333333333333337,True,
VP011_B,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7853808096996725,0.6388888888888888,0.6386100386100386,0.6393188854489165,,0.2777777777777778,True,
VP012_B,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7582419278894026,0.7222222222222222,0.7037037037037037,0.7962962962962963,,0.4444444444444444,True,
VP013_B,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.7443734370658517,0.7083333333333334,0.7055501460564753,0.7165196471531676,,0.41666666666666663,True,
VP014_B,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.7633611989699252,0.6944444444444444,0.6629787234042553,0.8103448275862069,,0.38888888888888884,True,
VP015_B,"{""C"": 100.0, ""gamma"": ""scale""}",0.721526037315511,0.6388888888888888,0.6363636363636364,0.6428571428571428,,0.2777777777777778,True,
VP016_B,"{""C"": 100.0, ""gamma"": ""scale""}",0.74142525042671,0.5416666666666666,0.5073605639643375,0.5577540106951872,,0.08333333333333337,True,
VP017_B,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.7582867065406136,0.4861111111111111,0.47795414462081126,0.48518518518518516,,-0.02777777777777768,True,
VP018_B,"{""C"": 100.0, ""gamma"": ""scale""}",0.7442471042471042,0.625,0.6160379221805253,0.637872340425532,,0.25,True,
VP019_B,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.7527300791047655,0.7638888888888888,0.7638433339764614,0.7640926640926642,,0.5277777777777778,True,
VP020_B,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.773909672417135,0.6111111111111112,0.571063829787234,0.6773399014778325,,0.2222222222222222,True,
VP021_B,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.7245217391304348,0.5972222222222222,0.5933787731256086,0.6010425020048116,,0.19444444444444442,True,
VP022_B,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.7694284325300369,0.5138888888888888,0.45864661654135336,0.5234680573663624,,0.02777777777777779,True,
VP023_B,"{""C"": 100.0, ""gamma"": ""scale""}",0.7664864864864864,0.5555555555555556,0.4461538461538461,0.7647058823529411,,0.11111111111111116,True,
VP024_B,"{""C"": 100.0, ""gamma"": ""scale""}",0.771651350598719,0.6388888888888888,0.59375,0.75,,0.2777777777777778,True,
VP025_B,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.7105393369619001,0.6388888888888888,0.59375,0.75,,0.2777777777777778,True,
VP026_B,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.7498764822134387,0.7916666666666666,0.7906571040899399,0.7974036191974823,,0.5833333333333333,True,
