	VP001_A	acc=0.4444	f1=0.4320	precision=0.4391	kappa=-0.1111	inner_f1=0.7463
	VP002_A	acc=0.5648	f1=0.4631	precision=0.7673	kappa=0.1296	inner_f1=0.7740
	VP003_A	acc=0.7593	f1=0.7572	precision=0.7685	kappa=0.5185	inner_f1=0.7907
	VP004_A	acc=0.5741	f1=0.5717	precision=0.5757	kappa=0.1481	inner_f1=0.7815
	VP005_A	acc=0.5833	f1=0.5048	precision=0.7277	kappa=0.1667	inner_f1=0.7722
	VP006_A	acc=0.5278	f1=0.4650	precision=0.5524	kappa=0.0556	inner_f1=0.7573
	VP007_A	acc=0.5000	f1=0.3333	precision=0.2500	kappa=0.0000	inner_f1=0.7907
	VP008_A	acc=0.6111	f1=0.5737	precision=0.6712	kappa=0.2222	inner_f1=0.7518
	VP009_A	acc=0.7037	f1=0.6971	precision=0.7233	kappa=0.4074	inner_f1=0.7607
	VP010_A	acc=0.5741	f1=0.5589	precision=0.5859	kappa=0.1481	inner_f1=0.7722
	VP011_A	acc=0.5648	f1=0.5200	precision=0.6034	kappa=0.1296	inner_f1=0.7498
	VP012_A	acc=0.7963	f1=0.7937	precision=0.8117	kappa=0.5926	inner_f1=0.7444
	VP013_A	acc=0.6111	f1=0.5786	precision=0.6607	kappa=0.2222	inner_f1=0.7370
	VP014_A	acc=0.5463	f1=0.4403	precision=0.6909	kappa=0.0926	inner_f1=0.7759
	VP015_A	acc=0.6389	f1=0.6336	precision=0.6474	kappa=0.2778	inner_f1=0.7592
	VP016_A	acc=0.5000	f1=0.3333	precision=0.2500	kappa=0.0000	inner_f1=0.7701
	VP017_A	acc=0.6019	f1=0.5862	precision=0.6200	kappa=0.2037	inner_f1=0.7499
	VP018_A	acc=0.4815	f1=0.3990	precision=0.4590	kappa=-0.0370	inner_f1=0.7759
	VP019_A	acc=0.5278	f1=0.5208	precision=0.5295	kappa=0.0556	inner_f1=0.7795
	VP020_A	acc=0.4259	f1=0.4257	precision=0.4258	kappa=-0.1481	inner_f1=0.7646
	VP021_A	acc=0.5556	f1=0.5500	precision=0.5584	kappa=0.1111	inner_f1=0.7278
	VP022_A	acc=0.7315	f1=0.7187	precision=0.7828	kappa=0.4630	inner_f1=0.7369
	VP023_A	acc=0.6204	f1=0.6196	precision=0.6214	kappa=0.2407	inner_f1=0.7963
	VP024_A	acc=0.7037	f1=0.6789	precision=0.7946	kappa=0.4074	inner_f1=0.7741
	VP025_A	acc=0.6296	f1=0.6213	precision=0.6421	kappa=0.2593	inner_f1=0.7536
	VP026_A	acc=0.5370	f1=0.4344	precision=0.6350	kappa=0.0741	inner_f1=0.7555
