subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
VP001_A,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7462884656933856,0.4444444444444444,0.4319775596072931,0.4390977443609022,,-0.11111111111111116,True,
VP002_A,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7739624505928854,0.5648148148148148,0.4631411951348493,0.7673267326732673,,0.12962962962962965,True,
VP003_A,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7907342819222816,0.7592592592592593,0.7571774472500865,0.7684659090909092,,0.5185185185185186,True,
VP004_A,"{""C"": 100.0, ""gamma"": ""auto""}",0.7814694907813872,0.5740740740740741,0.5717241379310345,0.5757363253856943,,0.14814814814814814,True,
VP005_A,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.7722214410886183,0.5833333333333334,0.5048395313295976,0.7277413308341143,,0.16666666666666663,True,
VP006_A,"{""C"": 100.0, ""gamma"": ""auto""}",0.7572667286596142,0.5277777777777778,0.464983001457018,0.5523594053005818,,0.05555555555555558,True,
VP007_A,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.7907227985938439,0.5,0.3333333333333333,0.25,,0.0,True,
VP008_A,"{""C"": 100.0, ""gamma"": ""scale""}",0.7518382352941176,0.6111111111111112,0.5736842105263158,0.6712473572938689,,0.2222222222222222,True,
VP009_A,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7606769482359974,0.7037037037037037,0.697054698457223,0.7233082706766918,,0.40740740740740744,True,
VP010_A,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.7722214410886183,0.5740740740740741,0.5589488636363636,0.5858505564387917,,0.14814814814814814,True,
VP011_A,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7497519832756058,0.5648148148148148,0.52,0.603448275862069,,0.12962962962962965,True,
VP012_A,"{""C"": 100.0, ""gamma"": ""scale""}",0.7443567753001715,0.7962962962962963,0.79375,0.8116883116883117,,0.5925925925925926,True,
VP013_A,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.7370226075504829,0.6111111111111112,0.5785953177257526,0.6607142857142857,,0.2222222222222222,True,
VP014_A,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.7759190098459829,0.5462962962962963,0.44029613960867264,0.690947666195191,,0.09259259259259256,True,
VP015_A,"{""C"": 100.0, ""gamma"": ""scale""}",0.7592064101860491,0.6388888888888888,0.6335798173118747,0.6474335638878776,,0.2777777777777778,True,
VP016_A,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.7701149425287357,0.5,0.3333333333333333,0.25,,0.0,True,
VP017_A,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7498962189385856,0.6018518518518519,0.5862068965517242,0.62,,0.20370370370370372,True,
VP018_A,"{""C"": 100.0, ""gamma"": ""scale""}",0.7759251574936814,0.48148148148148145,0.3990461049284579,0.45896656534954405,,-0.03703703703703698,True,
VP019_A,"{""C"": 100.0, ""gamma"": ""scale""}",0.7795381485458643,0.5277777777777778,0.5208351457155285,0.5294867127775755,,0.05555555555555558,True,
VP020_A,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7646332046332046,0.42592592592592593,0.42572898799313896,0.4258241758241758,,-0.14814814814814814,True,
VP021_A,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7278225806451613,0.5555555555555556,0.55,0.5584415584415584,,0.11111111111111116,True,
VP022_A,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7369468267581475,0.7314814814814815,0.718724741805119,0.7827817343946376,,0.4629629629629629,True,
VP023_A,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7962711445857513,0.6203703703703703,0.6195549445828679,0.6214112763749569,,0.2407407407407407,True,
VP024_A,"{""C"": 100.0, ""gamma"": ""scale""}",0.7740709749104926,0.7037037037037037,0.6789297658862876,0.7946428571428572,,0.40740740740740744,True,
VP025_A,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7536014601394955,0.6296296296296297,0.6213183730715287,0.6421052631578947,,0.2592592592592593,True,
VP026_A,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7555421422300264,0.5370370370370371,0.4344365312107248,0.635,,0.07407407407407407,True,
