subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
sub-B61,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6340855559573491,0.525,0.482200647249191,0.5373482726423904,0.525,0.050000000000000044,True,
sub-B62,"{""C"": 100.0, ""gamma"": ""auto""}",0.5999843743896246,0.61875,0.5890699338975202,0.6669962645572403,0.6187499999999999,0.23750000000000004,True,
sub-B63,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.5999023199023199,0.60625,0.5979418451597462,0.615823539431102,0.60625,0.21250000000000002,True,
sub-B64,"{""C"": 100.0, ""gamma"": ""auto""}",0.6295780736008441,0.5125,0.43874797625472206,0.5263504611330698,0.5125,0.025000000000000022,True,
sub-B65,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.5874838860893004,0.6625,0.6581737616711505,0.6711652402896643,0.6625000000000001,0.32499999999999996,True,
sub-B66,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.606215390024514,0.58125,0.5808406647116324,0.5815686274509804,0.58125,0.16249999999999998,True,
sub-B67,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.620044416104136,0.50625,0.4222770693358929,0.5149309443822321,0.50625,0.012499999999999956,True,
sub-B68,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.6420817673189589,0.55625,0.531179068135859,0.5715563506261181,0.55625,0.11250000000000004,True,
sub-B69,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6105942981973859,0.58125,0.5251384274640089,0.654074074074074,0.58125,0.16249999999999998,True,
sub-B70,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.6389135165632305,0.48125,0.4058431390094403,0.46191685179308156,0.48125,-0.03750000000000009,True,
sub-B71,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.6514935814943874,0.425,0.4040485829959515,0.4127272727272727,0.42500000000000004,-0.1499999999999999,True,
sub-B72,"{""C"": 100.0, ""gamma"": ""auto""}",0.626554294405883,0.49375,0.3696191449000438,0.47056659308314935,0.49375,-0.012499999999999956,True,
sub-B73,"{""C"": 100.0, ""gamma"": ""auto""}",0.6224336676368568,0.50625,0.347073712485149,0.7515723270440251,0.50625,0.012499999999999956,True,
sub-B74,"{""C"": 100.0, ""gamma"": ""auto""}",0.5955954386927388,0.65,0.6432552954292085,0.6622718052738337,0.6499999999999999,0.30000000000000004,True,
sub-B75,"{""C"": 100.0, ""gamma"": ""auto""}",0.6499145299145299,0.525,0.5202020202020202,0.5260416666666667,0.525,0.050000000000000044,True,
sub-B76,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.5999960937118527,0.60625,0.544283195442832,0.7329564919492977,0.60625,0.21250000000000002,True,
sub-B77,"{""C"": 100.0, ""gamma"": ""auto""}",0.6280668854508518,0.525,0.5025364097529046,0.530511060259344,0.525,0.050000000000000044,True,
sub-B78,"{""C"": 100.0, ""gamma"": ""auto""}",0.6374114774114774,0.64375,0.6375054652410668,0.654388320187951,0.64375,0.2875,True,
sub-B79,"{""C"": 100.0, ""gamma"": ""auto""}",0.6199032649898939,0.78125,0.7797963115882192,0.7888781896966779,0.78125,0.5625,True,
sub-B80,"{""C"": 100.0, ""gamma"": ""auto""}",0.6416406870835626,0.6,0.5936507936507937,0.6066666666666667,0.6,0.19999999999999996,True,
sub-B81,"{""C"": 100.0, ""gamma"": ""auto""}",0.628125,0.55,0.4819212088505127,0.6054018445322793,0.55,0.09999999999999998,True,
