	sub-001	acc=0.3700	f1=0.3277	precision=0.3916	kappa=0.0550	inner_f1=0.4223
	sub-002	acc=0.3900	f1=0.3265	precision=0.4923	kappa=0.0850	inner_f1=0.4093
	sub-003	acc=0.3767	f1=0.3020	precision=0.4009	kappa=0.0650	inner_f1=0.4358
	sub-004	acc=0.3333	f1=0.3005	precision=0.3374	kappa=0.0000	inner_f1=0.4270
	sub-005	acc=0.3400	f1=0.3280	precision=0.3498	kappa=0.0100	inner_f1=0.4419
	sub-006	acc=0.3267	f1=0.3072	precision=0.3149	kappa=-0.0100	inner_f1=0.4307
	sub-007	acc=0.4467	f1=0.4306	precision=0.4698	kappa=0.1700	inner_f1=0.3933
	sub-008	acc=0.4667	f1=0.4617	precision=0.4698	kappa=0.2000	inner_f1=0.4244
	sub-009	acc=0.3633	f1=0.3247	precision=0.3485	kappa=0.0450	inner_f1=0.4425
	sub-010	acc=0.3378	f1=0.2960	precision=0.3521	kappa=0.0084	inner_f1=0.4372
	sub-011	acc=0.3233	f1=0.3114	precision=0.3107	kappa=-0.0150	inner_f1=0.4065
