subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
sub-001,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.422345488662432,0.37,0.32773991123629953,0.39164376560887887,,0.05500000000000005,True,
sub-002,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.40933327441579576,0.39,0.32647248156111025,0.49231262653597135,,0.08499999999999996,True,
sub-003,"{""C"": 100.0, ""gamma"": ""scale""}",0.43578341437855556,0.37666666666666665,0.30199753709734095,0.4008965017601307,,0.06499999999999995,True,
sub-004,"{""C"": 100.0, ""gamma"": ""auto""}",0.4270155985805584,0.3333333333333333,0.30054782739030234,0.3373996455009905,,1.1102230246251565e-16,True,
sub-005,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.44192959451969066,0.34,0.3279741059963454,0.3497721460887811,,0.010000000000000009,True,
sub-006,"{""C"": 100.0, ""gamma"": ""auto""}",0.43074812749592833,0.32666666666666666,0.3072254552635481,0.3148512912663856,,-0.010000000000000009,True,
sub-007,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.3932960823475304,0.44666666666666666,0.4305968647432062,0.46981504147966807,,0.17000000000000004,True,
sub-008,"{""C"": 100.0, ""gamma"": ""auto""}",0.42437112015977324,0.4666666666666667,0.46166205874103455,0.46981321147987815,,0.19999999999999996,True,
sub-009,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.44250307383679544,0.36333333333333334,0.324664334659796,0.34854792139713514,,0.04500000000000004,True,
sub-010,"{""C"": 100.0, ""gamma"": ""auto""}",0.4372032345253181,0.3377926421404682,0.296001907883096,0.35213675213675216,,0.008424755045641108,True,
sub-011,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.40647843573399206,0.3233333333333333,0.31143856143856147,0.31066605746776327,,-0.014999999999999902,True,
