subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
VP001_C1,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.7999911107160318,0.7166666666666667,0.7101449275362319,0.7380952380952381,,0.43333333333333335,True,
VP002_C1,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.7365934981939428,0.7833333333333333,0.7803435651929034,0.799647473560517,,0.5666666666666667,True,
VP003_C1,"{""C"": 100.0, ""gamma"": ""scale""}",0.7599573257467995,0.6,0.55,0.68,,0.19999999999999996,True,
VP004_C1,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7764654856037101,0.6333333333333333,0.6266968325791855,0.6435406698564593,,0.2666666666666667,True,
VP005_C1,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7564474693891169,0.5833333333333334,0.5688416211555045,0.5962772785622593,,0.16666666666666663,True,
VP006_C1,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.786628733997155,0.8833333333333333,0.8825174825174825,0.8942857142857144,,0.7666666666666666,True,
VP007_C1,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7365934981939428,0.7333333333333333,0.7330367074527253,0.734375,,0.4666666666666667,True,
VP008_C1,"{""C"": 100.0, ""gamma"": ""auto""}",0.7633307036744853,0.55,0.5107218363032316,0.5736497545008183,,0.09999999999999998,True,
VP009_C1,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7231826216495647,0.6833333333333333,0.6832453459294248,0.6835372636262513,,0.3666666666666667,True,
VP010_C1,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7763660031820558,0.6333333333333333,0.5970695970695971,0.7083333333333334,,0.2666666666666667,True,
VP011_C1,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7699360933592665,0.6,0.55,0.68,,0.19999999999999996,True,
VP012_C1,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.7632044112905916,0.7166666666666667,0.7165879410947485,0.7169076751946608,,0.43333333333333335,True,
VP013_C1,"{""C"": 100.0, ""gamma"": ""scale""}",0.7729700854700854,0.6666666666666666,0.6571428571428571,0.6875,,0.33333333333333337,True,
VP014_C1,"{""C"": 100.0, ""gamma"": ""scale""}",0.7766046123923311,0.8333333333333334,0.8333333333333334,0.8333333333333334,,0.6666666666666667,True,
VP015_C1,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.7824607592677295,0.7,0.6875,0.7380952380952381,,0.4,True,
VP016_C1,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.7466554069069737,0.7333333333333333,0.7285067873303167,0.7511961722488039,,0.4666666666666667,True,
VP017_C1,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7633096642997633,0.6,0.5927601809954751,0.6076555023923444,,0.19999999999999996,True,
VP018_C1,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.779990221787635,0.6166666666666667,0.5506349723217193,0.7830188679245282,,0.23333333333333328,True,
VP019_C1,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7699974444160491,0.7,0.6914285714285715,0.7250000000000001,,0.4,True,
VP020_C1,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7699360933592665,0.85,0.848951048951049,0.8600000000000001,,0.7,True,
VP021_C1,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7632044112905916,0.6833333333333333,0.6825396825396826,0.6851851851851851,,0.3666666666666667,True,
VP022_C1,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.7428504636484065,0.75,0.7442455242966752,0.7747252747252746,,0.5,True,
VP023_C1,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7628880898576216,0.7166666666666667,0.7101449275362319,0.7380952380952381,,0.43333333333333335,True,
VP024_C1,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7999644381223329,0.6166666666666667,0.6033342914630642,0.634788189987163,,0.23333333333333328,True,
VP025_C1,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7466666666666667,0.75,0.7493734335839599,0.7525252525252526,,0.5,True,
VP026_C1,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7732426303854876,0.7,0.6703296703296704,0.8125,,0.4,True,
