	sub-B61	acc=0.7750	f1=0.7749	precision=0.7757	kappa=0.5500	inner_f1=0.7797
	sub-B62	acc=0.7063	f1=0.7062	precision=0.7063	kappa=0.4125	inner_f1=0.7245
	sub-B63	acc=0.7188	f1=0.7187	precision=0.7188	kappa=0.4375	inner_f1=0.7545
	sub-B64	acc=0.6500	f1=0.6444	precision=0.6600	kappa=0.3000	inner_f1=0.7141
	sub-B65	acc=0.7812	f1=0.7812	precision=0.7816	kappa=0.5625	inner_f1=0.7172
	sub-B66	acc=0.8063	f1=0.8040	precision=0.8207	kappa=0.6125	inner_f1=0.7419
	sub-B67	acc=0.8750	f1=0.8747	precision=0.8788	kappa=0.7500	inner_f1=0.7280
	sub-B68	acc=0.6062	f1=0.6028	precision=0.6101	kappa=0.2125	inner_f1=0.7281
	sub-B69	acc=0.7125	f1=0.7088	precision=0.7238	kappa=0.4250	inner_f1=0.7280
	sub-B70	acc=0.6750	f1=0.6725	precision=0.6805	kappa=0.3500	inner_f1=0.7453
	sub-B71	acc=0.6438	f1=0.6431	precision=0.6449	kappa=0.2875	inner_f1=0.7250
	sub-B72	acc=0.7063	f1=0.7020	precision=0.7186	kappa=0.4125	inner_f1=0.7281
	sub-B73	acc=0.6687	f1=0.6540	precision=0.7034	kappa=0.3375	inner_f1=0.7187
	sub-B74	acc=0.5437	f1=0.5149	precision=0.5574	kappa=0.0875	inner_f1=0.7546
	sub-B75	acc=0.7562	f1=0.7555	precision=0.7595	kappa=0.5125	inner_f1=0.7250
	sub-B76	acc=0.7875	f1=0.7872	precision=0.7891	kappa=0.5750	inner_f1=0.7515
	sub-B77	acc=0.7250	f1=0.7243	precision=0.7273	kappa=0.4500	inner_f1=0.7359
	sub-B78	acc=0.6813	f1=0.6812	precision=0.6813	kappa=0.3625	inner_f1=0.7390
	sub-B79	acc=0.8500	f1=0.8476	precision=0.8733	kappa=0.7000	inner_f1=0.7203
	sub-B80	acc=0.5625	f1=0.5363	precision=0.5807	kappa=0.1250	inner_f1=0.7250
	sub-B81	acc=0.7000	f1=0.6962	precision=0.7107	kappa=0.4000	inner_f1=0.7250
