subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
sub-B61,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.7796869621263725,0.775,0.7748592870544091,0.7756892230576441,,0.55,True,
sub-B62,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7244726233806896,0.70625,0.7062385249423806,0.7062822315986873,,0.4125,True,
sub-B63,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7544711036826891,0.71875,0.7187390132427047,0.7187841850289107,,0.4375,True,
sub-B64,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7140618019086961,0.65,0.6444444444444444,0.6599999999999999,,0.30000000000000004,True,
sub-B65,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.7171812857216101,0.78125,0.7811730686569498,0.781646064778595,,0.5625,True,
sub-B66,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7419096243758538,0.80625,0.804037770139465,0.8207331042382588,,0.6125,True,
sub-B67,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7279948412814726,0.875,0.87468671679198,0.8787878787878788,,0.75,True,
sub-B68,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7281223449447749,0.60625,0.6027586206896551,0.6101214574898786,,0.21250000000000002,True,
sub-B69,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7280293853307803,0.7125,0.7088146858680171,0.7238314680710993,,0.42500000000000004,True,
sub-B70,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7452621245900679,0.675,0.6724925208628563,0.680528691166989,,0.35,True,
sub-B71,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7249892573928669,0.64375,0.6430668075613479,0.6448590773106597,,0.2875,True,
sub-B72,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.7281011026359738,0.70625,0.702048417132216,0.7185792349726776,,0.4125,True,
sub-B73,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7187252785889384,0.66875,0.6540328831953001,0.703351534550932,,0.3375,True,
sub-B74,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7545526717557252,0.54375,0.5149300220108808,0.5573888091822095,,0.08750000000000002,True,
sub-B75,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7249973144268986,0.75625,0.7554763117677026,0.7595347365089413,,0.5125,True,
sub-B76,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7515327761377704,0.7875,0.7872007510561727,0.7891263356379636,,0.575,True,
sub-B77,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7359213819202832,0.725,0.7243107769423559,0.7272727272727273,,0.44999999999999996,True,
sub-B78,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7390465726667887,0.68125,0.6812375483417321,0.6812783247382403,,0.36250000000000004,True,
sub-B79,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7202790372871755,0.85,0.8476190476190477,0.8733333333333333,,0.7,True,
sub-B80,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.725,0.5625,0.5363470773306839,0.5807102502017756,,0.125,True,
sub-B81,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.725,0.7,0.6961544548188004,0.7106649111257406,,0.4,True,
