	sub-001	acc=0.8200	f1=0.8197	precision=0.8221	kappa=0.6400	inner_f1=0.7929
	sub-002	acc=0.7050	f1=0.7029	precision=0.7111	kappa=0.4100	inner_f1=0.8060
	sub-003	acc=0.9400	f1=0.9399	precision=0.9416	kappa=0.8800	inner_f1=0.7905
	sub-004	acc=0.5750	f1=0.5750	precision=0.5750	kappa=0.1500	inner_f1=0.8110
	sub-005	acc=0.8600	f1=0.8599	precision=0.8613	kappa=0.7200	inner_f1=0.8040
	sub-006	acc=0.8550	f1=0.8531	precision=0.8748	kappa=0.7100	inner_f1=0.8090
	sub-007	acc=0.7350	f1=0.7347	precision=0.7362	kappa=0.4700	inner_f1=0.8030
	sub-008	acc=0.9400	f1=0.9400	precision=0.9407	kappa=0.8800	inner_f1=0.7884
	sub-009	acc=0.8000	f1=0.7998	precision=0.8011	kappa=0.6000	inner_f1=0.8200
	sub-010	acc=0.7750	f1=0.7737	precision=0.7813	kappa=0.5500	inner_f1=0.8079
	sub-011	acc=0.9000	f1=0.8999	precision=0.9014	kappa=0.8000	inner_f1=0.8029
	sub-012	acc=0.5150	f1=0.5147	precision=0.5150	kappa=0.0300	inner_f1=0.8060
	sub-013	acc=0.7750	f1=0.7745	precision=0.7772	kappa=0.5500	inner_f1=0.7980
	sub-014	acc=0.5650	f1=0.5637	precision=0.5658	kappa=0.1300	inner_f1=0.8130
	sub-015	acc=0.7500	f1=0.7498	precision=0.7509	kappa=0.5000	inner_f1=0.8150
	sub-016	acc=0.7300	f1=0.7293	precision=0.7323	kappa=0.4600	inner_f1=0.8065
	sub-017	acc=0.7150	f1=0.7129	precision=0.7214	kappa=0.4300	inner_f1=0.8020
	sub-018	acc=0.6500	f1=0.6471	precision=0.6550	kappa=0.3000	inner_f1=0.8125
	sub-019	acc=0.7600	f1=0.7599	precision=0.7604	kappa=0.5200	inner_f1=0.8055
	sub-020	acc=0.8750	f1=0.8741	precision=0.8862	kappa=0.7500	inner_f1=0.7963
	sub-021	acc=0.8350	f1=0.8347	precision=0.8377	kappa=0.6700	inner_f1=0.7940
	sub-022	acc=0.7200	f1=0.7186	precision=0.7244	kappa=0.4400	inner_f1=0.8095
	sub-023	acc=0.8442	f1=0.8442	precision=0.8446	kappa=0.6884	inner_f1=0.8055
	sub-024	acc=0.9500	f1=0.9499	precision=0.9545	kappa=0.9000	inner_f1=0.7875
	sub-025	acc=0.8950	f1=0.8949	precision=0.8960	kappa=0.7900	inner_f1=0.8009
	sub-026	acc=0.7940	f1=0.7853	precision=0.8478	kappa=0.5871	inner_f1=0.7995
	sub-027	acc=0.6800	f1=0.6716	precision=0.7005	kappa=0.3600	inner_f1=0.8140
	sub-028	acc=0.8700	f1=0.8699	precision=0.8706	kappa=0.7400	inner_f1=0.8074
	sub-029	acc=0.5300	f1=0.5262	precision=0.5310	kappa=0.0600	inner_f1=0.7955
	sub-030	acc=0.8700	f1=0.8695	precision=0.8754	kappa=0.7400	inner_f1=0.8095
	sub-031	acc=0.8600	f1=0.8599	precision=0.8613	kappa=0.7200	inner_f1=0.7945
	sub-032	acc=0.5750	f1=0.5750	precision=0.5750	kappa=0.1500	inner_f1=0.8060
	sub-033	acc=0.9100	f1=0.9096	precision=0.9182	kappa=0.8200	inner_f1=0.8010
	sub-034	acc=0.6050	f1=0.5987	precision=0.6120	kappa=0.2100	inner_f1=0.7965
	sub-035	acc=0.9000	f1=0.8990	precision=0.9167	kappa=0.8000	inner_f1=0.8130
	sub-036	acc=0.8700	f1=0.8700	precision=0.8701	kappa=0.7400	inner_f1=0.8135
	sub-037	acc=0.9000	f1=0.9000	precision=0.9006	kappa=0.8000	inner_f1=0.7805
	sub-038	acc=0.5400	f1=0.4624	precision=0.5947	kappa=0.0800	inner_f1=0.8150
	sub-039	acc=0.5450	f1=0.5447	precision=0.5451	kappa=0.0900	inner_f1=0.8065
	sub-040	acc=0.7350	f1=0.7256	precision=0.7723	kappa=0.4700	inner_f1=0.8020
	sub-041	acc=0.8950	f1=0.8944	precision=0.9041	kappa=0.7900	inner_f1=0.8030
	sub-042	acc=0.7100	f1=0.7081	precision=0.7155	kappa=0.4200	inner_f1=0.8085
	sub-043	acc=0.9550	f1=0.9550	precision=0.9554	kappa=0.9100	inner_f1=0.7900
	sub-044	acc=0.6500	f1=0.6497	precision=0.6505	kappa=0.3000	inner_f1=0.8085
	sub-045	acc=0.7750	f1=0.7725	precision=0.7877	kappa=0.5500	inner_f1=0.8045
	sub-046	acc=0.9050	f1=0.9048	precision=0.9083	kappa=0.8100	inner_f1=0.8035
	sub-047	acc=0.7700	f1=0.7700	precision=0.7700	kappa=0.5400	inner_f1=0.7985
	sub-048	acc=0.8650	f1=0.8649	precision=0.8659	kappa=0.7300	inner_f1=0.8039
	sub-049	acc=0.7650	f1=0.7567	precision=0.8070	kappa=0.5300	inner_f1=0.7975
	sub-050	acc=0.8450	f1=0.8447	precision=0.8478	kappa=0.6900	inner_f1=0.8095
	sub-051	acc=0.7500	f1=0.7488	precision=0.7550	kappa=0.5000	inner_f1=0.8135
