subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
sub-001,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.6706402020619736,0.73,0.7228620319556104,0.7277777777777779,,0.595,True,
sub-002,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.6454156117399533,0.6533333333333333,0.643610694976739,0.6521264823403861,,0.4800000000000001,True,
sub-003,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6977781216330835,0.53,0.5247358360408372,0.570143770894986,,0.29500000000000004,True,
sub-004,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.6658437917820411,0.6566666666666666,0.6351584108977273,0.6594753285929756,,0.485,True,
sub-005,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6804454996560692,0.5633333333333334,0.5366557928810108,0.6114279029769584,,0.345,True,
sub-006,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.703692277235894,0.5366666666666666,0.536864882101391,0.573259503438399,,0.30500000000000005,True,
sub-007,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6420611899569196,0.7533333333333333,0.7544945697577276,0.7583501683501684,,0.63,True,
sub-008,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.7221531711303099,0.54,0.5036618066029831,0.5870748299319727,,0.31000000000000005,True,
sub-009,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6632241099695855,0.6533333333333333,0.6501648053113919,0.65346628679962,,0.48,True,
sub-010,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.7017598655757699,0.5785953177257525,0.5840114149416475,0.5993671780094358,,0.3676418752203031,True,
sub-011,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.710684890576195,0.39666666666666667,0.3937472991203275,0.39551786314852455,,0.09499999999999997,True,
