subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
VP001_B,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.718294582051739,0.625,0.6214216163583253,0.6299117882919005,,0.25,True,
VP002_B,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7130897020249306,0.5972222222222222,0.5971445109010225,0.5972972972972973,,0.19444444444444442,True,
VP003_B,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.718294582051739,0.5416666666666666,0.5343915343915344,0.5444444444444445,,0.08333333333333337,True,
VP004_B,"{""C"": 100.0, ""gamma"": ""scale""}",0.7105393369619001,0.5277777777777778,0.4962962962962963,0.537037037037037,,0.05555555555555558,True,
VP005_B,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.6908054070365757,0.6527777777777778,0.6444795575745605,0.6685106382978723,,0.3055555555555556,True,
VP006_B,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.6923076923076923,0.7222222222222222,0.7142857142857142,0.75,,0.4444444444444444,True,
VP007_B,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.7130897020249306,0.4722222222222222,0.3930789707187223,0.44193548387096776,,-0.05555555555555558,True,
VP008_B,"{""C"": 100.0, ""gamma"": ""scale""}",0.6941045606229144,0.7916666666666666,0.7896786757546251,0.8031275060144346,,0.5833333333333333,True,
VP009_B,"{""C"": 100.0, ""gamma"": ""scale""}",0.6913785247028476,0.6388888888888888,0.59375,0.75,,0.2777777777777778,True,
VP010_B,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.6994062345373577,0.5833333333333334,0.5820433436532508,0.584375,,0.16666666666666663,True,
VP011_B,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.702591897713849,0.5972222222222222,0.5971445109010225,0.5972972972972973,,0.19444444444444442,True,
VP012_B,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.6845900368288428,0.9027777777777778,0.9027590198726606,0.9030888030888031,,0.8055555555555556,True,
VP013_B,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6928422946852408,0.8888888888888888,0.8888888888888888,0.8888888888888888,,0.7777777777777778,True,
VP014_B,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7027571359122161,0.8333333333333334,0.8332046332046332,0.8343653250773994,,0.6666666666666667,True,
VP015_B,"{""C"": 100.0, ""gamma"": ""auto""}",0.6999166435120867,0.7361111111111112,0.7356521739130435,0.7377622377622377,,0.4722222222222222,True,
VP016_B,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6811188811188811,0.4722222222222222,0.4618410700236035,0.4698996655518395,,-0.05555555555555558,True,
VP017_B,"{""C"": 100.0, ""gamma"": ""auto""}",0.6690128330925358,0.7361111111111112,0.7360601967972217,0.7362934362934364,,0.4722222222222222,True,
VP018_B,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.679464845655355,0.6388888888888888,0.6317859952793077,0.6505016722408027,,0.2777777777777778,True,
VP019_B,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7095963513387733,0.7083333333333334,0.7055501460564753,0.7165196471531676,,0.41666666666666663,True,
VP020_B,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.6913785247028476,0.7361111111111112,0.7360601967972217,0.7362934362934364,,0.4722222222222222,True,
VP021_B,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.676569906130921,0.625,0.6028600612870276,0.6608738828202582,,0.25,True,
VP022_B,"{""C"": 100.0, ""gamma"": ""scale""}",0.7138690186818529,0.5833333333333334,0.5751376868607396,0.5903010033444815,,0.16666666666666663,True,
VP023_B,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7106735495038794,0.5416666666666666,0.5146067415730338,0.5536246276067527,,0.08333333333333337,True,
VP024_B,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.6854095939247241,0.5833333333333334,0.53125,0.65,,0.16666666666666663,True,
VP025_B,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.6772897282927884,0.8472222222222222,0.8464818763326225,0.8540519276160503,,0.6944444444444444,True,
VP026_B,"{""C"": 100.0, ""gamma"": ""auto""}",0.696695652173913,0.7916666666666666,0.7896786757546251,0.8031275060144346,,0.5833333333333333,True,
