	VP001_A	acc=0.5648	f1=0.5441	precision=0.5792	kappa=0.1296	inner_f1=0.6796
	VP002_A	acc=0.7500	f1=0.7358	precision=0.8182	kappa=0.5000	inner_f1=0.6907
	VP003_A	acc=0.7037	f1=0.7037	precision=0.7037	kappa=0.4074	inner_f1=0.6959
	VP004_A	acc=0.4630	f1=0.3871	precision=0.4266	kappa=-0.0741	inner_f1=0.6722
	VP005_A	acc=0.6574	f1=0.6571	precision=0.6579	kappa=0.3148	inner_f1=0.6776
	VP006_A	acc=0.6574	f1=0.6380	precision=0.7003	kappa=0.3148	inner_f1=0.7043
	VP007_A	acc=0.5741	f1=0.4982	precision=0.6875	kappa=0.1481	inner_f1=0.6759
	VP008_A	acc=0.6759	f1=0.6712	precision=0.6867	kappa=0.3519	inner_f1=0.7092
	VP009_A	acc=0.7870	f1=0.7828	precision=0.8110	kappa=0.5741	inner_f1=0.7240
	VP010_A	acc=0.5833	f1=0.5833	precision=0.5834	kappa=0.1667	inner_f1=0.7000
	VP011_A	acc=0.5093	f1=0.4859	precision=0.5113	kappa=0.0185	inner_f1=0.6647
	VP012_A	acc=0.5278	f1=0.4963	precision=0.5370	kappa=0.0556	inner_f1=0.6944
	VP013_A	acc=0.6574	f1=0.6560	precision=0.6601	kappa=0.3148	inner_f1=0.6831
	VP014_A	acc=0.6574	f1=0.6487	precision=0.6747	kappa=0.3148	inner_f1=0.7091
	VP015_A	acc=0.6389	f1=0.6381	precision=0.6401	kappa=0.2778	inner_f1=0.7182
	VP016_A	acc=0.4537	f1=0.3261	precision=0.3091	kappa=-0.0926	inner_f1=0.7229
	VP017_A	acc=0.7222	f1=0.7214	precision=0.7250	kappa=0.4444	inner_f1=0.7086
	VP018_A	acc=0.6111	f1=0.5562	precision=0.7201	kappa=0.2222	inner_f1=0.6888
	VP019_A	acc=0.6296	f1=0.6296	precision=0.6296	kappa=0.2593	inner_f1=0.6980
	VP020_A	acc=0.6296	f1=0.6136	precision=0.6554	kappa=0.2593	inner_f1=0.7220
	VP021_A	acc=0.6389	f1=0.6374	precision=0.6413	kappa=0.2778	inner_f1=0.6833
	VP022_A	acc=0.6389	f1=0.6386	precision=0.6393	kappa=0.2778	inner_f1=0.6833
	VP023_A	acc=0.6481	f1=0.6403	precision=0.6624	kappa=0.2963	inner_f1=0.7165
	VP024_A	acc=0.5185	f1=0.4118	precision=0.5675	kappa=0.0370	inner_f1=0.6944
	VP025_A	acc=0.6204	f1=0.5909	precision=0.6692	kappa=0.2407	inner_f1=0.7332
	VP026_A	acc=0.6667	f1=0.6666	precision=0.6669	kappa=0.3333	inner_f1=0.7037
