subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
VP001_C1,"{""C"": 100.0, ""gamma"": ""auto""}",0.6932106175803654,0.7,0.6875,0.7380952380952381,,0.4,True,
VP002_C1,"{""C"": 100.0, ""gamma"": ""auto""}",0.6361775275648371,0.6166666666666667,0.5506349723217193,0.7830188679245282,,0.23333333333333328,True,
VP003_C1,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.66996699669967,0.55,0.47248453272549656,0.6212938005390836,,0.09999999999999998,True,
VP004_C1,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.6693791675479511,0.55,0.4357366771159875,0.763157894736842,,0.09999999999999998,True,
VP005_C1,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6833298147757197,0.4,0.325,0.32,,-0.19999999999999996,True,
VP006_C1,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6558061821219716,0.75,0.7465502675302731,0.7643948296122209,,0.5,True,
VP007_C1,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6732752489331437,0.7,0.6875,0.7380952380952381,,0.4,True,
VP008_C1,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.6894167937571662,0.55,0.5343489508479448,0.5577663671373556,,0.09999999999999998,True,
VP009_C1,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.66996699669967,0.65,0.6475524475524476,0.6542857142857144,,0.30000000000000004,True,
VP010_C1,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.6666073968705548,0.45,0.41333333333333333,0.43333333333333335,,-0.10000000000000009,True,
VP011_C1,"{""C"": 0.20691380811147894, ""gamma"": ""auto""}",0.6531946111778044,0.5,0.3333333333333333,0.25,,0.0,True,
VP012_C1,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.6432342317310364,0.7333333333333333,0.7222222222222222,0.7777777777777777,,0.4666666666666667,True,
VP013_C1,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.653271692745377,0.5666666666666667,0.5334928229665072,0.5931677018633541,,0.1333333333333333,True,
VP014_C1,"{""C"": 100.0, ""gamma"": ""scale""}",0.6498093406410157,0.6833333333333333,0.6622222222222223,0.7444444444444445,,0.3666666666666667,True,
VP015_C1,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.6695557360451273,0.6,0.5982142857142857,0.6018099547511313,,0.19999999999999996,True,
VP016_C1,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.6631499371880245,0.6333333333333333,0.6316964285714286,0.6357466063348416,,0.2666666666666667,True,
VP017_C1,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7133333333333334,0.4666666666666667,0.3433652530779754,0.3660714285714286,,-0.06666666666666665,True,
VP018_C1,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.6832453459294248,0.5333333333333333,0.4034090909090909,0.7586206896551724,,0.06666666666666665,True,
VP019_C1,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.6724014975931538,0.7333333333333333,0.7330367074527253,0.734375,,0.4666666666666667,True,
VP020_C1,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.679985777145651,0.6833333333333333,0.6556931440652372,0.7700490998363339,,0.3666666666666667,True,
VP021_C1,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.6695557360451273,0.6166666666666667,0.607843137254902,0.6282051282051282,,0.23333333333333328,True,
VP022_C1,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.7058299162060973,0.5833333333333334,0.5775837792171219,0.5881316098707403,,0.16666666666666663,True,
VP023_C1,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.6999866660740477,0.6333333333333333,0.6228571428571429,0.6499999999999999,,0.2666666666666667,True,
VP024_C1,"{""C"": 100.0, ""gamma"": ""auto""}",0.6657158138705652,0.5833333333333334,0.4957983193277311,0.7727272727272727,,0.16666666666666663,True,
VP025_C1,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.6733333333333333,0.7,0.6770334928229665,0.7795031055900621,,0.4,True,
VP026_C1,"{""C"": 100.0, ""gamma"": ""auto""}",0.6599848882172541,0.6,0.5769682726204466,0.6278409090909092,,0.19999999999999996,True,
