subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
sub-B61,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.3333333333333333,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B62,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.3333333333333333,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B63,"{""C"": 0.09999999999999999, ""gamma"": ""auto""}",0.3333333333333333,0.49375,0.3305439330543933,0.24842767295597484,,-0.012499999999999956,True,
sub-B64,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.33194154488517746,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B65,"{""C"": 0.29763514416313175, ""gamma"": ""auto""}",0.3333333333333333,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B66,"{""C"": 0.20691380811147894, ""gamma"": ""auto""}",0.3333333333333333,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B67,"{""C"": 100.0, ""gamma"": ""auto""}",0.3333333333333333,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B68,"{""C"": 0.20691380811147894, ""gamma"": ""scale""}",0.3333333333333333,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B69,"{""C"": 0.14384498882876628, ""gamma"": ""auto""}",0.3333333333333333,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B70,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.5249558658321297,0.49375,0.4830680866339595,0.49318685062169987,,-0.012499999999999956,True,
sub-B71,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5758652890321414,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B72,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.3426475279106858,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B73,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.33538437648611663,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B74,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.3775483484831482,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B75,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.3333333333333333,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B76,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.3333333333333333,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B77,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.3333333333333333,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B78,"{""C"": 100.0, ""gamma"": ""auto""}",0.3333333333333333,0.49375,0.3305439330543933,0.24842767295597484,,-0.012499999999999956,True,
sub-B79,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.3333333333333333,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B80,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.4135909547828098,0.5,0.3333333333333333,0.25,,0.0,True,
sub-B81,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.3333333333333333,0.5,0.3333333333333333,0.25,,0.0,True,
