subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
sub-001,"{""C"": 100.0, ""gamma"": ""auto""}",0.484772603180365,0.39,0.3413761193650147,0.4276288227901131,,0.08499999999999996,True,
sub-002,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.40497027402907254,0.4533333333333333,0.42043482291627515,0.5454507657714989,,0.18000000000000016,True,
sub-003,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.46267833540801856,0.35333333333333333,0.33781817655906515,0.35939153439153443,,0.030000000000000027,True,
sub-004,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.4412811508070507,0.38666666666666666,0.3508460682533519,0.42694479965899407,,0.07999999999999985,True,
sub-005,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.45253744583748684,0.38,0.3247074575367906,0.35800310800310803,,0.06999999999999984,True,
sub-006,"{""C"": 100.0, ""gamma"": ""scale""}",0.4581446357363707,0.37,0.3404443715427639,0.38701668701668696,,0.05500000000000005,True,
sub-007,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.4151537792480837,0.44666666666666666,0.43285434797274497,0.4534654748024356,,0.17000000000000004,True,
sub-008,"{""C"": 100.0, ""gamma"": ""auto""}",0.4728856002682535,0.49,0.486845319422018,0.5080485708145283,,0.235,True,
sub-009,"{""C"": 100.0, ""gamma"": ""auto""}",0.4708100325417542,0.44,0.3988236184057769,0.43127978414939916,,0.16000000000000003,True,
sub-010,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.42311041228136914,0.35451505016722407,0.35102040816326535,0.36448834406326247,,0.031274131274131256,True,
sub-011,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.48851173933546405,0.34,0.30363522820226396,0.3406478007087763,,0.010000000000000009,True,
