FP1	VP001_B	acc=0.5972	f1=0.5876	precision=0.6072	kappa=0.1944	inner_f1=0.8583
FP1	VP002_B	acc=0.7639	f1=0.7582	precision=0.7911	kappa=0.5278	inner_f1=0.8583
FP1	VP003_B	acc=0.8194	f1=0.8177	precision=0.8320	kappa=0.6389	inner_f1=0.8250
FP1	VP004_B	acc=0.8056	f1=0.8050	precision=0.8094	kappa=0.6111	inner_f1=0.8778
FP1	VP005_B	acc=0.7222	f1=0.7214	precision=0.7250	kappa=0.4444	inner_f1=0.8666
FP1	VP006_B	acc=0.7639	f1=0.7616	precision=0.7743	kappa=0.5278	inner_f1=0.8639
FP1	VP007_B	acc=0.8194	f1=0.8166	precision=0.8407	kappa=0.6389	inner_f1=0.8722
FP1	VP008_B	acc=0.9583	f1=0.9583	precision=0.9587	kappa=0.9167	inner_f1=0.8109
FP1	VP009_B	acc=0.8889	f1=0.8888	precision=0.8901	kappa=0.7778	inner_f1=0.8582
FP1	VP010_B	acc=0.8056	f1=0.8050	precision=0.8094	kappa=0.6111	inner_f1=0.8528
FP1	VP011_B	acc=0.7222	f1=0.7214	precision=0.7250	kappa=0.4444	inner_f1=0.8722
FP1	VP012_B	acc=0.9583	f1=0.9583	precision=0.9615	kappa=0.9167	inner_f1=0.8278
FP1	VP013_B	acc=0.9167	f1=0.9161	precision=0.9286	kappa=0.8333	inner_f1=0.8638
FP1	VP014_B	acc=0.9444	f1=0.9444	precision=0.9444	kappa=0.8889	inner_f1=0.8472
FP1	VP015_B	acc=0.8611	f1=0.8610	precision=0.8622	kappa=0.7222	inner_f1=0.8222
FP1	VP016_B	acc=0.8611	f1=0.8607	precision=0.8656	kappa=0.7222	inner_f1=0.8389
FP1	VP017_B	acc=0.8750	f1=0.8748	precision=0.8776	kappa=0.7500	inner_f1=0.8611
FP1	VP018_B	acc=0.8889	f1=0.8888	precision=0.8901	kappa=0.7778	inner_f1=0.8249
FP1	VP019_B	acc=0.7917	f1=0.7916	precision=0.7919	kappa=0.5833	inner_f1=0.8722
FP1	VP020_B	acc=0.8194	f1=0.8151	precision=0.8523	kappa=0.6389	inner_f1=0.8889
FP1	VP021_B	acc=0.9306	f1=0.9305	precision=0.9309	kappa=0.8611	inner_f1=0.8443
FP1	VP022_B	acc=0.8194	f1=0.8194	precision=0.8197	kappa=0.6389	inner_f1=0.8639
FP1	VP023_B	acc=0.7917	f1=0.7913	precision=0.7937	kappa=0.5833	inner_f1=0.8611
FP1	VP024_B	acc=0.7361	f1=0.7272	precision=0.7715	kappa=0.4722	inner_f1=0.8472
FP1	VP025_B	acc=1.0000	f1=1.0000	precision=1.0000	kappa=1.0000	inner_f1=0.8472
FP1	VP026_B	acc=0.7639	f1=0.7635	precision=0.7657	kappa=0.5278	inner_f1=0.8528
AFF5	VP001_B	acc=0.6667	f1=0.6571	precision=0.6875	kappa=0.3333	inner_f1=0.8389
AFF5	VP002_B	acc=0.7083	f1=0.6911	precision=0.7681	kappa=0.4167	inner_f1=0.7944
AFF5	VP003_B	acc=0.8333	f1=0.8322	precision=0.8429	kappa=0.6667	inner_f1=0.7852
AFF5	VP004_B	acc=0.7639	f1=0.7638	precision=0.7641	kappa=0.5278	inner_f1=0.8111
AFF5	VP005_B	acc=0.6806	f1=0.6790	precision=0.6841	kappa=0.3611	inner_f1=0.8583
AFF5	VP006_B	acc=0.6806	f1=0.6805	precision=0.6807	kappa=0.3611	inner_f1=0.8388
AFF5	VP007_B	acc=0.8056	f1=0.8056	precision=0.8056	kappa=0.6111	inner_f1=0.8055
AFF5	VP008_B	acc=0.9306	f1=0.9305	precision=0.9309	kappa=0.8611	inner_f1=0.8139
AFF5	VP009_B	acc=0.8750	f1=0.8748	precision=0.8776	kappa=0.7500	inner_f1=0.8250
AFF5	VP010_B	acc=0.6806	f1=0.6755	precision=0.6926	kappa=0.3611	inner_f1=0.8139
AFF5	VP011_B	acc=0.7083	f1=0.7083	precision=0.7085	kappa=0.4167	inner_f1=0.8306
AFF5	VP012_B	acc=0.9722	f1=0.9722	precision=0.9722	kappa=0.9444	inner_f1=0.8028
AFF5	VP013_B	acc=0.8750	f1=0.8744	precision=0.8824	kappa=0.7500	inner_f1=0.8778
AFF5	VP014_B	acc=0.9583	f1=0.9583	precision=0.9587	kappa=0.9167	inner_f1=0.8361
AFF5	VP015_B	acc=0.8472	f1=0.8458	precision=0.8609	kappa=0.6944	inner_f1=0.8278
AFF5	VP016_B	acc=0.9306	f1=0.9302	precision=0.9390	kappa=0.8611	inner_f1=0.8000
AFF5	VP017_B	acc=0.8056	f1=0.8050	precision=0.8094	kappa=0.6111	inner_f1=0.8250
AFF5	VP018_B	acc=0.8194	f1=0.8194	precision=0.8197	kappa=0.6389	inner_f1=0.8361
AFF5	VP019_B	acc=0.7639	f1=0.7616	precision=0.7743	kappa=0.5278	inner_f1=0.8221
AFF5	VP020_B	acc=0.7778	f1=0.7771	precision=0.7812	kappa=0.5556	inner_f1=0.8443
AFF5	VP021_B	acc=0.8611	f1=0.8610	precision=0.8622	kappa=0.7222	inner_f1=0.8333
AFF5	VP022_B	acc=0.7778	f1=0.7762	precision=0.7857	kappa=0.5556	inner_f1=0.8139
AFF5	VP023_B	acc=0.7917	f1=0.7913	precision=0.7937	kappa=0.5833	inner_f1=0.8194
AFF5	VP024_B	acc=0.7361	f1=0.7272	precision=0.7715	kappa=0.4722	inner_f1=0.8417
AFF5	VP025_B	acc=0.9861	f1=0.9861	precision=0.9865	kappa=0.9722	inner_f1=0.8416
AFF5	VP026_B	acc=0.7222	f1=0.7220	precision=0.7229	kappa=0.4444	inner_f1=0.8220
AFz	VP001_B	acc=0.6806	f1=0.6698	precision=0.7076	kappa=0.3611	inner_f1=0.8138
AFz	VP002_B	acc=0.7500	f1=0.7429	precision=0.7812	kappa=0.5000	inner_f1=0.8360
AFz	VP003_B	acc=0.8333	f1=0.8333	precision=0.8333	kappa=0.6667	inner_f1=0.8193
AFz	VP004_B	acc=0.7639	f1=0.7638	precision=0.7641	kappa=0.5278	inner_f1=0.8082
AFz	VP005_B	acc=0.7361	f1=0.7348	precision=0.7408	kappa=0.4722	inner_f1=0.8194
AFz	VP006_B	acc=0.7500	f1=0.7498	precision=0.7508	kappa=0.5000	inner_f1=0.8388
AFz	VP007_B	acc=0.8333	f1=0.8322	precision=0.8429	kappa=0.6667	inner_f1=0.8192
AFz	VP008_B	acc=0.9583	f1=0.9583	precision=0.9587	kappa=0.9167	inner_f1=0.8139
AFz	VP009_B	acc=0.8611	f1=0.8611	precision=0.8611	kappa=0.7222	inner_f1=0.8055
AFz	VP010_B	acc=0.7500	f1=0.7492	precision=0.7531	kappa=0.5000	inner_f1=0.8386
AFz	VP011_B	acc=0.7083	f1=0.7078	precision=0.7098	kappa=0.4167	inner_f1=0.8027
AFz	VP012_B	acc=0.9722	f1=0.9722	precision=0.9722	kappa=0.9444	inner_f1=0.8413
AFz	VP013_B	acc=0.8889	f1=0.8881	precision=0.9000	kappa=0.7778	inner_f1=0.8250
AFz	VP014_B	acc=0.9444	f1=0.9444	precision=0.9444	kappa=0.8889	inner_f1=0.8111
AFz	VP015_B	acc=0.8889	f1=0.8881	precision=0.9000	kappa=0.7778	inner_f1=0.8193
AFz	VP016_B	acc=0.8611	f1=0.8607	precision=0.8656	kappa=0.7222	inner_f1=0.8277
AFz	VP017_B	acc=0.7500	f1=0.7483	precision=0.7571	kappa=0.5000	inner_f1=0.8219
AFz	VP018_B	acc=0.8611	f1=0.8607	precision=0.8656	kappa=0.7222	inner_f1=0.8250
AFz	VP019_B	acc=0.8194	f1=0.8186	precision=0.8257	kappa=0.6389	inner_f1=0.7914
AFz	VP020_B	acc=0.8194	f1=0.8177	precision=0.8320	kappa=0.6389	inner_f1=0.8139
AFz	VP021_B	acc=0.8750	f1=0.8750	precision=0.8753	kappa=0.7500	inner_f1=0.8194
AFz	VP022_B	acc=0.7639	f1=0.7635	precision=0.7657	kappa=0.5278	inner_f1=0.8583
AFz	VP023_B	acc=0.7639	f1=0.7635	precision=0.7657	kappa=0.5278	inner_f1=0.8305
AFz	VP024_B	acc=0.7361	f1=0.7272	precision=0.7715	kappa=0.4722	inner_f1=0.8528
