channel,n_subjects,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,kappa_mean,kappa_std
FP1,26,83.17307692307693,8.929252997790257,83.01656402293278,9.100337620784279,83.91814148719939,8.628094557616262,0.6634615384615384,0.17858505995580512
AFF5,26,80.60897435897435,9.455128205128206,80.40881430708455,9.642941754914242,81.39554519824298,9.078606698144267,0.6121794871794871,0.1891025641025641
AFz,26,81.94444444444446,8.553016051121979,81.79664010089697,8.690176490245321,82.61830706938298,8.22818438134866,0.6388888888888888,0.1710603210224396
F1,26,78.0982905982906,10.23022387139023,77.85550819014226,10.446251065227893,78.86708987328095,9.935456952589538,0.561965811965812,0.2046044774278046
FC5,26,78.0448717948718,10.730799226949058,77.64558335277762,11.227646516605242,78.98821710987679,10.065466561974864,0.5608974358974359,0.21461598453898117
FC1,26,76.01495726495726,11.088101792076499,75.61892317818995,11.645752245762488,76.71624727983215,10.911019428907622,0.5202991452991452,0.22176203584152998
T7,26,73.71794871794873,10.982989124697776,73.12251809773743,11.83945915289304,74.58000298758881,10.96462773118803,0.4743589743589744,0.2196597824939555
C3,26,77.61752136752136,10.614761162651835,77.12468034962114,11.290825789357651,78.74383738510187,9.93748085801096,0.5523504273504274,0.21229522325303668
Cz,26,77.45726495726495,11.519650700157289,76.5392362520246,13.097039819874093,79.11119145013215,10.728382191862128,0.5491452991452992,0.23039301400314577
CP5,26,77.72435897435896,10.809753878330152,76.73074653501818,12.89475903440719,79.8019289317232,8.86747688661973,0.5544871794871795,0.21619507756660306
CP1,26,75.90811965811966,12.62368948288973,74.92400259857692,14.10728275984862,77.38467041912688,12.091698674018108,0.5181623931623931,0.2524737896577946
P7,26,70.83333333333334,11.671244523098158,69.13999928414358,14.0871196060758,73.62505430030194,10.224092696828492,0.4166666666666667,0.23342489046196313
P3,26,74.57264957264957,11.353977858340443,73.37852330928118,13.389948885320377,76.22670232781839,10.49962918358782,0.4914529914529915,0.22707955716680883
Pz,26,72.38247863247864,12.268311767658206,71.03523656643159,14.481621754195956,73.14862776727696,14.544530827677187,0.44764957264957267,0.2453662353531641
POz,26,70.83333333333334,11.683951379907963,69.31087052001085,13.981287492469017,71.60136798436761,14.159370590480485,0.4166666666666667,0.23367902759815926
O1,26,66.55982905982907,8.934205041516895,64.95356148308441,11.104876748128465,69.47413076002894,8.484636130830562,0.3311965811965812,0.17868410083033787
FP2,26,82.79914529914531,8.674266294950614,82.48390630732682,9.130540335949284,83.97821849736518,7.576643368982052,0.6559829059829061,0.1734853258990123
AFF6,26,82.10470085470085,9.539856500100822,81.91171872511856,9.761553478925865,82.86997065389579,9.156930890118316,0.642094017094017,0.19079713000201642
F2,26,79.32692307692307,10.223108551818715,79.05756308578549,10.534760357281812,80.13265255483259,9.762784583619407,0.5865384615384616,0.20446217103637432
FC2,26,77.29700854700855,10.029798223281315,76.82929194732469,10.588281053235221,78.52639954055101,9.448455482285723,0.545940170940171,0.2005959644656263
FC6,26,77.35042735042735,9.93187585187359,76.91598635549953,10.319617715653843,78.76477393071349,9.536450314696705,0.547008547008547,0.1986375170374718
C4,26,76.4957264957265,11.302590731143756,75.6968072907989,12.451358413682014,78.14348346803595,10.656770970194419,0.5299145299145299,0.2260518146228751
T8,26,71.7948717948718,9.856891106556237,70.74767058041147,10.7690286742429,74.11596793727331,9.839119425595525,0.4358974358974359,0.1971378221311247
CP2,26,75.16025641025641,12.364693391641238,74.03646872915535,14.120908934993246,77.01636252194037,11.740686321421734,0.5032051282051282,0.24729386783282478
CP6,26,74.51923076923077,11.407259962196493,73.55516702132938,12.383913736360752,77.11910370689492,10.819923927471484,0.49038461538461536,0.22814519924392987
P4,26,73.93162393162392,12.43040748794312,72.62854252144125,14.440521036112436,76.04489757204044,11.512412092833141,0.47863247863247865,0.2486081497588624
P8,26,68.75,9.670574045741496,66.88050238025185,11.49331592499368,72.90136082697744,9.093899029893393,0.375,0.19341148091482993
O2,26,66.50641025641026,9.601872034292779,64.16693757258098,13.05558494614725,68.70115795681477,11.895388307429604,0.3301282051282052,0.19203744068585554
