channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
FP1,VP001_C1,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.69245854876092,0.65,0.6499027507641011,0.6501668520578421,,0.30000000000000004,True,
FP1,VP002_C1,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6435616929698709,0.5333333333333333,0.5286195286195287,0.5347222222222222,,0.06666666666666665,True,
FP1,VP003_C1,"{""C"": 0.20691380811147894, ""gamma"": ""auto""}",0.7037037037037037,0.6833333333333333,0.6789636722050126,0.6938895417156287,,0.3666666666666667,True,
FP1,VP004_C1,"{""C"": 0.14384498882876628, ""gamma"": ""auto""}",0.6532027743778049,0.65,0.6491228070175439,0.6515151515151515,,0.30000000000000004,True,
FP1,VP005_C1,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.6736026111791106,0.65,0.6499027507641011,0.6501668520578421,,0.30000000000000004,True,
FP1,VP006_C1,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.6785714285714286,0.8166666666666667,0.8166157265907197,0.8170189098998888,,0.6333333333333333,True,
FP1,VP007_C1,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.6645195920558239,0.7,0.699666295884316,0.7008928571428572,,0.4,True,
FP1,VP008_C1,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.6558061821219716,0.5666666666666667,0.5417156286721504,0.5852272727272727,,0.1333333333333333,True,
FP1,VP009_C1,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.6363636363636364,0.6166666666666667,0.607843137254902,0.6282051282051282,,0.23333333333333328,True,
FP1,VP010_C1,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.660979020979021,0.5666666666666667,0.5334928229665072,0.5931677018633541,,0.1333333333333333,True,
FP1,VP011_C1,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.67003367003367,0.6,0.5885714285714285,0.6125,,0.19999999999999996,True,
FP1,VP012_C1,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6546366979244671,0.5166666666666667,0.49985628054038517,0.5192554557124518,,0.033333333333333326,True,
FP1,VP013_C1,"{""C"": 0.29763514416313175, ""gamma"": ""auto""}",0.6740262795308667,0.7,0.6945701357466063,0.715311004784689,,0.4,True,
FP1,VP014_C1,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.6659391563850162,0.7333333333333333,0.7306397306397306,0.7430555555555556,,0.4666666666666667,True,
FP1,VP015_C1,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.66996699669967,0.6166666666666667,0.6157059314954052,0.6178451178451179,,0.23333333333333328,True,
FP1,VP016_C1,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.660979020979021,0.7333333333333333,0.7257142857142858,0.7625,,0.4666666666666667,True,
FP1,VP017_C1,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.6517857142857143,0.6833333333333333,0.6832453459294248,0.6835372636262513,,0.3666666666666667,True,
FP1,VP018_C1,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.6790871813157426,0.6,0.5885714285714285,0.6125,,0.19999999999999996,True,
FP1,VP019_C1,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.6929922135706341,0.6666666666666666,0.6632996632996633,0.6736111111111112,,0.33333333333333337,True,
FP1,VP020_C1,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.6637190185577282,0.6833333333333333,0.6832453459294248,0.6835372636262513,,0.3666666666666667,True,
