channel,n_subjects,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,kappa_mean,kappa_std
Fz,21,55.11904761904761,6.966701860081012,53.64582830447592,7.705007515903695,55.504488112030806,7.5036648331492355,0.10238095238095238,0.13933403720162024
FCz,21,54.40476190476191,6.680072617973992,53.498471086049726,6.794025634246361,54.82859740798046,7.170675325345677,0.08809523809523812,0.13360145235947982
Cz,21,54.01785714285714,7.0303641732248305,52.87647098816682,7.115612120417062,54.57035616918936,7.684152994661128,0.08035714285714286,0.14060728346449664
CPz,21,53.988095238095234,5.575096726940191,53.127491825797954,5.831323948533988,54.309293864448364,5.766550296675068,0.07976190476190476,0.1115019345388038
Pz,21,55.44642857142858,6.172564517369457,54.82854760832132,6.284301595032817,55.79804919575836,6.304341782506586,0.10892857142857142,0.12345129034738912
C1,21,50.505952380952394,5.1271737826732995,49.350611899117894,5.39814984824432,50.572489401736135,5.667938546687062,0.010119047619047609,0.102543475653466
C3,21,50.23809523809524,3.4475027111389855,49.41043891229209,3.901477028411872,50.44111508859002,4.68633722032649,0.004761904761904766,0.06895005422277972
C5,21,51.27976190476191,3.6671207974800417,50.826503185375216,3.584635025102631,51.38828671953488,3.896462770269922,0.025595238095238095,0.07334241594960085
C2,21,57.886904761904766,7.925612561002472,57.34263846420925,8.092697771892004,58.26367795569383,8.19061720165858,0.15773809523809523,0.1585122512200495
C4,21,60.922619047619044,8.29070730784769,60.48702323205115,8.463374623017156,61.31776939871152,8.375412378097868,0.21845238095238098,0.1658141461569538
C6,21,62.76785714285714,8.82107913323704,62.45504198624246,8.88929941496716,63.20067081186932,8.971292823817569,0.25535714285714284,0.1764215826647408
F4,21,58.452380952380956,8.586090304208206,57.94980027340867,8.752803679797198,58.829152978125634,8.714515946969211,0.16904761904761903,0.1717218060841641
FC2,21,57.61904761904761,7.692516867686232,56.78109706101291,8.096233524080937,58.04781156806753,8.115284840636956,0.1523809523809524,0.15385033735372464
FC4,21,60.416666666666664,8.617908863210564,59.98951549678927,8.83460252030586,60.73468225173993,8.739717490121121,0.20833333333333334,0.17235817726421127
FC6,21,62.88690476190476,9.394773176535384,62.62015826545133,9.432356948931377,63.29084779613654,9.570478990128064,0.2577380952380952,0.18789546353070768
CP2,21,57.44047619047619,6.625350288091136,56.87816905918561,6.724927867899464,57.87068210637777,6.8669690373145365,0.14880952380952378,0.13250700576182273
CP4,21,59.404761904761905,8.095128675731104,58.980828881620404,8.372885796771218,59.63768278921948,8.318248966303367,0.1880952380952381,0.16190257351462203
CP6,21,61.577380952380956,8.953041863901902,61.36464925524766,9.052294838105752,61.75407820024774,8.972230132037007,0.23154761904761909,0.17906083727803804
P4,21,60.50595238095239,7.356309669264433,60.01776859475557,7.618211744370114,60.86288754477851,7.332449323355027,0.2101190476190476,0.14712619338528862
F3,21,51.33928571428571,4.088336862260708,49.943281908281925,4.189284132596221,52.34767834115436,6.09341782359939,0.02678571428571431,0.08176673724521415
FC1,21,51.66666666666666,3.6765289444481577,50.05470218553183,4.875650983280296,51.70682715995791,4.162726516220562,0.03333333333333334,0.07353057888896312
FC3,21,50.56547619047619,3.1214549052683087,49.137977493681895,3.752656317739527,50.72509120141776,3.7080648192031274,0.011309523809523806,0.062429098105366176
FC5,21,54.31547619047619,6.003795804235594,52.99723088517614,7.069585411841796,54.59784290719545,6.3424612273676075,0.08630952380952384,0.12007591608471187
CP1,21,53.75,4.608965125037238,53.11469073986652,4.745329167503403,53.97852410641231,5.071829862797412,0.07499999999999998,0.09217930250074477
CP3,21,53.39285714285714,4.3239858627771435,52.2238701442385,5.019510207974749,53.91452666213327,4.657915316720981,0.06785714285714285,0.08647971725554288
CP5,21,54.79166666666666,3.8495387272631,53.94412837479656,4.052177311905167,55.249757215829156,4.243518942719093,0.09583333333333333,0.07699077454526201
P3,21,56.398809523809526,5.250087732773049,55.81074493721149,5.294277597013944,56.87615846180903,5.682586469315861,0.12797619047619047,0.105001754655461
