channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
Fz,sub-B61,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5811845600875136,0.63125,0.6305428358968338,0.632262635805385,,0.26249999999999996,True,
Fz,sub-B62,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.5881971545567277,0.5125,0.5031055900621118,0.5135226504394861,,0.025000000000000022,True,
Fz,sub-B63,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.5609364280674514,0.55625,0.531179068135859,0.5715563506261181,,0.11250000000000004,True,
Fz,sub-B64,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5606274935195976,0.55625,0.553301089221816,0.5577756379393355,,0.11250000000000004,True,
Fz,sub-B65,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5933018462859596,0.55625,0.5541426272616665,0.5573339703774487,,0.11250000000000004,True,
Fz,sub-B66,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.557569465648855,0.61875,0.5946675526392292,0.65576962492314,,0.23750000000000004,True,
Fz,sub-B67,"{""C"": 0.20691380811147894, ""gamma"": ""scale""}",0.553015873015873,0.75,0.746031746031746,0.7666666666666666,,0.5,True,
Fz,sub-B68,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.5781085198640572,0.48125,0.46362938729350944,0.47841338370210473,,-0.03750000000000009,True,
Fz,sub-B69,"{""C"": 0.20691380811147894, ""gamma"": ""scale""}",0.5612617641586117,0.51875,0.5187312004375171,0.5187529301453352,,0.03749999999999998,True,
Fz,sub-B70,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.5312807203806378,0.475,0.4470046082949308,0.46865203761755486,,-0.050000000000000044,True,
Fz,sub-B71,"{""C"": 0.20691380811147894, ""gamma"": ""scale""}",0.5796078431372549,0.5375,0.5285873546743112,0.5405679513184585,,0.07499999999999996,True,
Fz,sub-B72,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.5528455284552845,0.5125,0.5075757575757576,0.5130208333333333,,0.025000000000000022,True,
Fz,sub-B73,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.5495601173020528,0.5625,0.5465587044534412,0.5727272727272728,,0.125,True,
Fz,sub-B74,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.5476323828297923,0.5625,0.5614035087719298,0.5631313131313131,,0.125,True,
Fz,sub-B75,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.6029349981924944,0.46875,0.4314143567874911,0.45761813943632124,,-0.0625,True,
Fz,sub-B76,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.5521409346709077,0.5,0.4629971471723443,0.5,,0.0,True,
Fz,sub-B77,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5713685116201762,0.525,0.49967083607636603,0.5313479623824451,,0.050000000000000044,True,
Fz,sub-B78,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5446176416651385,0.53125,0.5303510625807208,0.5314911037631869,,0.0625,True,
Fz,sub-B79,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5578027837525728,0.7,0.6999531176746367,0.7001250781738586,,0.4,True,
Fz,sub-B80,"{""C"": 0.20691380811147894, ""gamma"": ""scale""}",0.5643956087003359,0.50625,0.4783541744046882,0.5079507056251242,,0.012499999999999956,True,
Fz,sub-B81,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.57297774214914,0.5125,0.47642221849303573,0.5172562553925798,,0.025000000000000022,True,
FCz,sub-B61,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5749833977889761,0.6,0.595959595959596,0.6041666666666667,,0.19999999999999996,True,
FCz,sub-B62,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.5921626075810291,0.51875,0.48835084513476473,0.5245952039352326,,0.03749999999999998,True,
FCz,sub-B63,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.6107236641221374,0.5875,0.5763119884448724,0.5978336827393431,,0.17500000000000004,True,
FCz,sub-B64,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.58091849998534,0.5,0.497171590194846,0.5,,0.0,True,
FCz,sub-B65,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5734964082360666,0.58125,0.5649174073623118,0.5956058098915242,,0.16249999999999998,True,
FCz,sub-B66,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.5840459738660464,0.65,0.6432552954292085,0.6622718052738337,,0.30000000000000004,True,
FCz,sub-B67,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.568733153638814,0.70625,0.7028959740824148,0.7160039273441334,,0.4125,True,
FCz,sub-B68,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.5654066477460693,0.5125,0.49473684210526314,0.5145454545454545,,0.025000000000000022,True,
FCz,sub-B69,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.5781085198640572,0.4625,0.452142060837713,0.4594320486815416,,-0.07499999999999996,True,
FCz,sub-B70,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.5629575042986981,0.4875,0.48677828195900485,0.48742928975487115,,-0.02499999999999991,True,
FCz,sub-B71,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.56875,0.58125,0.5707707707707708,0.59004329004329,,0.16249999999999998,True,
FCz,sub-B72,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.5905610251601813,0.525,0.5189112201297673,0.5263331138907176,,0.050000000000000044,True,
FCz,sub-B73,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.533919843597263,0.6375,0.629156010230179,0.651098901098901,,0.275,True,
FCz,sub-B74,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.5515351278764573,0.525,0.5243310905961508,0.5251414204902577,,0.050000000000000044,True,
FCz,sub-B75,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5796372124594984,0.44375,0.42982982982982987,0.43766233766233764,,-0.11250000000000004,True,
FCz,sub-B76,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6014084092625467,0.49375,0.4903857496755928,0.49358048467340715,,-0.012499999999999956,True,
FCz,sub-B77,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.5763002775625496,0.49375,0.49277914758717856,0.4937017792473626,,-0.012499999999999956,True,
FCz,sub-B78,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.602985424563323,0.49375,0.49325513196480936,0.4937254901960785,,-0.012499999999999956,True,
FCz,sub-B79,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5656207580152149,0.6125,0.6050326485109094,0.6217038539553752,,0.22499999999999998,True,
FCz,sub-B80,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.5549940750751633,0.49375,0.49277914758717856,0.4937017792473626,,-0.012499999999999956,True,
FCz,sub-B81,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5744015021123454,0.51875,0.48492829967808015,0.5254291163382072,,0.03749999999999998,True,
Cz,sub-B61,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.5929709209032914,0.7,0.696969696969697,0.7083333333333333,,0.4,True,
Cz,sub-B62,"{""C"": 0.20691380811147894, ""gamma"": ""scale""}",0.5608077581512116,0.49375,0.4740046268111531,0.4926457069314212,,-0.012499999999999956,True,
Cz,sub-B63,"{""C"": 0.14384498882876628, ""gamma"": ""auto""}",0.5731363193268688,0.53125,0.5312316887378413,0.5312548835755586,,0.0625,True,
Cz,sub-B64,"{""C"": 0.20691380811147894, ""gamma"": ""auto""}",0.5945909590066305,0.5,0.4949494949494949,0.5,,0.0,True,
Cz,sub-B65,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5531075432634087,0.6,0.5733333333333334,0.6333333333333333,,0.19999999999999996,True,
Cz,sub-B66,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.5646684609738195,0.61875,0.6057999111434226,0.636715236553337,,0.23750000000000004,True,
Cz,sub-B67,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.5489183421373824,0.6875,0.6857322438717788,0.6918158567774936,,0.375,True,
Cz,sub-B68,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.5327839833974242,0.53125,0.5245453464875788,0.5331180659049513,,0.0625,True,
Cz,sub-B69,"{""C"": 0.09999999999999999, ""gamma"": ""auto""}",0.5624829094886519,0.4375,0.4285714285714286,0.43333333333333335,,-0.125,True,
Cz,sub-B70,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5857665882651777,0.49375,0.4935719588917979,0.49374119856047566,,-0.012499999999999956,True,
Cz,sub-B71,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.5812459106045957,0.56875,0.541509198886997,0.5901824144291863,,0.13749999999999996,True,
Cz,sub-B72,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5709322241252752,0.5,0.4903647077560121,0.5,,0.0,True,
Cz,sub-B73,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.5506398635871015,0.5875,0.574468085106383,0.5997150997150997,,0.17500000000000004,True,
Cz,sub-B74,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.572300378692373,0.5,0.5,0.5,,0.0,True,
Cz,sub-B75,"{""C"": 0.20691380811147894, ""gamma"": ""scale""}",0.5666277981083969,0.4625,0.4455190199871051,0.45726495726495725,,-0.07499999999999996,True,
Cz,sub-B76,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.5828033330810491,0.4875,0.4757033248081841,0.48626373626373626,,-0.02499999999999991,True,
Cz,sub-B77,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.5899482544433685,0.525,0.5158464723682115,0.5270453008789723,,0.050000000000000044,True,
Cz,sub-B78,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5671864433262777,0.48125,0.4753269329540516,0.48036327933235146,,-0.03750000000000009,True,
Cz,sub-B79,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5764373752988554,0.61875,0.6092092092092092,0.6316017316017316,,0.23750000000000004,True,
Cz,sub-B80,"{""C"": 0.20691380811147894, ""gamma"": ""scale""}",0.571858275713895,0.46875,0.45070479421624454,0.4640223061701745,,-0.0625,True,
Cz,sub-B81,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5474544311753614,0.55,0.5166974324551099,0.5690250215703192,,0.09999999999999998,True,
CPz,sub-B61,"{""C"": 0.20691380811147894, ""gamma"": ""auto""}",0.5989974937343359,0.63125,0.6259756725702286,0.6390958768007948,,0.26249999999999996,True,
CPz,sub-B62,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.5748962148962149,0.55625,0.5103237208500366,0.5900225056264066,,0.11250000000000004,True,
CPz,sub-B63,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5509825922639346,0.55,0.549929676511955,0.5500312695434647,,0.09999999999999998,True,
CPz,sub-B64,"{""C"": 0.20691380811147894, ""gamma"": ""scale""}",0.5706632977837842,0.5,0.47333772218564846,0.5,,0.0,True,
CPz,sub-B65,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.5431074949147239,0.53125,0.5230335068961405,0.5335626783017284,,0.0625,True,
CPz,sub-B66,"{""C"": 0.20691380811147894, ""gamma"": ""auto""}",0.5453183984157436,0.59375,0.5910502929495498,0.5962927298988927,,0.1875,True,
CPz,sub-B67,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5557250266428104,0.6625,0.6624472573839661,0.6626016260162602,,0.32499999999999996,True,
CPz,sub-B68,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.5609107001159739,0.4875,0.4793650793650793,0.4866666666666667,,-0.02499999999999991,True,
CPz,sub-B69,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5620856846457765,0.44375,0.4400534780386143,0.4422243620606644,,-0.11250000000000004,True,
CPz,sub-B70,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5834597504281869,0.50625,0.5062307121371928,0.5062509767151118,,0.012499999999999956,True,
CPz,sub-B71,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.5732614286656359,0.55,0.5474544311753614,0.551150895140665,,0.09999999999999998,True,
CPz,sub-B72,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5591640531113522,0.53125,0.517510353423666,0.5352671486510315,,0.0625,True,
CPz,sub-B73,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.6014836918433577,0.54375,0.5423018143344175,0.5443108086722583,,0.08750000000000002,True,
CPz,sub-B74,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.532756604183606,0.5125,0.5087387812942843,0.5128949065119277,,0.025000000000000022,True,
CPz,sub-B75,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.5531075432634087,0.4625,0.46039215686274515,0.46190476190476193,,-0.07499999999999996,True,
