channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
Fpz,sub-001,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.5150617757670655,0.35,0.3437138932103314,0.34170953120356923,,0.025000000000000022,True,
Fpz,sub-002,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.4450640384525944,0.48,0.45838717052965167,0.5586637435463578,,0.21999999999999997,True,
Fpz,sub-003,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.4713368459858309,0.53,0.5247450406071096,0.5290261198648911,,0.29500000000000004,True,
Fpz,sub-004,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.49649328384818586,0.3466666666666667,0.3423752650729519,0.3454104893990117,,0.020000000000000018,True,
Fpz,sub-005,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.4598988951427976,0.54,0.539336071860693,0.5393632721905967,,0.31000000000000005,True,
Fpz,sub-006,"{""C"": 100.0, ""gamma"": ""auto""}",0.4787545787545788,0.31,0.3100049611405134,0.3104485566207578,,-0.03499999999999992,True,
Fpz,sub-007,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.4714209157729994,0.5033333333333333,0.5036710091648724,0.5124556942518107,,0.2550000000000001,True,
Fpz,sub-008,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.4850174247090233,0.4266666666666667,0.42361537832472385,0.4276470963217951,,0.14,True,
Fpz,sub-009,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.45317148382841815,0.5033333333333333,0.4904699165568731,0.49678362573099416,,0.255,True,
Fpz,sub-010,"{""C"": 100.0, ""gamma"": ""scale""}",0.4732332439750935,0.3979933110367893,0.3941910680788335,0.3963287849252761,,0.09711620728413495,True,
Fpz,sub-011,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.49269845557178044,0.33666666666666667,0.3332964732696906,0.3365643945832624,,0.0050000000000000044,True,
Fp1,sub-001,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.506801036599381,0.39,0.38670970004046473,0.3933180474924181,,0.08499999999999996,True,
Fp1,sub-002,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.49689331900198747,0.6566666666666666,0.6484572292632118,0.7079378524937918,,0.485,True,
Fp1,sub-003,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.51476902900597,0.5,0.49890389856618084,0.512771475537433,,0.25,True,
Fp1,sub-004,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.5152483374773603,0.38,0.37958889980127747,0.3810344419777865,,0.06999999999999995,True,
Fp1,sub-005,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.490530003203483,0.5466666666666666,0.5497583198821588,0.5680241021683617,,0.31999999999999995,True,
Fp1,sub-006,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.5267891647252353,0.37333333333333335,0.37368216320648723,0.3753935753935754,,0.06000000000000005,True,
Fp1,sub-007,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.453206300289756,0.66,0.6596488767328238,0.6609257468300022,,0.49,True,
Fp1,sub-008,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.5050881612469056,0.43333333333333335,0.4246746663753007,0.4319160485565037,,0.15000000000000002,True,
Fp1,sub-009,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.4878499114027746,0.4633333333333333,0.4549507944361977,0.46509139009139006,,0.19499999999999984,True,
Fp1,sub-010,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.4849672481577089,0.46153846153846156,0.45568802845398587,0.45687243886318574,,0.19216311461654645,True,
Fp1,sub-011,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.5306834777389291,0.3333333333333333,0.32352248141721823,0.33111600302550886,,0.0,True,
Fp2,sub-001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.4497182583485764,0.38,0.37887501432008247,0.3878892484717727,,0.06999999999999995,True,
Fp2,sub-002,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.4510089845228582,0.53,0.5144359569361313,0.5917388899133321,,0.29500000000000004,True,
Fp2,sub-003,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.49183832480243533,0.44,0.4349193263854964,0.4400037160906726,,0.16000000000000003,True,
Fp2,sub-004,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.4929928086414594,0.37,0.3670486597632656,0.3656331849401156,,0.05500000000000005,True,
Fp2,sub-005,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.5019888412698833,0.43333333333333335,0.4341562959989295,0.43706709956709955,,0.15000000000000002,True,
Fp2,sub-006,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.4719772064886672,0.38666666666666666,0.3865638121277219,0.3872243682600998,,0.07999999999999996,True,
Fp2,sub-007,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.49338964325475027,0.52,0.5156024398849265,0.5227982162764772,,0.28000000000000014,True,
Fp2,sub-008,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.5217130786489873,0.4,0.4004464637445177,0.4011599052838645,,0.09999999999999998,True,
Fp2,sub-009,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.4866186035386761,0.4866666666666667,0.48231994811252593,0.4829733531943065,,0.2300000000000001,True,
Fp2,sub-010,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.4796943496197741,0.41471571906354515,0.4153650221632908,0.4205590543309841,,0.12213740458015254,True,
Fp2,sub-011,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.5331008449118686,0.33666666666666667,0.33672514619883037,0.33791245791245794,,0.0050000000000000044,True,
AF3,sub-001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5224616363335363,0.4,0.39758890036342653,0.4065984470387803,,0.09999999999999998,True,
AF3,sub-002,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.4951923076923077,0.6333333333333333,0.6211746670499186,0.6924684307656538,,0.44999999999999996,True,
