	VP001_B	acc=0.6389	f1=0.6247	precision=0.6636	kappa=0.2778	inner_f1=0.8472
	VP002_B	acc=0.6250	f1=0.6029	precision=0.6609	kappa=0.2500	inner_f1=0.8611
	VP003_B	acc=0.8472	f1=0.8465	precision=0.8541	kappa=0.6944	inner_f1=0.8444
	VP004_B	acc=0.8194	f1=0.8194	precision=0.8197	kappa=0.6389	inner_f1=0.8749
	VP005_B	acc=0.8194	f1=0.8191	precision=0.8217	kappa=0.6389	inner_f1=0.8667
	VP006_B	acc=0.7639	f1=0.7627	precision=0.7691	kappa=0.5278	inner_f1=0.8694
	VP007_B	acc=0.8889	f1=0.8881	precision=0.9000	kappa=0.7778	inner_f1=0.8553
	VP008_B	acc=0.9722	f1=0.9722	precision=0.9737	kappa=0.9444	inner_f1=0.8274
	VP009_B	acc=0.9306	f1=0.9304	precision=0.9336	kappa=0.8611	inner_f1=0.8694
	VP010_B	acc=0.8056	f1=0.8056	precision=0.8056	kappa=0.6111	inner_f1=0.8722
	VP011_B	acc=0.7500	f1=0.7429	precision=0.7812	kappa=0.5000	inner_f1=0.8635
	VP012_B	acc=0.9861	f1=0.9861	precision=0.9865	kappa=0.9722	inner_f1=0.8555
	VP013_B	acc=0.8889	f1=0.8875	precision=0.9091	kappa=0.7778	inner_f1=0.8639
	VP014_B	acc=0.9722	f1=0.9722	precision=0.9737	kappa=0.9444	inner_f1=0.8693
	VP015_B	acc=0.8333	f1=0.8328	precision=0.8375	kappa=0.6667	inner_f1=0.8361
	VP016_B	acc=0.9444	f1=0.9444	precision=0.9458	kappa=0.8889	inner_f1=0.8361
	VP017_B	acc=0.8194	f1=0.8177	precision=0.8320	kappa=0.6389	inner_f1=0.8611
	VP018_B	acc=0.8611	f1=0.8610	precision=0.8622	kappa=0.7222	inner_f1=0.8416
	VP019_B	acc=0.8750	f1=0.8744	precision=0.8824	kappa=0.7500	inner_f1=0.8805
	VP020_B	acc=0.8472	f1=0.8458	precision=0.8609	kappa=0.6944	inner_f1=0.8889
	VP021_B	acc=0.9444	f1=0.9444	precision=0.9458	kappa=0.8889	inner_f1=0.8360
	VP022_B	acc=0.7639	f1=0.7638	precision=0.7641	kappa=0.5278	inner_f1=0.8805
	VP023_B	acc=0.7917	f1=0.7916	precision=0.7919	kappa=0.5833	inner_f1=0.8639
	VP024_B	acc=0.8056	f1=0.8000	precision=0.8438	kappa=0.6111	inner_f1=0.8417
	VP025_B	acc=1.0000	f1=1.0000	precision=1.0000	kappa=1.0000	inner_f1=0.8528
	VP026_B	acc=0.8333	f1=0.8332	precision=0.8344	kappa=0.6667	inner_f1=0.8750
