subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
VP001_B,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8471644371714615,0.6388888888888888,0.6246992782678429,0.6636363636363636,,0.2777777777777778,True,
VP002_B,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.8611068242847002,0.625,0.6028600612870276,0.6608738828202582,,0.25,True,
VP003_B,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8444012225618227,0.8472222222222222,0.8464818763326225,0.8540519276160503,,0.6944444444444444,True,
VP004_B,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8749218261413383,0.8194444444444444,0.8194096083349411,0.8196911196911197,,0.6388888888888888,True,
VP005_B,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8666625513133122,0.8194444444444444,0.8191304347826087,0.8216783216783217,,0.6388888888888888,True,
VP006_B,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.8694353774567678,0.7638888888888888,0.7627447179685987,0.7690794649881982,,0.5277777777777778,True,
VP007_B,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.85526966848095,0.8888888888888888,0.8881118881118881,0.9,,0.7777777777777778,True,
VP008_B,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8274369124195943,0.9722222222222222,0.9722007722007722,0.9736842105263157,,0.9444444444444444,True,
VP009_B,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8693627961920645,0.9305555555555556,0.9304347826086956,0.9335664335664335,,0.8611111111111112,True,
VP010_B,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8722064452401531,0.8055555555555556,0.8055555555555556,0.8055555555555556,,0.6111111111111112,True,
VP011_B,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8635086931963262,0.75,0.7428571428571429,0.78125,,0.5,True,
VP012_B,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.85553772070626,0.9861111111111112,0.9861084314103801,0.9864864864864865,,0.9722222222222222,True,
VP013_B,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8638878386407303,0.8888888888888888,0.8875,0.9090909090909092,,0.7777777777777778,True,
VP014_B,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.8693224383876923,0.9722222222222222,0.9722007722007722,0.9736842105263157,,0.9444444444444444,True,
VP015_B,"{""C"": 100.0, ""gamma"": ""auto""}",0.8361098465265936,0.8333333333333334,0.8328173374613003,0.8375,,0.6666666666666667,True,
VP016_B,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8360997291478576,0.9444444444444444,0.9444015444015443,0.9458204334365325,,0.8888888888888888,True,
VP017_B,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8610939622175577,0.8194444444444444,0.8177215189873418,0.8319967923015237,,0.6388888888888888,True,
VP018_B,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.8416067803413327,0.8611111111111112,0.8610038610038611,0.8622291021671826,,0.7222222222222222,True,
VP019_B,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.8805103781522334,0.875,0.8743942624539639,0.8823760818253343,,0.75,True,
VP020_B,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8888888888888888,0.8472222222222222,0.8457643622200585,0.8608660785886126,,0.6944444444444444,True,
VP021_B,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8359579545717839,0.9444444444444444,0.9444015444015443,0.9458204334365325,,0.8888888888888888,True,
VP022_B,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.8805325101292688,0.7638888888888888,0.7638433339764614,0.7640926640926642,,0.5277777777777778,True,
VP023_B,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8638626278217248,0.7916666666666666,0.7916264711557013,0.7918918918918919,,0.5833333333333333,True,
VP024_B,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8416654449494209,0.8055555555555556,0.8,0.84375,,0.6111111111111112,True,
VP025_B,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8527766417950755,1.0,1.0,1.0,,1.0,True,
VP026_B,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8749527213221048,0.8333333333333334,0.8332046332046332,0.8343653250773994,,0.6666666666666667,True,
