	VP001_A	acc=0.6759	f1=0.6605	precision=0.7149	kappa=0.3519	inner_f1=0.8425
	VP002_A	acc=0.8056	f1=0.8051	precision=0.8082	kappa=0.6111	inner_f1=0.8591
	VP003_A	acc=0.8796	f1=0.8796	precision=0.8798	kappa=0.7593	inner_f1=0.8441
	VP004_A	acc=0.4722	f1=0.3354	precision=0.3427	kappa=-0.0556	inner_f1=0.8444
	VP005_A	acc=0.7963	f1=0.7957	precision=0.8000	kappa=0.5926	inner_f1=0.8573
	VP006_A	acc=0.8611	f1=0.8610	precision=0.8622	kappa=0.7222	inner_f1=0.8296
	VP007_A	acc=0.9167	f1=0.9166	precision=0.9180	kappa=0.8333	inner_f1=0.8407
	VP008_A	acc=0.9259	f1=0.9259	precision=0.9265	kappa=0.8519	inner_f1=0.8366
	VP009_A	acc=0.9074	f1=0.9073	precision=0.9097	kappa=0.8148	inner_f1=0.8369
	VP010_A	acc=0.7407	f1=0.7404	precision=0.7421	kappa=0.4815	inner_f1=0.8389
	VP011_A	acc=0.7407	f1=0.7349	precision=0.7639	kappa=0.4815	inner_f1=0.8534
	VP012_A	acc=0.9167	f1=0.9167	precision=0.9168	kappa=0.8333	inner_f1=0.8405
	VP013_A	acc=0.8333	f1=0.8333	precision=0.8333	kappa=0.6667	inner_f1=0.8534
	VP014_A	acc=0.8981	f1=0.8981	precision=0.8983	kappa=0.7963	inner_f1=0.8366
	VP015_A	acc=0.8241	f1=0.8222	precision=0.8381	kappa=0.6481	inner_f1=0.8407
	VP016_A	acc=0.8519	f1=0.8510	precision=0.8597	kappa=0.7037	inner_f1=0.8629
	VP017_A	acc=0.8611	f1=0.8611	precision=0.8612	kappa=0.7222	inner_f1=0.8420
	VP018_A	acc=0.7870	f1=0.7855	precision=0.7952	kappa=0.5741	inner_f1=0.8333
	VP019_A	acc=0.8704	f1=0.8700	precision=0.8750	kappa=0.7407	inner_f1=0.8533
	VP020_A	acc=0.8426	f1=0.8423	precision=0.8456	kappa=0.6852	inner_f1=0.8343
	VP021_A	acc=0.7963	f1=0.7937	precision=0.8117	kappa=0.5926	inner_f1=0.8444
	VP022_A	acc=0.8426	f1=0.8426	precision=0.8427	kappa=0.6852	inner_f1=0.8166
	VP023_A	acc=0.8704	f1=0.8704	precision=0.8704	kappa=0.7407	inner_f1=0.8683
	VP024_A	acc=0.7130	f1=0.7017	precision=0.7509	kappa=0.4259	inner_f1=0.8326
	VP025_A	acc=0.9630	f1=0.9629	precision=0.9655	kappa=0.9259	inner_f1=0.8292
	VP026_A	acc=0.8148	f1=0.8148	precision=0.8148	kappa=0.6296	inner_f1=0.8513
