subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
VP001_C1,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6910124938426403,0.6833333333333333,0.6825396825396826,0.6851851851851851,,0.3666666666666667,True,
VP002_C1,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6956894918125982,0.7833333333333333,0.783273131425396,0.7836484983314794,,0.5666666666666667,True,
VP003_C1,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7332859174964438,0.5833333333333334,0.5832175604334537,0.5834260289210234,,0.16666666666666663,True,
VP004_C1,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7398959583833533,0.55,0.5468531468531468,0.5514285714285714,,0.09999999999999998,True,
VP005_C1,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7394325419803127,0.7666666666666667,0.7664071190211346,0.7678571428571428,,0.5333333333333333,True,
VP006_C1,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6962583028293594,0.8,0.7991071428571428,0.8054298642533937,,0.6,True,
VP007_C1,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.6866109530583215,0.7833333333333333,0.7827903091060986,0.7861952861952861,,0.5666666666666667,True,
VP008_C1,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6866666666666666,0.7333333333333333,0.7330367074527253,0.734375,,0.4666666666666667,True,
VP009_C1,"{""C"": 100.0, ""gamma"": ""auto""}",0.6662958843159066,0.6166666666666667,0.5977849023608277,0.6436388508891929,,0.23333333333333328,True,
VP010_C1,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7232564601278133,0.6666666666666666,0.6571428571428571,0.6875,,0.33333333333333337,True,
VP011_C1,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7090657778867697,0.5833333333333334,0.5822890559732665,0.5841750841750841,,0.16666666666666663,True,
VP012_C1,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.7015792826725978,0.6333333333333333,0.6316964285714286,0.6357466063348416,,0.2666666666666667,True,
VP013_C1,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7099194220616838,0.75,0.7499305362600722,0.7502780867630701,,0.5,True,
VP014_C1,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7166635184835387,0.7166666666666667,0.7165879410947485,0.7169076751946608,,0.43333333333333335,True,
VP015_C1,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6817740260610323,0.65,0.6419437340153453,0.6648351648351649,,0.30000000000000004,True,
VP016_C1,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7132823613086771,0.8333333333333334,0.8331479421579533,0.8348214285714286,,0.6666666666666667,True,
VP017_C1,"{""C"": 100.0, ""gamma"": ""auto""}",0.7599573257467995,0.75,0.7499305362600722,0.7502780867630701,,0.5,True,
VP018_C1,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7196885428253614,0.6333333333333333,0.6296296296296295,0.6388888888888888,,0.2666666666666667,True,
VP019_C1,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6965014285555469,0.6833333333333333,0.6825396825396826,0.6851851851851851,,0.3666666666666667,True,
VP020_C1,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7125155999286861,0.7166666666666667,0.7165879410947485,0.7169076751946608,,0.43333333333333335,True,
VP021_C1,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.643992655949129,0.8166666666666667,0.8166157265907197,0.8170189098998888,,0.6333333333333333,True,
VP022_C1,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6995192307692308,0.6833333333333333,0.6723196320781835,0.7118100128369704,,0.3666666666666667,True,
VP023_C1,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7029339445254175,0.6666666666666666,0.6662958843159066,0.6674107142857143,,0.33333333333333337,True,
VP024_C1,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7432620172270075,0.65,0.6451703745423825,0.6586368977673325,,0.30000000000000004,True,
VP025_C1,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6807473871694055,0.6833333333333333,0.6811188811188811,0.6885714285714286,,0.3666666666666667,True,
VP026_C1,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7092731829573935,0.75,0.7442455242966752,0.7747252747252746,,0.5,True,
