	sub-B61	acc=0.8500	f1=0.8494	precision=0.8556	kappa=0.7000	inner_f1=0.7578
	sub-B62	acc=0.6750	f1=0.6750	precision=0.6750	kappa=0.3500	inner_f1=0.7920
	sub-B63	acc=0.7562	f1=0.7562	precision=0.7563	kappa=0.5125	inner_f1=0.7812
	sub-B64	acc=0.7250	f1=0.7187	precision=0.7473	kappa=0.4500	inner_f1=0.7511
	sub-B65	acc=0.8187	f1=0.8187	precision=0.8192	kappa=0.6375	inner_f1=0.7703
	sub-B66	acc=0.7750	f1=0.7744	precision=0.7778	kappa=0.5500	inner_f1=0.7547
	sub-B67	acc=0.8562	f1=0.8560	precision=0.8590	kappa=0.7125	inner_f1=0.7281
	sub-B68	acc=0.7000	f1=0.6977	precision=0.7063	kappa=0.4000	inner_f1=0.7608
	sub-B69	acc=0.7063	f1=0.7029	precision=0.7160	kappa=0.4125	inner_f1=0.7562
	sub-B70	acc=0.7875	f1=0.7872	precision=0.7891	kappa=0.5750	inner_f1=0.7545
	sub-B71	acc=0.7500	f1=0.7486	precision=0.7558	kappa=0.5000	inner_f1=0.7513
	sub-B72	acc=0.8688	f1=0.8687	precision=0.8693	kappa=0.7375	inner_f1=0.7682
	sub-B73	acc=0.7250	f1=0.7206	precision=0.7400	kappa=0.4500	inner_f1=0.7450
	sub-B74	acc=0.6188	f1=0.6169	precision=0.6210	kappa=0.2375	inner_f1=0.7859
	sub-B75	acc=0.6875	f1=0.6875	precision=0.6875	kappa=0.3750	inner_f1=0.7609
	sub-B76	acc=0.7375	f1=0.7371	precision=0.7388	kappa=0.4750	inner_f1=0.7312
	sub-B77	acc=0.8063	f1=0.8062	precision=0.8067	kappa=0.6125	inner_f1=0.7547
	sub-B78	acc=0.5625	f1=0.5624	precision=0.5625	kappa=0.1250	inner_f1=0.7547
	sub-B79	acc=0.8688	f1=0.8687	precision=0.8688	kappa=0.7375	inner_f1=0.7624
	sub-B80	acc=0.6750	f1=0.6749	precision=0.6751	kappa=0.3500	inner_f1=0.7656
	sub-B81	acc=0.8562	f1=0.8561	precision=0.8576	kappa=0.7125	inner_f1=0.7375
