subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
sub-B61,"{""C"": 100.0, ""gamma"": ""auto""}",0.7577977171458219,0.85,0.8494117647058823,0.8555555555555556,,0.7,True,
sub-B62,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.7920407709541155,0.675,0.675,0.675,,0.35,True,
sub-B63,"{""C"": 100.0, ""gamma"": ""auto""}",0.781241454744326,0.75625,0.7562404781436776,0.7562900453195812,,0.5125,True,
sub-B64,"{""C"": 100.0, ""gamma"": ""auto""}",0.7511195462627578,0.725,0.7186700767263428,0.7472527472527473,,0.44999999999999996,True,
sub-B65,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.7703074530446226,0.81875,0.8186862568871869,0.8191988734157409,,0.6375,True,
sub-B66,"{""C"": 100.0, ""gamma"": ""auto""}",0.7546725263993164,0.775,0.7744360902255639,0.7777777777777778,,0.55,True,
sub-B67,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7281143794679479,0.85625,0.8559743258580877,0.8589985829003306,,0.7125,True,
sub-B68,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.760806106870229,0.7,0.6976854038734057,0.7063185041908446,,0.4,True,
sub-B69,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7561904761904762,0.70625,0.7028959740824148,0.7160039273441334,,0.4125,True,
sub-B70,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.7545142935323018,0.7875,0.7872007510561727,0.7891263356379636,,0.575,True,
sub-B71,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7512947289440046,0.75,0.7485857950974231,0.7557544757033248,,0.5,True,
sub-B72,"{""C"": 100.0, ""gamma"": ""auto""}",0.7682407633961341,0.86875,0.8687038411941699,0.8692692849319354,,0.7375,True,
sub-B73,"{""C"": 100.0, ""gamma"": ""auto""}",0.7450379925652375,0.725,0.7206349206349206,0.74,,0.44999999999999996,True,
sub-B74,"{""C"": 100.0, ""gamma"": ""auto""}",0.7858742450772811,0.61875,0.6169394403234036,0.621038381907947,,0.23750000000000004,True,
sub-B75,"{""C"": 100.0, ""gamma"": ""auto""}",0.7608902151060146,0.6875,0.6875,0.6875,,0.375,True,
sub-B76,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.7312395015430291,0.7375,0.7371303395399781,0.7388434946574481,,0.475,True,
sub-B77,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.7546869010910671,0.80625,0.8061818608104412,0.8066812705366923,,0.6125,True,
sub-B78,"{""C"": 100.0, ""gamma"": ""auto""}",0.7546821097143248,0.5625,0.5624316299421784,0.5625390869293309,,0.125,True,
sub-B79,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.7623862981309415,0.86875,0.8687448728465956,0.8688076261915925,,0.7375,True,
sub-B80,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7655677655677655,0.675,0.6749492108141897,0.6751094434021263,,0.35,True,
sub-B81,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7374974364984033,0.85625,0.8561094819159335,0.8576470588235294,,0.7125,True,
