subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
sub-001,"{""C"": 100.0, ""gamma"": ""auto""}",0.739279809694192,0.7233333333333334,0.7254014901890936,0.7306690049231789,,0.585,True,
sub-002,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6795715884569645,0.8666666666666667,0.8686869601373464,0.8771841480389749,,0.8,True,
sub-003,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7190235000371613,0.6833333333333333,0.6844017319056813,0.688388500860411,,0.525,True,
sub-004,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7223228303390288,0.69,0.687627607745577,0.687997623291741,,0.5349999999999999,True,
sub-005,"{""C"": 100.0, ""gamma"": ""auto""}",0.6879029785462535,0.66,0.6559829243492853,0.6610803723777979,,0.49,True,
sub-006,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7382361260279128,0.5866666666666667,0.5880927501617156,0.6144197765556989,,0.38,True,
sub-007,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7089963176919699,0.8133333333333334,0.8142374219977261,0.8166069295101553,,0.72,True,
sub-008,"{""C"": 100.0, ""gamma"": ""auto""}",0.7393490700878282,0.6933333333333334,0.6809324774842017,0.6961798719080273,,0.54,True,
sub-009,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7075125083464169,0.7633333333333333,0.764068637440185,0.7675871296874589,,0.645,True,
sub-010,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7545116401190267,0.6488294314381271,0.6505458975147147,0.6534368749599618,,0.4731675392670157,True,
sub-011,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7714420520791375,0.38,0.37851361276498013,0.38201459034792373,,0.06999999999999995,True,
