	VP001_B	acc=0.6528	f1=0.6370	precision=0.6849	kappa=0.3056	inner_f1=0.8555
	VP002_B	acc=0.6806	f1=0.6509	precision=0.7737	kappa=0.3611	inner_f1=0.8694
	VP003_B	acc=0.8333	f1=0.8332	precision=0.8344	kappa=0.6667	inner_f1=0.8500
	VP004_B	acc=0.8333	f1=0.8332	precision=0.8344	kappa=0.6667	inner_f1=0.8749
	VP005_B	acc=0.8333	f1=0.8328	precision=0.8375	kappa=0.6667	inner_f1=0.8667
	VP006_B	acc=0.7778	f1=0.7771	precision=0.7812	kappa=0.5556	inner_f1=0.8694
	VP007_B	acc=0.8889	f1=0.8881	precision=0.9000	kappa=0.7778	inner_f1=0.8553
	VP008_B	acc=0.9722	f1=0.9722	precision=0.9737	kappa=0.9444	inner_f1=0.8304
	VP009_B	acc=0.9167	f1=0.9164	precision=0.9219	kappa=0.8333	inner_f1=0.8694
	VP010_B	acc=0.7917	f1=0.7916	precision=0.7919	kappa=0.5833	inner_f1=0.8667
	VP011_B	acc=0.7500	f1=0.7429	precision=0.7812	kappa=0.5000	inner_f1=0.8608
	VP012_B	acc=1.0000	f1=1.0000	precision=1.0000	kappa=1.0000	inner_f1=0.8583
	VP013_B	acc=0.8889	f1=0.8875	precision=0.9091	kappa=0.7778	inner_f1=0.8722
	VP014_B	acc=0.9722	f1=0.9722	precision=0.9737	kappa=0.9444	inner_f1=0.8721
	VP015_B	acc=0.8750	f1=0.8748	precision=0.8776	kappa=0.7500	inner_f1=0.8417
	VP016_B	acc=0.9028	f1=0.9023	precision=0.9107	kappa=0.8056	inner_f1=0.8416
	VP017_B	acc=0.7917	f1=0.7884	precision=0.8111	kappa=0.5833	inner_f1=0.8694
	VP018_B	acc=0.8333	f1=0.8333	precision=0.8333	kappa=0.6667	inner_f1=0.8388
	VP019_B	acc=0.8889	f1=0.8881	precision=0.9000	kappa=0.7778	inner_f1=0.8860
	VP020_B	acc=0.8194	f1=0.8177	precision=0.8320	kappa=0.6389	inner_f1=0.9000
	VP021_B	acc=0.9583	f1=0.9583	precision=0.9587	kappa=0.9167	inner_f1=0.8444
	VP022_B	acc=0.7917	f1=0.7916	precision=0.7919	kappa=0.5833	inner_f1=0.8778
	VP023_B	acc=0.7917	f1=0.7916	precision=0.7919	kappa=0.5833	inner_f1=0.8639
	VP024_B	acc=0.7778	f1=0.7690	precision=0.8273	kappa=0.5556	inner_f1=0.8528
	VP025_B	acc=1.0000	f1=1.0000	precision=1.0000	kappa=1.0000	inner_f1=0.8472
	VP026_B	acc=0.8333	f1=0.8333	precision=0.8333	kappa=0.6667	inner_f1=0.8750
