subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
VP001_B,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.8554841897233202,0.6527777777777778,0.6370235934664247,0.6848739495798319,,0.3055555555555556,True,
VP002_B,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.8694353774567678,0.6805555555555556,0.650853889943074,0.7736842105263158,,0.36111111111111116,True,
VP003_B,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.8499814791949623,0.8333333333333334,0.8332046332046332,0.8343653250773994,,0.6666666666666667,True,
VP004_B,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8748831856903436,0.8333333333333334,0.8332046332046332,0.8343653250773994,,0.6666666666666667,True,
VP005_B,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.8666666666666667,0.8333333333333334,0.8328173374613003,0.8375,,0.6666666666666667,True,
VP006_B,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8694434370635575,0.7777777777777778,0.7770897832817337,0.78125,,0.5555555555555556,True,
VP007_B,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8553367747519396,0.8888888888888888,0.8881118881118881,0.9,,0.7777777777777778,True,
VP008_B,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8303972072691325,0.9722222222222222,0.9722007722007722,0.9736842105263157,,0.9444444444444444,True,
VP009_B,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8693950644919761,0.9166666666666666,0.9164086687306501,0.921875,,0.8333333333333334,True,
VP010_B,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8666625513133122,0.7916666666666666,0.7916264711557013,0.7918918918918919,,0.5833333333333333,True,
VP011_B,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8608362196932211,0.75,0.7428571428571429,0.78125,,0.5,True,
VP012_B,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.858323494687131,1.0,1.0,1.0,,1.0,True,
VP013_B,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.8722064452401531,0.8888888888888888,0.8875,0.9090909090909092,,0.7777777777777778,True,
VP014_B,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.8721235521235522,0.9722222222222222,0.9722007722007722,0.9736842105263157,,0.9444444444444444,True,
VP015_B,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.8416654449494209,0.875,0.8747826086956522,0.8776223776223776,,0.75,True,
VP016_B,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.8416361180783329,0.9027777777777778,0.9023066485753053,0.9107002360346184,,0.8055555555555556,True,
VP017_B,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8694192552575728,0.7916666666666666,0.7883597883597884,0.8111111111111111,,0.5833333333333333,True,
VP018_B,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.8387644787644788,0.8333333333333334,0.8333333333333334,0.8333333333333334,,0.6666666666666667,True,
VP019_B,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.886039886039886,0.8888888888888888,0.8881118881118881,0.9,,0.7777777777777778,True,
VP020_B,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.9,0.8194444444444444,0.8177215189873418,0.8319967923015237,,0.6388888888888888,True,
VP021_B,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8443675889328064,0.9583333333333334,0.9583252942311402,0.9586872586872587,,0.9166666666666666,True,
VP022_B,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8777777777777778,0.7916666666666666,0.7916264711557013,0.7918918918918919,,0.5833333333333333,True,
VP023_B,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8638626278217248,0.7916666666666666,0.7916264711557013,0.7918918918918919,,0.5833333333333333,True,
VP024_B,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8527766417950755,0.7777777777777778,0.7690457097032879,0.8272727272727273,,0.5555555555555556,True,
VP025_B,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.847192745514181,1.0,1.0,1.0,,1.0,True,
VP026_B,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8749527213221048,0.8333333333333334,0.8333333333333334,0.8333333333333334,,0.6666666666666667,True,
