	VP001_A	acc=0.6944	f1=0.6799	precision=0.7375	kappa=0.3889	inner_f1=0.8555
	VP002_A	acc=0.8241	f1=0.8239	precision=0.8251	kappa=0.6481	inner_f1=0.8554
	VP003_A	acc=0.8704	f1=0.8703	precision=0.8709	kappa=0.7407	inner_f1=0.8478
	VP004_A	acc=0.4815	f1=0.3400	precision=0.3702	kappa=-0.0370	inner_f1=0.8407
	VP005_A	acc=0.8333	f1=0.8324	precision=0.8408	kappa=0.6667	inner_f1=0.8572
	VP006_A	acc=0.8611	f1=0.8608	precision=0.8642	kappa=0.7222	inner_f1=0.8314
	VP007_A	acc=0.8981	f1=0.8979	precision=0.9016	kappa=0.7963	inner_f1=0.8424
	VP008_A	acc=0.9444	f1=0.9444	precision=0.9469	kappa=0.8889	inner_f1=0.8327
	VP009_A	acc=0.9074	f1=0.9073	precision=0.9097	kappa=0.8148	inner_f1=0.8425
	VP010_A	acc=0.7500	f1=0.7483	precision=0.7571	kappa=0.5000	inner_f1=0.8423
	VP011_A	acc=0.7593	f1=0.7551	precision=0.7779	kappa=0.5185	inner_f1=0.8535
	VP012_A	acc=0.9259	f1=0.9259	precision=0.9259	kappa=0.8519	inner_f1=0.8331
	VP013_A	acc=0.8148	f1=0.8146	precision=0.8166	kappa=0.6296	inner_f1=0.8644
	VP014_A	acc=0.8981	f1=0.8981	precision=0.8983	kappa=0.7963	inner_f1=0.8497
	VP015_A	acc=0.8333	f1=0.8313	precision=0.8506	kappa=0.6667	inner_f1=0.8407
	VP016_A	acc=0.8426	f1=0.8415	precision=0.8524	kappa=0.6852	inner_f1=0.8518
	VP017_A	acc=0.8241	f1=0.8239	precision=0.8251	kappa=0.6481	inner_f1=0.8456
	VP018_A	acc=0.8056	f1=0.8042	precision=0.8143	kappa=0.6111	inner_f1=0.8222
	VP019_A	acc=0.8426	f1=0.8419	precision=0.8484	kappa=0.6852	inner_f1=0.8589
	VP020_A	acc=0.8611	f1=0.8605	precision=0.8673	kappa=0.7222	inner_f1=0.8403
	VP021_A	acc=0.7870	f1=0.7848	precision=0.7995	kappa=0.5741	inner_f1=0.8388
	VP022_A	acc=0.8333	f1=0.8333	precision=0.8338	kappa=0.6667	inner_f1=0.8221
	VP023_A	acc=0.8611	f1=0.8610	precision=0.8622	kappa=0.7222	inner_f1=0.8703
	VP024_A	acc=0.7315	f1=0.7262	precision=0.7508	kappa=0.4630	inner_f1=0.8363
	VP025_A	acc=0.9722	f1=0.9722	precision=0.9737	kappa=0.9444	inner_f1=0.8293
	VP026_A	acc=0.7963	f1=0.7960	precision=0.7979	kappa=0.5926	inner_f1=0.8518
