subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
VP001_A,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.855547629499561,0.6944444444444444,0.6799281544678941,0.7375366568914956,,0.38888888888888884,True,
VP002_A,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8553948832035595,0.8240740740740741,0.8239382239382239,0.8250773993808049,,0.6481481481481481,True,
VP003_A,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8478476001979218,0.8703703703703703,0.8703259005145798,0.8708791208791209,,0.7407407407407407,True,
VP004_A,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8407407407407408,0.48148148148148145,0.3400261894369271,0.3701923076923077,,-0.03703703703703698,True,
VP005_A,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.8571914314858892,0.8333333333333334,0.8324137931034483,0.8408134642356241,,0.6666666666666667,True,
VP006_A,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8314115253586022,0.8611111111111112,0.8608127846034883,0.8642338291248703,,0.7222222222222222,True,
VP007_A,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8423974811065826,0.8981481481481481,0.8979293753758915,0.9015911449325493,,0.7962962962962963,True,
VP008_A,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8327459941633171,0.9444444444444444,0.9443681318681318,0.9468965517241379,,0.8888888888888888,True,
VP009_A,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8425013124890626,0.9074074074074074,0.9072802197802198,0.9096551724137931,,0.8148148148148149,True,
VP010_A,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8423065162795331,0.75,0.7482517482517483,0.7571428571428571,,0.5,True,
VP011_A,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8535223647931767,0.7592592592592593,0.7551447506103941,0.7779411764705882,,0.5185185185185186,True,
VP012_A,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8331043956043955,0.9259259259259259,0.9259259259259259,0.9259259259259259,,0.8518518518518519,True,
VP013_A,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8644238011549084,0.8148148148148148,0.8145604395604396,0.816551724137931,,0.6296296296296297,True,
VP014_A,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8497273861016728,0.8981481481481481,0.8981394152447912,0.8982847341337907,,0.7962962962962963,True,
VP015_A,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8407385560844456,0.8333333333333334,0.83125,0.8506493506493507,,0.6666666666666667,True,
VP016_A,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8517786561264822,0.8425925925925926,0.8414918414918415,0.8523809523809524,,0.6851851851851851,True,
VP017_A,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8456478691347395,0.8240740740740741,0.8239382239382239,0.8250773993808049,,0.6481481481481481,True,
VP018_A,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8222002716384739,0.8055555555555556,0.8041958041958042,0.8142857142857143,,0.6111111111111112,True,
VP019_A,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8589322297232267,0.8425925925925926,0.8419285406801549,0.8484478549005929,,0.6851851851851851,True,
VP020_A,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8403113996478873,0.8611111111111112,0.8605251829530779,0.8672828740844087,,0.7222222222222222,True,
VP021_A,"{""C"": 100.0, ""gamma"": ""scale""}",0.8388441233676021,0.7870370370370371,0.7848046435068873,0.7994633273703041,,0.5740740740740741,True,
VP022_A,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8221343873517787,0.8333333333333334,0.8332761578044596,0.8337912087912087,,0.6666666666666667,True,
VP023_A,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8703063241106719,0.8611111111111112,0.8610038610038611,0.8622291021671826,,0.7222222222222222,True,
VP024_A,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8363095238095237,0.7314814814814815,0.7261998426435878,0.7508361204013378,,0.4629629629629629,True,
VP025_A,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8292924294903513,0.9722222222222222,0.9722007722007722,0.9736842105263157,,0.9444444444444444,True,
VP026_A,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.851819329345261,0.7962962962962963,0.7960164835164836,0.7979310344827586,,0.5925925925925926,True,
