	sub-B61	acc=0.8500	f1=0.8494	precision=0.8556	kappa=0.7000	inner_f1=0.7578
	sub-B62	acc=0.6750	f1=0.6750	precision=0.6750	kappa=0.3500	inner_f1=0.7920
	sub-B63	acc=0.7562	f1=0.7562	precision=0.7563	kappa=0.5125	inner_f1=0.7781
	sub-B64	acc=0.7250	f1=0.7187	precision=0.7473	kappa=0.4500	inner_f1=0.7511
	sub-B65	acc=0.8187	f1=0.8187	precision=0.8192	kappa=0.6375	inner_f1=0.7703
	sub-B66	acc=0.7750	f1=0.7744	precision=0.7778	kappa=0.5500	inner_f1=0.7547
	sub-B67	acc=0.8750	f1=0.8749	precision=0.8759	kappa=0.7500	inner_f1=0.7312
	sub-B68	acc=0.6625	f1=0.6606	precision=0.6662	kappa=0.3250	inner_f1=0.7812
	sub-B69	acc=0.7125	f1=0.7109	precision=0.7174	kappa=0.4250	inner_f1=0.7515
	sub-B70	acc=0.7875	f1=0.7872	precision=0.7891	kappa=0.5750	inner_f1=0.7545
	sub-B71	acc=0.7438	f1=0.7415	precision=0.7526	kappa=0.4875	inner_f1=0.7451
	sub-B72	acc=0.8688	f1=0.8687	precision=0.8693	kappa=0.7375	inner_f1=0.7682
	sub-B73	acc=0.7125	f1=0.7070	precision=0.7299	kappa=0.4250	inner_f1=0.7419
	sub-B74	acc=0.6312	f1=0.6270	precision=0.6375	kappa=0.2625	inner_f1=0.7655
	sub-B75	acc=0.6937	f1=0.6937	precision=0.6938	kappa=0.3875	inner_f1=0.7594
	sub-B76	acc=0.7625	f1=0.7616	precision=0.7667	kappa=0.5250	inner_f1=0.7343
	sub-B77	acc=0.7750	f1=0.7744	precision=0.7778	kappa=0.5500	inner_f1=0.7609
	sub-B78	acc=0.5625	f1=0.5624	precision=0.5625	kappa=0.1250	inner_f1=0.7547
	sub-B79	acc=0.8688	f1=0.8687	precision=0.8688	kappa=0.7375	inner_f1=0.7624
	sub-B80	acc=0.6937	f1=0.6937	precision=0.6938	kappa=0.3875	inner_f1=0.7609
	sub-B81	acc=0.8688	f1=0.8687	precision=0.8693	kappa=0.7375	inner_f1=0.7500
