subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
sub-B61,"{""C"": 100.0, ""gamma"": ""auto""}",0.7577977171458219,0.85,0.8494117647058823,0.8555555555555556,,0.7,True,
sub-B62,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7920407709541155,0.675,0.675,0.675,,0.35,True,
sub-B63,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7781228332307932,0.75625,0.7562404781436776,0.7562900453195812,,0.5125,True,
sub-B64,"{""C"": 100.0, ""gamma"": ""auto""}",0.7511195462627578,0.725,0.7186700767263428,0.7472527472527473,,0.44999999999999996,True,
sub-B65,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7703074530446226,0.81875,0.8186862568871869,0.8191988734157409,,0.6375,True,
sub-B66,"{""C"": 100.0, ""gamma"": ""auto""}",0.7546725263993164,0.775,0.7744360902255639,0.7777777777777778,,0.55,True,
sub-B67,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7311843711843712,0.875,0.8749218261413383,0.8759398496240601,,0.75,True,
sub-B68,"{""C"": 100.0, ""gamma"": ""auto""}",0.7812307722358411,0.6625,0.660590823381521,0.6662404092071611,,0.32499999999999996,True,
sub-B69,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7514890873524649,0.7125,0.7108736643620364,0.7173913043478262,,0.42500000000000004,True,
sub-B70,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7545142935323018,0.7875,0.7872007510561727,0.7891263356379636,,0.575,True,
sub-B71,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7451326741768484,0.74375,0.7414778325123152,0.7526315789473684,,0.48750000000000004,True,
sub-B72,"{""C"": 100.0, ""gamma"": ""auto""}",0.7682407633961341,0.86875,0.8687038411941699,0.8692692849319354,,0.7375,True,
sub-B73,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7419096243758538,0.7125,0.7069597069597069,0.7298850574712643,,0.42500000000000004,True,
sub-B74,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7655127942081661,0.63125,0.627039627039627,0.6374570446735395,,0.26249999999999996,True,
sub-B75,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7593538494594252,0.69375,0.6937380366420562,0.6937802781684639,,0.38749999999999996,True,
sub-B76,"{""C"": 100.0, ""gamma"": ""auto""}",0.7342815833691532,0.7625,0.7615686274509804,0.7666666666666666,,0.525,True,
sub-B77,"{""C"": 100.0, ""gamma"": ""auto""}",0.7609322470464439,0.775,0.7744360902255639,0.7777777777777778,,0.55,True,
sub-B78,"{""C"": 100.0, ""gamma"": ""auto""}",0.7546821097143248,0.5625,0.5624316299421784,0.5625390869293309,,0.125,True,
sub-B79,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7623862981309415,0.86875,0.8687448728465956,0.8688076261915925,,0.7375,True,
sub-B80,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7608902151060146,0.69375,0.6937380366420562,0.6937802781684639,,0.38749999999999996,True,
sub-B81,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.75,0.86875,0.8687038411941699,0.8692692849319354,,0.7375,True,
