subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
sub-001,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.8144795463699872,0.875,0.8749718686704508,0.8753378040236213,,0.75,True,
sub-002,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.812988031233999,0.725,0.7238331952499311,0.72886786695148,,0.44999999999999996,True,
sub-003,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.8079969279508472,0.94,0.9399038461538461,0.9428341384863124,,0.88,True,
sub-004,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.828993843778376,0.57,0.5664885573142454,0.5723439437784208,,0.14,True,
sub-005,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.807459518363736,0.875,0.8749218261413383,0.8759398496240601,,0.75,True,
sub-006,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.8094995713740356,0.87,0.8691626409017714,0.8797208538587848,,0.74,True,
sub-007,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.813958140581631,0.7,0.6980676328502415,0.7052545155993433,,0.4,True,
sub-008,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.8034822642743508,0.905,0.9049786201895427,0.9053648283455109,,0.81,True,
sub-009,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.8254681915779151,0.79,0.78997899789979,0.7901160464185675,,0.5800000000000001,True,
sub-010,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.8304979235995641,0.78,0.779205138498595,0.7840909090909092,,0.56,True,
sub-011,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.8089625566611056,0.91,0.9097744360902256,0.9141414141414141,,0.8200000000000001,True,
sub-012,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.8149814981498149,0.51,0.5098039215686274,0.5100160256410255,,0.020000000000000018,True,
sub-013,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.8124894525317049,0.855,0.8549963749093727,0.855035503550355,,0.71,True,
sub-014,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.8184897900506903,0.6,0.5996396757081373,0.6003613006824569,,0.19999999999999996,True,
sub-015,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.8049436287086968,0.83,0.83,0.83,,0.6599999999999999,True,
sub-016,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.807999231996928,0.63,0.6214833759590792,0.6428571428571428,,0.26,True,
sub-017,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.8294477683790661,0.76,0.7599039615846338,0.7604166666666667,,0.52,True,
sub-018,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.8284687384275784,0.63,0.63,0.63,,0.26,True,
sub-019,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.8044643636302716,0.745,0.7421572840567254,0.7563029605607281,,0.49,True,
sub-020,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.8074976418461126,0.91,0.90999099909991,0.9101640656262505,,0.8200000000000001,True,
sub-021,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.8034398034398035,0.895,0.8949763696831787,0.8953558202382144,,0.79,True,
sub-022,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.8229984069856628,0.65,0.6477455716586151,0.6539408866995073,,0.30000000000000004,True,
sub-023,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.8099450741264225,0.8844221105527639,0.8844221105527639,0.8844444444444444,,0.7688500580778749,True,
sub-024,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.8024960005440109,0.955,0.9549448073890516,0.957240478343885,,0.91,True,
sub-025,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.8189042003219704,0.93,0.9299929992999301,0.930172068827531,,0.86,True,
sub-026,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.7994385780645323,0.8994974874371859,0.8994949494949496,0.8994949494949496,,0.7989898989898989,True,
sub-027,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.8139992559970239,0.68,0.677938808373591,0.6847290640394088,,0.36,True,
sub-028,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.816981698169817,0.845,0.843871975019516,0.8552672227371022,,0.69,True,
