	VP001_A	acc=0.6667	f1=0.6522	precision=0.6998	kappa=0.3333	inner_f1=0.8537
	VP002_A	acc=0.8056	f1=0.8051	precision=0.8082	kappa=0.6111	inner_f1=0.8406
	VP003_A	acc=0.8704	f1=0.8703	precision=0.8709	kappa=0.7407	inner_f1=0.8385
	VP004_A	acc=0.4722	f1=0.3354	precision=0.3427	kappa=-0.0556	inner_f1=0.8278
	VP005_A	acc=0.8056	f1=0.8054	precision=0.8065	kappa=0.6111	inner_f1=0.8462
	VP006_A	acc=0.8333	f1=0.8331	precision=0.8352	kappa=0.6667	inner_f1=0.8426
	VP007_A	acc=0.8796	f1=0.8791	precision=0.8861	kappa=0.7593	inner_f1=0.8370
	VP008_A	acc=0.9537	f1=0.9537	precision=0.9551	kappa=0.9074	inner_f1=0.8328
	VP009_A	acc=0.8981	f1=0.8979	precision=0.9016	kappa=0.7963	inner_f1=0.8333
	VP010_A	acc=0.7407	f1=0.7407	precision=0.7407	kappa=0.4815	inner_f1=0.8370
	VP011_A	acc=0.7315	f1=0.7229	precision=0.7642	kappa=0.4630	inner_f1=0.8387
	VP012_A	acc=0.8981	f1=0.8981	precision=0.8994	kappa=0.7963	inner_f1=0.8313
	VP013_A	acc=0.8241	f1=0.8239	precision=0.8251	kappa=0.6481	inner_f1=0.8552
	VP014_A	acc=0.8796	f1=0.8795	precision=0.8808	kappa=0.7593	inner_f1=0.8402
	VP015_A	acc=0.8426	f1=0.8409	precision=0.8574	kappa=0.6852	inner_f1=0.8463
	VP016_A	acc=0.8611	f1=0.8605	precision=0.8673	kappa=0.7222	inner_f1=0.8387
	VP017_A	acc=0.8333	f1=0.8328	precision=0.8375	kappa=0.6667	inner_f1=0.8383
	VP018_A	acc=0.8241	f1=0.8228	precision=0.8333	kappa=0.6481	inner_f1=0.8204
	VP019_A	acc=0.8519	f1=0.8516	precision=0.8538	kappa=0.7037	inner_f1=0.8497
	VP020_A	acc=0.8611	f1=0.8605	precision=0.8673	kappa=0.7222	inner_f1=0.8266
	VP021_A	acc=0.7870	f1=0.7855	precision=0.7952	kappa=0.5741	inner_f1=0.8296
	VP022_A	acc=0.8426	f1=0.8425	precision=0.8437	kappa=0.6852	inner_f1=0.8129
	VP023_A	acc=0.8889	f1=0.8887	precision=0.8910	kappa=0.7778	inner_f1=0.8481
	VP024_A	acc=0.7037	f1=0.6909	precision=0.7442	kappa=0.4074	inner_f1=0.8343
	VP025_A	acc=0.9722	f1=0.9722	precision=0.9737	kappa=0.9444	inner_f1=0.8364
	VP026_A	acc=0.8148	f1=0.8148	precision=0.8148	kappa=0.6296	inner_f1=0.8494
