subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
VP001_C1,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6809954751131222,0.65,0.6491228070175439,0.6515151515151515,,0.30000000000000004,True,
VP002_C1,"{""C"": 100.0, ""gamma"": ""auto""}",0.7029339445254175,0.7666666666666667,0.7666666666666667,0.7666666666666667,,0.5333333333333333,True,
VP003_C1,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7165879410947485,0.6,0.5995550611790879,0.6004464285714286,,0.19999999999999996,True,
VP004_C1,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7330367074527253,0.5166666666666667,0.49985628054038517,0.5192554557124518,,0.033333333333333326,True,
VP005_C1,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7298529199230692,0.7,0.696969696969697,0.7083333333333333,,0.4,True,
VP006_C1,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6916752312435765,0.8166666666666667,0.8166157265907197,0.8170189098998888,,0.6333333333333333,True,
VP007_C1,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6798719487795117,0.7666666666666667,0.7666666666666667,0.7666666666666667,,0.5333333333333333,True,
VP008_C1,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6796440489432702,0.6166666666666667,0.6165601555987774,0.6167964404894327,,0.23333333333333328,True,
VP009_C1,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6763754045307443,0.6666666666666666,0.6571428571428571,0.6875,,0.33333333333333337,True,
VP010_C1,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.729924979160878,0.6833333333333333,0.6789636722050126,0.6938895417156287,,0.3666666666666667,True,
VP011_C1,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6954450629748212,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.33333333333333337,True,
VP012_C1,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7111638529398594,0.6,0.595959595959596,0.6041666666666667,,0.19999999999999996,True,
VP013_C1,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.7251887930649269,0.7833333333333333,0.7818181818181819,0.7914285714285714,,0.5666666666666667,True,
VP014_C1,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7,0.7166666666666667,0.7165879410947485,0.7169076751946608,,0.43333333333333335,True,
VP015_C1,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.703250903028619,0.65,0.6451703745423825,0.6586368977673325,,0.30000000000000004,True,
VP016_C1,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.7088320931737302,0.8333333333333334,0.8325892857142857,0.839366515837104,,0.6666666666666667,True,
VP017_C1,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.7098420251025559,0.6833333333333333,0.6832453459294248,0.6835372636262513,,0.3666666666666667,True,
VP018_C1,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.726618065433855,0.6333333333333333,0.6296296296296295,0.6388888888888888,,0.2666666666666667,True,
VP019_C1,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6892230576441103,0.7166666666666667,0.7165879410947485,0.7169076751946608,,0.43333333333333335,True,
VP020_C1,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6928418803418803,0.6833333333333333,0.6825396825396826,0.6851851851851851,,0.3666666666666667,True,
VP021_C1,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6501319081964243,0.7666666666666667,0.7664071190211346,0.7678571428571428,,0.5333333333333333,True,
VP022_C1,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6991442324835087,0.7333333333333333,0.7222222222222222,0.7777777777777777,,0.4666666666666667,True,
VP023_C1,"{""C"": 100.0, ""gamma"": ""auto""}",0.7033300370004111,0.6666666666666666,0.6632996632996633,0.6736111111111112,,0.33333333333333337,True,
VP024_C1,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.7298529199230692,0.65,0.6419437340153453,0.6648351648351649,,0.30000000000000004,True,
VP025_C1,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6594551282051282,0.65,0.6499027507641011,0.6501668520578421,,0.30000000000000004,True,
VP026_C1,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7266545179785768,0.7333333333333333,0.7306397306397306,0.7430555555555556,,0.4666666666666667,True,
