subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
sub-B61,"{""C"": 100.0, ""gamma"": ""auto""}",0.7343334896077511,0.83125,0.8309263825290595,0.8338056998897811,,0.6625,True,
sub-B62,"{""C"": 100.0, ""gamma"": ""auto""}",0.7764396946564885,0.625,0.6244719136285402,0.6257071024512885,,0.25,True,
sub-B63,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7640480986388329,0.70625,0.7061466921964753,0.7065404475043029,,0.4125,True,
sub-B64,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7316009034925727,0.6875,0.6843434343434344,0.6953125,,0.375,True,
sub-B65,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7593656002187585,0.79375,0.7930953407265176,0.7975154296565912,,0.5875,True,
sub-B66,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.75622857477708,0.75,0.7493734335839599,0.7525252525252526,,0.5,True,
sub-B67,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7499780254123898,0.86875,0.8684982975226019,0.8715950244056054,,0.7375,True,
sub-B68,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7686392902853905,0.6875,0.6825396825396826,0.7,,0.375,True,
sub-B69,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7530068098992682,0.7375,0.7364705882352941,0.7412698412698413,,0.475,True,
sub-B70,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7453069037161462,0.7,0.7,0.7,,0.4,True,
sub-B71,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7403714565004889,0.74375,0.7414778325123152,0.7526315789473684,,0.48750000000000004,True,
sub-B72,"{""C"": 100.0, ""gamma"": ""auto""}",0.7311554843499668,0.83125,0.8312434079456229,0.8313017659009221,,0.6625,True,
sub-B73,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7292744055260102,0.6375,0.6260477111540941,0.6566951566951567,,0.275,True,
sub-B74,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7607687064359374,0.625,0.6212121212121212,0.6302083333333333,,0.25,True,
sub-B75,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7280293853307803,0.75625,0.7554763117677026,0.7595347365089413,,0.5125,True,
sub-B76,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7389190839694657,0.6375,0.6360784313725489,0.6396825396825396,,0.275,True,
sub-B77,"{""C"": 100.0, ""gamma"": ""auto""}",0.7593373964681982,0.7375,0.736842105263158,0.7398989898989898,,0.475,True,
sub-B78,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7359059067124729,0.51875,0.5187312004375171,0.5187529301453352,,0.03749999999999998,True,
sub-B79,"{""C"": 100.0, ""gamma"": ""auto""}",0.75622857477708,0.85625,0.8562443845462713,0.8563056727613689,,0.7125,True,
sub-B80,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7452820283676513,0.70625,0.7061466921964753,0.7065404475043029,,0.4125,True,
sub-B81,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7281223449447749,0.8,0.7992156862745098,0.8047619047619048,,0.6,True,
