subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
sub-001,"{""C"": 100.0, ""gamma"": ""auto""}",0.7308952295064173,0.6966666666666667,0.6984944925966053,0.7031202959302836,,0.5449999999999999,True,
sub-002,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6798941957723325,0.8633333333333333,0.8651249815908209,0.8714040829047841,,0.795,True,
sub-003,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7057572630328047,0.6633333333333333,0.6637064065874508,0.6677413738910837,,0.495,True,
sub-004,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.714937384224596,0.6833333333333333,0.6824255162980015,0.6823016191623177,,0.525,True,
sub-005,"{""C"": 100.0, ""gamma"": ""auto""}",0.6919083868185814,0.6566666666666666,0.6487312991591457,0.657095757491698,,0.485,True,
sub-006,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7332316431727329,0.5733333333333334,0.5726895290276847,0.5944741532976827,,0.36,True,
sub-007,"{""C"": 100.0, ""gamma"": ""auto""}",0.6975411685183169,0.7733333333333333,0.7752553716715651,0.7803048721190314,,0.6599999999999999,True,
sub-008,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7236361973163897,0.6266666666666667,0.6149318660051337,0.622015493984421,,0.44000000000000006,True,
sub-009,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7015318842414722,0.7566666666666667,0.7573483106966347,0.7617811890838206,,0.635,True,
sub-010,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7464308499623439,0.6387959866220736,0.6394826086198017,0.6407678999219493,,0.4581424616159073,True,
sub-011,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7680060117387835,0.3466666666666667,0.3441431862484494,0.35065614083471225,,0.020000000000000018,True,
