channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
Fp1,VP001,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.8665637065637066,0.625,0.6123629112662015,0.6437444543034605,0.625,0.25
AF5,VP001,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8360491235112041,0.6805555555555556,0.669790628115653,0.7076308784383318,0.6805555555555556,0.36111111111111116
AFz,VP001,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.8416361180783329,0.6388888888888888,0.6317859952793077,0.6505016722408027,0.6388888888888888,0.2777777777777778
F1,VP001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.783273131425396,0.6944444444444444,0.6884343036978757,0.7107023411371238,0.6944444444444444,0.38888888888888884
FC5,VP001,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.7916521980693103,0.625,0.6079854809437386,0.6512605042016807,0.625,0.25
FC1,VP001,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.7694426654526656,0.625,0.6079854809437386,0.6512605042016807,0.625,0.25
T7,VP001,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7916264711557013,0.5416666666666666,0.5262213359920239,0.5479148181011535,0.5416666666666666,0.08333333333333337
C3,VP001,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7802690236496665,0.6527777777777778,0.6444795575745605,0.6685106382978723,0.6527777777777778,0.3055555555555556
Cz,VP001,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.772046332046332,0.5416666666666666,0.5262213359920239,0.5479148181011535,0.5416666666666666,0.08333333333333337
CP5,VP001,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.8019694586700343,0.625,0.6079854809437386,0.6512605042016807,0.625,0.25
CP1,VP001,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.763229365748729,0.5277777777777778,0.5092221331194867,0.5327272727272727,0.5277777777777778,0.05555555555555558
P7,VP001,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7666018338427341,0.5555555555555556,0.5324675324675324,0.5692307692307692,0.5555555555555556,0.11111111111111116
P3,VP001,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7874125874125875,0.5555555555555556,0.5380914194065758,0.5654545454545454,0.5555555555555556,0.11111111111111116
Pz,VP001,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7596571854428021,0.5416666666666666,0.5208711433756805,0.5504201680672269,0.5416666666666666,0.08333333333333337
POz,VP001,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7163515016685206,0.5833333333333334,0.5751376868607396,0.5903010033444815,0.5833333333333333,0.16666666666666663
O1,VP001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6611111111111111,0.6666666666666666,0.6643356643356644,0.6714285714285715,0.6666666666666667,0.33333333333333337
Fp2,VP001,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.8720800889877642,0.6805555555555556,0.669790628115653,0.7076308784383318,0.6805555555555556,0.36111111111111116
AF6,VP001,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.8359579545717839,0.6805555555555556,0.6616956077630235,0.7323733862959285,0.6805555555555556,0.36111111111111116
F2,VP001,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.7914719761505726,0.6666666666666666,0.6571428571428571,0.6875,0.6666666666666667,0.33333333333333337
FC2,VP001,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.786096256684492,0.625,0.6190476190476191,0.6333333333333333,0.625,0.25
FC6,VP001,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7747897342426184,0.6388888888888888,0.6246992782678429,0.6636363636363636,0.6388888888888888,0.2777777777777778
C4,VP001,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7611037377696843,0.6527777777777778,0.6410767696909272,0.6756876663708962,0.6527777777777778,0.3055555555555556
T8,VP001,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7404148090715255,0.625,0.6160379221805253,0.637872340425532,0.625,0.25
CP2,VP001,"{""C"": 100.0, ""gamma"": ""scale""}",0.7718772217242125,0.5416666666666666,0.5208711433756805,0.5504201680672269,0.5416666666666666,0.08333333333333337
CP6,VP001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.730536842836308,0.5555555555555556,0.5324675324675324,0.5692307692307692,0.5555555555555556,0.11111111111111116
P4,VP001,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7525467450320129,0.5277777777777778,0.5142857142857142,0.53125,0.5277777777777778,0.05555555555555558
P8,VP001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6888504753673292,0.5833333333333334,0.5714285714285714,0.59375,0.5833333333333334,0.16666666666666663
O2,VP001,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.6324143692564745,0.6111111111111112,0.6083916083916084,0.6142857142857143,0.6111111111111112,0.2222222222222222
Fp1,VP002,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.8472116119174943,0.7361111111111112,0.7335929892891919,0.7453889334402566,0.7361111111111112,0.4722222222222222
AF5,VP002,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.8305542481037662,0.75,0.737012987012987,0.8115384615384615,0.75,0.5
AFz,VP002,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8361098465265936,0.7777777777777778,0.775,0.7922077922077921,0.7777777777777777,0.5555555555555556
F1,VP002,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8360794906424851,0.6805555555555556,0.669790628115653,0.7076308784383318,0.6805555555555556,0.36111111111111116
FC5,VP002,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8194430512581116,0.6805555555555556,0.6660617059891107,0.7184873949579832,0.6805555555555556,0.36111111111111116
FC1,VP002,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8277565131497716,0.6805555555555556,0.6616956077630235,0.7323733862959285,0.6805555555555556,0.36111111111111116
T7,VP002,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8050682261208577,0.6666666666666666,0.6535685645549318,0.6963636363636363,0.6666666666666667,0.33333333333333337
C3,VP002,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8079049732814687,0.6527777777777778,0.626788306033589,0.7117647058823529,0.6527777777777778,0.3055555555555556
Cz,VP002,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8050682261208577,0.5833333333333334,0.5484949832775919,0.6205357142857143,0.5833333333333334,0.16666666666666663
CP5,VP002,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.8214285714285714,0.5,0.3333333333333333,0.25,0.5,0.0
CP1,VP002,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.782904502721425,0.625,0.6028600612870276,0.6608738828202582,0.625,0.25
P7,VP002,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.7560272638753651,0.5,0.42502218278615794,0.5,0.5,0.0
P3,VP002,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7826625386996904,0.5277777777777778,0.46875,0.55,0.5277777777777778,0.05555555555555558
Pz,VP002,"{""C"": 100.0, ""gamma"": ""scale""}",0.7718772217242125,0.5555555555555556,0.5380914194065758,0.5654545454545454,0.5555555555555556,0.11111111111111116
POz,VP002,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7270955165692008,0.5277777777777778,0.4882943143812709,0.5401785714285714,0.5277777777777778,0.05555555555555558
O1,VP002,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6888024451236454,0.5416666666666666,0.5146067415730338,0.5536246276067527,0.5416666666666667,0.08333333333333337
Fp2,VP002,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8694434370635575,0.75,0.746875,0.762987012987013,0.75,0.5
AF6,VP002,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.8277724621130282,0.7083333333333334,0.7037037037037037,0.7222222222222222,0.7083333333333334,0.41666666666666663
F2,VP002,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.824998649680939,0.6944444444444444,0.690625,0.7045454545454546,0.6944444444444444,0.38888888888888884
FC2,VP002,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.8222167350844162,0.6388888888888888,0.6017021276595744,0.7216748768472906,0.6388888888888888,0.2777777777777778
FC6,VP002,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.8136458808168059,0.5833333333333334,0.520851818988465,0.6741935483870968,0.5833333333333333,0.16666666666666663
C4,VP002,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.8025934707558755,0.6111111111111112,0.5785953177257526,0.6607142857142857,0.611111111111111,0.2222222222222222
T8,VP002,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7611111111111111,0.6666666666666666,0.6444444444444444,0.7222222222222223,0.6666666666666666,0.33333333333333337
CP2,VP002,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7823660714285714,0.5833333333333334,0.5555555555555556,0.6111111111111112,0.5833333333333334,0.16666666666666663
CP6,VP002,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.7796561582384889,0.6111111111111112,0.6034618410700237,0.6204013377926422,0.6111111111111112,0.2222222222222222
