channel,n_subjects,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,kappa_mean,kappa_std
Fp1,26,83.33333333333334,7.31891586865537,83.14869920110793,7.583580066410292,84.14853025403548,6.603637209113822,83.33333333333334,7.31891586865537,0.6666666666666666,0.14637831737310744
AF5,26,81.26780626780626,8.005089654573313,81.0482115186791,8.439950884666157,81.91660982924824,7.513702326208178,81.26780626780626,8.005089654573311,0.6253561253561254,0.16010179309146624
AFz,26,80.84045584045583,9.157849222646162,80.5274679797854,9.707945678321792,81.70390991499616,8.581993693523762,80.84045584045583,9.15784922264616,0.6168091168091169,0.18315698445292322
F1,26,77.84900284900284,9.686169757062144,77.42745874936996,10.44676982218215,78.64213593327256,9.277711751591141,77.84900284900284,9.686169757062144,0.5569800569800569,0.19372339514124287
FC5,26,77.8133903133903,10.17838415773678,77.10831815020785,11.989751251895543,78.19796682235827,11.053912209633566,77.8133903133903,10.178384157736778,0.5562678062678063,0.20356768315473556
FC1,26,78.77492877492878,9.735610101137128,78.2480706783323,11.100321605584416,79.31585648710136,9.889186100185754,78.77492877492878,9.735610101137128,0.5754985754985755,0.1947122020227426
T7,26,72.2934472934473,10.35356799172793,71.56999145658858,12.166830113101744,71.84397133615344,13.244865504385302,72.2934472934473,10.35356799172793,0.4458689458689458,0.2070713598345586
C3,26,77.42165242165242,10.347451271230446,76.54251263898954,12.418117971662628,78.00452807935633,11.661626572769693,77.42165242165242,10.347451271230444,0.5484330484330484,0.2069490254246089
Cz,26,75.96153846153845,10.02904140060279,75.1782865704902,11.619309255643087,76.98445436855022,10.481167478399199,75.96153846153845,10.029041400602788,0.5192307692307693,0.20058082801205576
CP5,26,75.4985754985755,8.912894934103218,74.63620376460726,11.218016998216925,75.46323463115486,12.330877897960315,75.4985754985755,8.912894934103218,0.50997150997151,0.17825789868206432
CP1,26,74.46581196581197,9.637365400372309,73.60206915851772,11.452310839289638,75.38874088137644,10.032451345145743,74.46581196581197,9.63736540037231,0.48931623931623935,0.19274730800744624
P7,26,67.37891737891738,7.5736334758549475,66.49981031822342,9.406915989567969,67.66691207981007,9.142349185394599,67.37891737891738,7.573633475854949,0.34757834757834755,0.15147266951709895
P3,26,72.64957264957265,9.497782461677733,71.73468759827226,11.17868902583689,73.74297530158141,10.125805969132148,72.64957264957265,9.497782461677733,0.45299145299145305,0.18995564923355468
Pz,26,71.47435897435896,9.318400866187561,70.43863385667616,11.37083651608902,72.28511321716272,10.497558962631249,71.47435897435896,9.318400866187561,0.42948717948717946,0.18636801732375122
POz,26,66.52421652421653,7.629505157616036,65.12653666360868,10.162367188314054,67.23343064479594,11.279285413998101,66.52421652421653,7.629505157616036,0.3304843304843305,0.15259010315232072
O1,26,61.502849002849004,6.297238910503447,59.82300885030024,8.496221285281301,62.2141158583042,10.454572955555953,61.502849002849004,6.297238910503447,0.23005698005698003,0.12594477821006894
Fp2,26,83.11965811965811,7.550959442247719,82.98404922767708,7.727573133717931,83.71469178739015,7.0707380665502795,83.11965811965811,7.550959442247719,0.6623931623931624,0.15101918884495438
AF6,26,80.76923076923077,9.144877554163168,80.48738919628892,9.623850046914288,81.55436324445084,8.637243684460307,80.76923076923077,9.144877554163168,0.6153846153846154,0.18289755108326336
F2,26,79.2022792022792,9.980195647373888,78.79747320419021,10.879864366447322,79.8263819671786,9.768291427373722,79.2022792022792,9.98019564737389,0.584045584045584,0.19960391294747779
FC2,26,77.67094017094016,9.501739509636097,77.08533013211998,11.009041763650625,78.28341292482283,9.680355608171231,77.67094017094016,9.501739509636097,0.5534188034188035,0.190034790192722
FC6,26,78.0982905982906,9.435152683011323,77.49406089903414,10.93961600508411,78.78720911764957,9.335321759789556,78.0982905982906,9.435152683011323,0.561965811965812,0.1887030536602265
C4,26,77.95584045584046,9.16252892310584,77.21068667354545,11.068857121743665,78.80615753471918,9.196986079408337,77.95584045584046,9.16252892310584,0.5591168091168092,0.18325057846211684
T8,26,69.97863247863248,8.951067546064147,68.63098888249823,11.350350461323016,70.61817300727526,11.78778663955971,69.97863247863249,8.951067546064145,0.3995726495726496,0.17902135092128293
CP2,26,74.46581196581197,9.148122195656235,73.60744986987727,11.079140477484373,75.24300191821584,10.170915659439542,74.46581196581197,9.148122195656233,0.48931623931623935,0.18296244391312466
CP6,26,73.46866096866097,8.206618108240855,72.47343353978087,10.568769579051313,73.92873580014067,11.7256558904401,73.46866096866097,8.206618108240855,0.4693732193732194,0.16413236216481708
P4,26,72.11538461538461,8.258208383057774,71.1043582598954,10.218159104207345,73.46850326264949,9.029584492126846,72.11538461538461,8.258208383057774,0.4423076923076923,0.1651641676611555
P8,26,66.27492877492878,7.909697287154692,64.60673228078007,10.641190740073265,67.54881050209352,11.264126939657515,66.27492877492878,7.909697287154691,0.32549857549857547,0.15819394574309384
O2,26,62.21509971509972,7.7158879375322895,59.67595963654042,10.902585899755923,64.53169530438377,11.26095856241389,62.21509971509972,7.7158879375322895,0.2443019943019943,0.1543177587506458
