channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
Fp1,VP001,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.8722112663980108,0.8055555555555556,0.8055388836491468,0.8056603773584906,0.8055555555555556,0.6111111111111112
AF5,VP001,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8425920527848175,0.8240740740740741,0.8236961938310852,0.8268765133171913,0.8240740740740741,0.6481481481481481
AFz,VP001,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.8369565217391304,0.7222222222222222,0.7159887798036466,0.7436090225563909,0.7222222222222222,0.4444444444444444
F1,VP001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.827777187164565,0.7592592592592593,0.75625,0.7727272727272727,0.7592592592592593,0.5185185185185186
FC5,VP001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8203401806202002,0.6481481481481481,0.6356534090909092,0.6717011128775835,0.6481481481481481,0.2962962962962963
FC1,VP001,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8277724621130282,0.7592592592592593,0.75625,0.7727272727272727,0.7592592592592593,0.5185185185185186
T7,VP001,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7684986710108892,0.7222222222222222,0.7206896551724138,0.7272089761570828,0.7222222222222222,0.4444444444444444
C3,VP001,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8092062609984254,0.6851851851851852,0.6781206171107994,0.7030075187969925,0.6851851851851852,0.37037037037037035
Cz,VP001,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7980310948389155,0.6388888888888888,0.6335798173118747,0.6474335638878776,0.6388888888888888,0.2777777777777778
CP5,VP001,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7757036294544318,0.7129629629629629,0.7037954525347253,0.7430528375733856,0.712962962962963,0.42592592592592593
CP1,VP001,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7832969188924065,0.6111111111111112,0.6023842917251052,0.6218045112781956,0.6111111111111112,0.2222222222222222
P7,VP001,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.7036996392268755,0.5925925925925926,0.5856295779560516,0.5992647058823529,0.5925925925925926,0.18518518518518523
P3,VP001,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7554716981132076,0.5555555555555556,0.5397727272727273,0.5643879173290938,0.5555555555555556,0.11111111111111116
Pz,VP001,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7351624796364572,0.5462962962962963,0.5318057152968239,0.5528375733855186,0.5462962962962963,0.09259259259259256
POz,VP001,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.6888846211882194,0.5740740740740741,0.5667945587722358,0.5794117647058823,0.5740740740740741,0.14814814814814814
O1,VP001,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6254120879120879,0.6018518518518519,0.5959982601130926,0.6081179468511103,0.6018518518518519,0.20370370370370372
Fp2,VP001,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.8684819857367787,0.7129629629629629,0.7073170731707317,0.7307692307692307,0.712962962962963,0.42592592592592593
