channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
Fp1,VP001,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.6765768268963601,0.65,0.6499027507641011,0.6501668520578421,0.6499999999999999,0.30000000000000004
AF5,VP001,"{""C"": 0.20691380811147897, ""gamma"": ""auto""}",0.6835016835016836,0.75,0.7493734335839599,0.7525252525252526,0.75,0.5
AFz,VP001,"{""C"": 0.29763514416313175, ""gamma"": ""auto""}",0.6803463475364238,0.55,0.5488721804511278,0.5505050505050505,0.55,0.09999999999999998
F1,VP001,"{""C"": 0.20691380811147897, ""gamma"": ""auto""}",0.6951081801346041,0.55,0.5437904815544916,0.5528789659224442,0.55,0.09999999999999998
FC5,VP001,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.6666518511933863,0.5833333333333334,0.5804195804195804,0.5857142857142856,0.5833333333333333,0.16666666666666663
FC1,VP001,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6632996632996633,0.5,0.49776785714285715,0.5,0.5,0.0
T7,VP001,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.639599555061179,0.6666666666666666,0.660633484162896,0.6794258373205742,0.6666666666666667,0.33333333333333337
C3,VP001,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.66996699669967,0.43333333333333335,0.4308035714285714,0.4321266968325792,0.43333333333333335,-0.1333333333333333
Cz,VP001,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6596218020022246,0.36666666666666664,0.34857142857142853,0.35,0.3666666666666667,-0.2666666666666666
CP5,VP001,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.6945454545454546,0.5666666666666667,0.48412698412698413,0.6851851851851852,0.5666666666666667,0.1333333333333333
CP1,VP001,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6762313777411854,0.5166666666666667,0.5154553049289892,0.5168350168350169,0.5166666666666666,0.033333333333333326
P7,VP001,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.6531946111778044,0.6,0.5982142857142857,0.6018099547511313,0.6,0.19999999999999996
P3,VP001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6765768268963601,0.5333333333333333,0.513888888888889,0.5396825396825398,0.5333333333333333,0.06666666666666665
Pz,VP001,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.672809829059829,0.55,0.5278344505974935,0.5615595075239398,0.55,0.09999999999999998
POz,VP001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.646273637374861,0.55,0.5343489508479448,0.5577663671373556,0.5499999999999999,0.09999999999999998
O1,VP001,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6297984458205023,0.5166666666666667,0.5165323701028064,0.5166852057842046,0.5166666666666666,0.033333333333333326
Fp2,VP001,"{""C"": 0.20691380811147897, ""gamma"": ""scale""}",0.699666295884316,0.5833333333333334,0.5832175604334537,0.5834260289210234,0.5833333333333333,0.16666666666666663
AF6,VP001,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.6794547356345109,0.5333333333333333,0.5286195286195287,0.5347222222222222,0.5333333333333333,0.06666666666666665
F2,VP001,"{""C"": 0.20691380811147897, ""gamma"": ""auto""}",0.6739093124635294,0.4666666666666667,0.4570135746606335,0.46411483253588515,0.4666666666666667,-0.06666666666666665
FC2,VP001,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.6566628518094646,0.45,0.4308709399252658,0.4422336328626444,0.44999999999999996,-0.10000000000000009
FC6,VP001,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.6578099838969405,0.55,0.5396419437340154,0.554945054945055,0.55,0.09999999999999998
C4,VP001,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6733188141695187,0.4666666666666667,0.4514285714285714,0.4625,0.4666666666666667,-0.06666666666666665
T8,VP001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6066666666666667,0.6833333333333333,0.667735354124162,0.725718194254446,0.6833333333333333,0.3666666666666667
CP2,VP001,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6562044526530113,0.43333333333333335,0.4276094276094276,0.4305555555555556,0.43333333333333335,-0.1333333333333333
CP6,VP001,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.669820235461529,0.55,0.5468531468531468,0.5514285714285714,0.55,0.09999999999999998
P4,VP001,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6631499371880245,0.5333333333333333,0.475,0.56,0.5333333333333333,0.06666666666666665
P8,VP001,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6299958888432093,0.5833333333333334,0.5737425404944586,0.5915750915750916,0.5833333333333333,0.16666666666666663
O2,VP001,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.592880978865406,0.5166666666666667,0.5055413469735721,0.5183150183150182,0.5166666666666666,0.033333333333333326
Fp1,VP002,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.6657158138705652,0.5666666666666667,0.5647321428571428,0.5678733031674208,0.5666666666666667,0.1333333333333333
AF5,VP002,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6763172091350476,0.6666666666666666,0.6632996632996633,0.6736111111111112,0.6666666666666667,0.33333333333333337
AFz,VP002,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.657426895347275,0.55,0.5498749652681301,0.550055617352614,0.55,0.09999999999999998
