channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
Fz,B61,"{""C"": 0.1, ""gamma"": ""scale""}",0.5859284017471087,0.6375,0.6374433505235193,0.6375859912445279,0.6375,0.275
FCz,B61,"{""C"": 0.1, ""gamma"": ""scale""}",0.5685417938365214,0.6625,0.6625,0.6625,0.6625,0.32499999999999996
Cz,B61,"{""C"": 0.1, ""gamma"": ""scale""}",0.5685435413430255,0.7125,0.7113725490196079,0.7158730158730159,0.7125,0.42500000000000004
CPz,B61,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5630373018728021,0.675,0.6731615336266499,0.6790281329923273,0.675,0.35
Pz,B61,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.5711672584636753,0.58125,0.5808406647116324,0.5815686274509804,0.58125,0.16249999999999998
C1,B61,"{""C"": 0.1, ""gamma"": ""scale""}",0.5512458741641442,0.6125,0.6115288220551378,0.6136363636363636,0.6125,0.22499999999999998
C3,B61,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5206766917293233,0.55625,0.5553990059097491,0.5566839867737364,0.5562499999999999,0.11250000000000004
C5,B61,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.537337345160408,0.55,0.5465281058101086,0.551579626047711,0.55,0.09999999999999998
C2,B61,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.62181590873574,0.63125,0.6279802955665024,0.6360323886639676,0.63125,0.26249999999999996
C4,B61,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.6280923128009297,0.76875,0.7680159880873074,0.772194967558158,0.76875,0.5375
C6,B61,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6530707923112986,0.775,0.7744360902255639,0.7777777777777778,0.7749999999999999,0.55
F4,B61,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6364740331599925,0.6625,0.6624472573839661,0.6626016260162602,0.6625000000000001,0.32499999999999996
FC2,B61,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.6107236641221374,0.66875,0.6671768907727933,0.6720019111323459,0.66875,0.3375
FC4,B61,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.6279942167168144,0.74375,0.7425330664468778,0.7484472049689441,0.74375,0.48750000000000004
FC6,B61,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6624175824175824,0.7875,0.784776072163317,0.8028308097432522,0.7875000000000001,0.575
CP2,B61,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.5937142912951334,0.64375,0.6436247118127467,0.6439524331090596,0.64375,0.2875
CP4,B61,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6108225330236716,0.725,0.7246127366609294,0.7262727844123193,0.725,0.44999999999999996
CP6,B61,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.6312355951404351,0.78125,0.7811730686569498,0.781646064778595,0.78125,0.5625
P4,B61,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.624985350990273,0.6875,0.6843434343434344,0.6953125,0.6875,0.375
F3,B61,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5499956054258341,0.53125,0.5270935960591133,0.5323886639676113,0.53125,0.0625
FC1,B61,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5590261828203951,0.5375,0.5368486934751995,0.5377121307353865,0.5375,0.07499999999999996
FC3,B61,"{""C"": 0.1, ""gamma"": ""scale""}",0.5279345420862137,0.5625,0.5301225037758013,0.5862812769628991,0.5625,0.125
FC5,B61,"{""C"": 100.0, ""gamma"": ""auto""}",0.5728858804461817,0.56875,0.5679229775742632,0.5692804282790112,0.5687500000000001,0.13749999999999996
CP1,B61,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5535003953381916,0.625,0.6228786926461345,0.6278772378516624,0.625,0.25
CP3,B61,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.5437098963776112,0.56875,0.5673811669736275,0.5696312707706916,0.56875,0.13749999999999996
CP5,B61,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.5669496183206106,0.6,0.589151019098058,0.6118099231306778,0.6,0.19999999999999996
P3,B61,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.5981539709414112,0.59375,0.5879393002892349,0.5993541977148535,0.59375,0.1875
Fz,B62,"{""C"": 0.20691380811147897, ""gamma"": ""scale""}",0.5916404079669386,0.4875,0.41595441595441596,0.47549019607843135,0.48750000000000004,-0.02499999999999991
FCz,B62,"{""C"": 0.1, ""gamma"": ""auto""}",0.5934773918396277,0.50625,0.48699216688989,0.5073542930685788,0.50625,0.012499999999999956
Cz,B62,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.5921387079997362,0.51875,0.5132551064754455,0.5196367206676484,0.51875,0.03749999999999998
CPz,B62,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.5806603035518698,0.5875,0.57955088389871,0.594658553076403,0.5875,0.17500000000000004
Pz,B62,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.5825832061068702,0.6,0.5977372721558768,0.6023017902813299,0.6000000000000001,0.19999999999999996
C1,B62,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.5645363408521303,0.5125,0.49473684210526314,0.5145454545454545,0.5125,0.025000000000000022
C3,B62,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.5624829094886519,0.49375,0.486508974206585,0.49337638681900975,0.49375,-0.012499999999999956
C5,B62,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.534334072330576,0.5125,0.5121951219512195,0.512531328320802,0.5125,0.025000000000000022
C2,B62,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.6482923862628869,0.59375,0.5799507249888929,0.6079330814894766,0.59375,0.1875
C4,B62,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.6560854315053102,0.5875,0.57955088389871,0.594658553076403,0.5875,0.17500000000000004
C6,B62,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6714868154753175,0.575,0.5615731785944552,0.5854700854700855,0.575,0.15000000000000002
F4,B62,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6265178207353908,0.575,0.5695521443266339,0.5789993416721527,0.575,0.15000000000000002
FC2,B62,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.6187351068401109,0.5375,0.5328282828282829,0.5390625,0.5375,0.07499999999999996
FC4,B62,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6437360834407594,0.61875,0.6132968818098974,0.6258486504388143,0.61875,0.23750000000000004
FC6,B62,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6796804617288954,0.65625,0.6476476476476476,0.6731601731601732,0.65625,0.3125
CP2,B62,"{""C"": 0.1, ""gamma"": ""auto""}",0.6040833791796565,0.55,0.5454545454545454,0.5520833333333333,0.55,0.09999999999999998
CP4,B62,"{""C"": 0.1, ""gamma"": ""scale""}",0.6160391796755433,0.6125,0.6050326485109094,0.6217038539553752,0.6125,0.22499999999999998
CP6,B62,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6342464147551874,0.63125,0.6168675676772596,0.6544401544401545,0.63125,0.26249999999999996
P4,B62,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.6195529353967084,0.64375,0.6396823515467582,0.6505481917853052,0.64375,0.2875
F3,B62,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5414152009632645,0.48125,0.38606629374508805,0.4506375976964212,0.48125,-0.03750000000000009
FC1,B62,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.5542946786596585,0.4875,0.4793650793650793,0.4866666666666667,0.48750000000000004,-0.02499999999999991
FC3,B62,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.5419607843137255,0.43125,0.4285490011381922,0.42992514731645165,0.43125,-0.13749999999999996
FC5,B62,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.5703114509556908,0.5375,0.5268542199488491,0.5412087912087913,0.5375,0.07499999999999996
CP1,B62,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.5842288304482044,0.54375,0.530376743999035,0.5493740081114442,0.54375,0.08750000000000002
CP3,B62,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.5578114204380382,0.5625,0.5591245473153834,0.564474532559639,0.5625,0.125
CP5,B62,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.565013299953059,0.59375,0.5933528836754643,0.5941176470588235,0.59375,0.1875
P3,B62,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.6124848626899488,0.6,0.5994367078704428,0.6005656819610308,0.6,0.19999999999999996
Fz,B63,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5828033330810491,0.55,0.5396419437340154,0.554945054945055,0.55,0.09999999999999998
FCz,B63,"{""C"": 0.1, ""gamma"": ""auto""}",0.5824444884285223,0.575,0.5744015021123454,0.5754242614707731,0.575,0.15000000000000002
Cz,B63,"{""C"": 0.20691380811147897, ""gamma"": ""scale""}",0.5777126099706745,0.56875,0.5683284457478006,0.5690196078431373,0.56875,0.13749999999999996
CPz,B63,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.5748175495625357,0.5375,0.5348837209302326,0.5383631713554987,0.5375000000000001,0.07499999999999996
Pz,B63,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.5873690610145641,0.50625,0.5057673509286412,0.5062745098039216,0.50625,0.012499999999999956
C1,B63,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5503670647791614,0.51875,0.5155518854940819,0.5192585459797785,0.51875,0.03749999999999998
C3,B63,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5137954198473282,0.475,0.4629156010230179,0.4725274725274725,0.475,-0.050000000000000044
C5,B63,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5403377110694184,0.44375,0.44355437458481495,0.443670787044281,0.44375,-0.11250000000000004
C2,B63,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.6135634156417835,0.55,0.5493662963542482,0.5502828409805154,0.55,0.09999999999999998
C4,B63,"{""C"": 0.29763514416313175, ""gamma"": ""auto""}",0.634199958964739,0.575,0.5747342088805503,0.575187969924812,0.575,0.15000000000000002
C6,B63,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.6842639990621703,0.65,0.6499453039537428,0.650093808630394,0.6499999999999999,0.30000000000000004
