channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
Fpz,sub-001,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.515319249451141,0.35333333333333333,0.3488121494103548,0.35579205558921584,0.35333333333333333,0.030000000000000027
Fp1,sub-001,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5464484584196112,0.35333333333333333,0.3480811451655397,0.3508770799093379,0.35333333333333333,0.030000000000000027
Fp2,sub-001,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.49492417619381035,0.35,0.3480619627588397,0.34992556446944006,0.35000000000000003,0.025000000000000022
AF3,sub-001,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.5559926365299648,0.38666666666666666,0.3851746276891381,0.39463914437177855,0.3866666666666667,0.07999999999999996
AF4,sub-001,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.5050010103051121,0.4166666666666667,0.4174900092585614,0.41913632543216933,0.4166666666666667,0.125
AF7,sub-001,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5520095647743252,0.42333333333333334,0.4093044689961874,0.41855064338285813,0.42333333333333334,0.135
AF8,sub-001,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.5326416424486861,0.44,0.4365357193738031,0.4380816930253726,0.44,0.16000000000000003
Fz,sub-001,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5491507692399814,0.38333333333333336,0.38309698197496234,0.3848800985293052,0.3833333333333333,0.07499999999999996
F1,sub-001,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.5724453294981008,0.4066666666666667,0.4014122578263613,0.40768720717569823,0.4066666666666667,0.10999999999999999
F2,sub-001,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.5382963161944833,0.38333333333333336,0.38511594833433915,0.38824581463030977,0.3833333333333333,0.07499999999999996
F3,sub-001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5683636943022292,0.43333333333333335,0.4313885769242493,0.4357279357279357,0.43333333333333335,0.15000000000000002
F4,sub-001,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.5202220342939973,0.39666666666666667,0.3970005865264006,0.39756411155527505,0.39666666666666667,0.09499999999999997
