evaluation_setting,manuscript_table,dataset,subject,primary,baseline,primary_accuracy,baseline_accuracy,difference_primary_minus_baseline,calibration_trial_ids_sha256,test_trial_ids_sha256
strict_svm,Tables II-III,dreyer,B61,SingLEM,BENDR,0.86875,0.55,0.31875,,
strict_svm,Tables II-III,dreyer,B62,SingLEM,BENDR,0.65625,0.525,0.13125,,
strict_svm,Tables II-III,dreyer,B63,SingLEM,BENDR,0.7,0.44375,0.25625,,
strict_svm,Tables II-III,dreyer,B64,SingLEM,BENDR,0.75,0.50625,0.24375,,
strict_svm,Tables II-III,dreyer,B65,SingLEM,BENDR,0.79375,0.54375,0.25,,
strict_svm,Tables II-III,dreyer,B66,SingLEM,BENDR,0.78125,0.55,0.23125,,
strict_svm,Tables II-III,dreyer,B67,SingLEM,BENDR,0.88125,0.56875,0.3125,,
strict_svm,Tables II-III,dreyer,B68,SingLEM,BENDR,0.65625,0.5125,0.14375,,
strict_svm,Tables II-III,dreyer,B69,SingLEM,BENDR,0.7125,0.54375,0.16875,,
strict_svm,Tables II-III,dreyer,B70,SingLEM,BENDR,0.75625,0.51875,0.2375,,
strict_svm,Tables II-III,dreyer,B71,SingLEM,BENDR,0.75,0.53125,0.21875,,
strict_svm,Tables II-III,dreyer,B72,SingLEM,BENDR,0.83125,0.51875,0.3125,,
strict_svm,Tables II-III,dreyer,B73,SingLEM,BENDR,0.70625,0.54375,0.1625,,
strict_svm,Tables II-III,dreyer,B74,SingLEM,BENDR,0.63125,0.53125,0.1,,
strict_svm,Tables II-III,dreyer,B75,SingLEM,BENDR,0.7375,0.48125,0.25625,,
strict_svm,Tables II-III,dreyer,B76,SingLEM,BENDR,0.775,0.51875,0.25625,,
strict_svm,Tables II-III,dreyer,B77,SingLEM,BENDR,0.7375,0.49375,0.24375,,
strict_svm,Tables II-III,dreyer,B78,SingLEM,BENDR,0.58125,0.525,0.05625,,
strict_svm,Tables II-III,dreyer,B79,SingLEM,BENDR,0.86875,0.525,0.34375,,
strict_svm,Tables II-III,dreyer,B80,SingLEM,BENDR,0.66875,0.53125,0.1375,,
strict_svm,Tables II-III,dreyer,B81,SingLEM,BENDR,0.81875,0.50625,0.3125,,
strict_svm,Tables II-III,dreyer,B61,SingLEM,BIOT,0.86875,0.575,0.29375,,
strict_svm,Tables II-III,dreyer,B62,SingLEM,BIOT,0.65625,0.4875,0.16875,,
strict_svm,Tables II-III,dreyer,B63,SingLEM,BIOT,0.7,0.48125,0.21875,,
strict_svm,Tables II-III,dreyer,B64,SingLEM,BIOT,0.75,0.5125,0.2375,,
strict_svm,Tables II-III,dreyer,B65,SingLEM,BIOT,0.79375,0.625,0.16875,,
strict_svm,Tables II-III,dreyer,B66,SingLEM,BIOT,0.78125,0.4375,0.34375,,
strict_svm,Tables II-III,dreyer,B67,SingLEM,BIOT,0.88125,0.49375,0.3875,,
strict_svm,Tables II-III,dreyer,B68,SingLEM,BIOT,0.65625,0.49375,0.1625,,
strict_svm,Tables II-III,dreyer,B69,SingLEM,BIOT,0.7125,0.54375,0.16875,,
strict_svm,Tables II-III,dreyer,B70,SingLEM,BIOT,0.75625,0.53125,0.225,,
strict_svm,Tables II-III,dreyer,B71,SingLEM,BIOT,0.75,0.45625,0.29375,,
strict_svm,Tables II-III,dreyer,B72,SingLEM,BIOT,0.83125,0.51875,0.3125,,
strict_svm,Tables II-III,dreyer,B73,SingLEM,BIOT,0.70625,0.55,0.15625,,
