subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.6441698841698842,20,50,20,0.5555555555555556,0.5183946488294314,0.5803571428571428,0.5555555555555556,0.11111111111111116
VP002,0.5943943696752685,16,46,16,0.5,0.3333333333333333,0.25,0.5,0.0
VP003,0.6079673151630767,39,69,39,0.625,0.6123629112662015,0.6437444543034605,0.625,0.25
VP004,0.6222222222222222,69,99,69,0.5277777777777778,0.5092221331194867,0.5327272727272727,0.5277777777777778,0.05555555555555558
VP005,0.622175577231757,62,92,62,0.5972222222222222,0.519226341238775,0.7769230769230769,0.5972222222222222,0.19444444444444442
VP006,0.6277777777777778,33,63,33,0.6666666666666666,0.6387959866220736,0.7410714285714286,0.6666666666666666,0.33333333333333337
VP007,0.6103414151410194,24,54,24,0.5,0.3333333333333333,0.25,0.5,0.0
VP008,0.5802932388298242,11,41,11,0.5833333333333334,0.4957983193277311,0.7727272727272727,0.5833333333333334,0.16666666666666663
VP009,0.6027501909854851,71,100,71,0.5277777777777778,0.39225422045680236,0.7571428571428571,0.5277777777777778,0.05555555555555558
VP010,0.5443881960735893,30,60,30,0.625,0.5735906997148498,0.7414307004470939,0.625,0.25
VP011,0.5943943696752685,55,85,55,0.5,0.3333333333333333,0.25,0.5,0.0
VP012,0.6609436758893281,40,70,40,0.5,0.3333333333333333,0.25,0.5,0.0
VP013,0.6305527048819821,15,45,15,0.5555555555555556,0.4763636363636364,0.640625,0.5555555555555556,0.11111111111111116
VP014,0.6471977220640323,18,48,18,0.6666666666666666,0.6387959866220736,0.7410714285714286,0.6666666666666666,0.33333333333333337
VP015,0.6470015982211104,35,65,35,0.6527777777777778,0.6133190118152524,0.758148631029987,0.6527777777777778,0.3055555555555556
VP016,0.6444005432769477,55,85,55,0.5,0.3333333333333333,0.25,0.5,0.0
VP017,0.5638855238080541,73,100,73,0.7916666666666666,0.791304347826087,0.7937062937062938,0.7916666666666667,0.5833333333333333
VP018,0.6097667490700377,52,82,52,0.5,0.3333333333333333,0.25,0.5,0.0
VP019,0.5855706901746877,11,41,11,0.5833333333333334,0.5404255319148936,0.6330049261083743,0.5833333333333333,0.16666666666666663
VP020,0.6245103568696835,33,63,33,0.5,0.3333333333333333,0.25,0.5,0.0
VP021,0.5609891636565713,21,51,21,0.5,0.3333333333333333,0.25,0.5,0.0
VP022,0.6406657433127771,68,98,68,0.5138888888888888,0.3846153846153846,0.5869565217391304,0.5138888888888888,0.02777777777777779
VP023,0.6166666666666667,59,89,59,0.6388888888888888,0.6363636363636364,0.6428571428571428,0.6388888888888888,0.2777777777777778
VP024,0.6111111111111112,16,46,16,0.5,0.3333333333333333,0.25,0.5,0.0
VP025,0.5832818866526732,71,100,71,0.7638888888888888,0.7638433339764614,0.7640926640926642,0.7638888888888888,0.5277777777777778
VP026,0.6110630942091617,22,52,22,0.6111111111111112,0.5785953177257526,0.6607142857142857,0.611111111111111,0.2222222222222222
