subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.6040769540568172,42,72,42,0.6481481481481481,0.638095238095238,0.6666666666666667,0.6481481481481481,0.2962962962962963
VP002,0.6166337991940325,45,75,45,0.7037037037037037,0.675187969924812,0.813953488372093,0.7037037037037037,0.40740740740740744
VP003,0.6119929453262787,19,49,19,0.7037037037037037,0.675187969924812,0.813953488372093,0.7037037037037037,0.40740740740740744
VP004,0.6013583345637088,50,80,50,0.5555555555555556,0.4570590699622958,0.7025,0.5555555555555556,0.11111111111111116
VP005,0.6074074074074074,14,44,14,0.5,0.3333333333333333,0.25,0.5,0.0
VP006,0.6387389829112904,18,48,18,0.5277777777777778,0.39225422045680236,0.7571428571428571,0.5277777777777778,0.05555555555555558
VP007,0.6184714162242252,75,100,75,0.5,0.3333333333333333,0.25,0.5,0.0
VP008,0.586002042142393,43,73,43,0.5370370370370371,0.41073766914011345,0.7596153846153846,0.537037037037037,0.07407407407407407
VP009,0.6277662890829964,60,90,60,0.5,0.3333333333333333,0.25,0.5,0.0
VP010,0.6290138638893088,45,75,45,0.5,0.3333333333333333,0.25,0.5,0.0
VP011,0.5703644768789695,41,71,41,0.5,0.3333333333333333,0.25,0.5,0.0
VP012,0.6128022945049214,41,71,41,0.6296296296296297,0.6029411764705883,0.6772983114446529,0.6296296296296295,0.2592592592592593
VP013,0.609257919265841,16,46,16,0.5185185185185185,0.45048923679060665,0.5366847826086957,0.5185185185185185,0.03703703703703709
VP014,0.6370320580529225,28,58,28,0.5370370370370371,0.41073766914011345,0.7596153846153846,0.537037037037037,0.07407407407407407
VP015,0.6183300395256917,36,66,36,0.5185185185185185,0.38716717590571803,0.6298076923076923,0.5185185185185185,0.03703703703703709
VP016,0.6444005432769477,63,93,63,0.5,0.3333333333333333,0.25,0.5,0.0
VP017,0.6274085084325687,59,89,59,0.8333333333333334,0.8285714285714285,0.875,0.8333333333333333,0.6666666666666667
VP018,0.6314701071020711,15,45,15,0.5,0.3333333333333333,0.25,0.5,0.0
VP019,0.61102573953131,59,89,59,0.6944444444444444,0.6707012843019495,0.7732530120481929,0.6944444444444444,0.38888888888888884
VP020,0.6569827529966797,38,68,38,0.4444444444444444,0.3213238374528697,0.2975,0.4444444444444444,-0.11111111111111116
VP021,0.5885276511615136,66,96,66,0.5,0.3333333333333333,0.25,0.5,0.0
VP022,0.6125789963303823,32,62,32,0.7129629629629629,0.6871905073343922,0.8176470588235294,0.712962962962963,0.42592592592592593
VP023,0.6288965858485898,76,100,76,0.6481481481481481,0.6476648351648351,0.6489655172413793,0.6481481481481481,0.2962962962962963
VP024,0.6179945054945055,44,74,44,0.5185185185185185,0.3732142857142857,0.7547169811320755,0.5185185185185185,0.03703703703703709
VP025,0.6314498842493355,87,100,87,0.5740740740740741,0.5208333333333334,0.6333333333333333,0.5740740740740741,0.14814814814814814
VP026,0.6074161616092009,77,100,77,0.7592592592592593,0.7507102272727273,0.800476947535771,0.7592592592592593,0.5185185185185186
