subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.5926816239316239,21,51,21,0.4666666666666667,0.4,0.44,0.4666666666666667,-0.06666666666666665
VP002,0.579925320056899,49,79,49,0.5666666666666667,0.4993581514762516,0.6442307692307692,0.5666666666666667,0.1333333333333333
VP003,0.5723981900452488,11,41,11,0.7,0.7,0.7,0.7,0.4
VP004,0.56,21,51,21,0.6333333333333333,0.6296296296296295,0.6388888888888888,0.6333333333333333,0.2666666666666667
VP005,0.5999822214320636,37,67,37,0.6666666666666666,0.6571428571428571,0.6875,0.6666666666666667,0.33333333333333337
VP006,0.5705850778314547,13,43,13,0.5333333333333333,0.4034090909090909,0.7586206896551724,0.5333333333333333,0.06666666666666665
VP007,0.5383380168606985,22,52,22,0.5,0.3333333333333333,0.25,0.5,0.0
VP008,0.5532539118065434,69,99,69,0.6166666666666667,0.5977849023608277,0.6436388508891929,0.6166666666666667,0.23333333333333328
VP009,0.6159454976567109,22,52,22,0.5,0.3333333333333333,0.25,0.5,0.0
VP010,0.578125,40,70,40,0.5333333333333333,0.42544459644322846,0.6339285714285714,0.5333333333333333,0.06666666666666665
VP011,0.5686147741079689,74,100,74,0.5166666666666667,0.3939393939393939,0.5877192982456141,0.5166666666666667,0.033333333333333326
VP012,0.622624706393116,52,82,52,0.5333333333333333,0.4444444444444444,0.5925925925925926,0.5333333333333333,0.06666666666666665
VP013,0.5866482954797991,71,100,71,0.6166666666666667,0.613986013986014,0.62,0.6166666666666667,0.23333333333333328
VP014,0.6404207413381725,12,42,12,0.5166666666666667,0.41512605042016804,0.5545454545454545,0.5166666666666667,0.033333333333333326
VP015,0.5199146514935988,84,100,84,0.45,0.3103448275862069,0.23684210526315788,0.45,-0.10000000000000009
VP016,0.5643236963224452,11,41,11,0.5,0.3333333333333333,0.25,0.5,0.0
VP017,0.5926816239316239,31,61,31,0.5666666666666667,0.4993581514762516,0.6442307692307692,0.5666666666666667,0.1333333333333333
VP018,0.5666474065514022,72,100,72,0.5,0.3333333333333333,0.25,0.5,0.0
VP019,0.5627454689081988,28,58,28,0.55,0.5468531468531468,0.5514285714285714,0.55,0.09999999999999998
VP020,0.6330724070450098,29,59,29,0.48333333333333334,0.35214211076280044,0.4122807017543859,0.48333333333333334,-0.03333333333333344
VP021,0.5892286627110908,55,85,55,0.5,0.3333333333333333,0.25,0.5,0.0
VP022,0.5560698272121408,79,100,79,0.85,0.8465473145780051,0.8846153846153846,0.85,0.7
VP023,0.5892286627110908,17,47,17,0.5166666666666667,0.3693367162015223,0.7542372881355932,0.5166666666666667,0.033333333333333326
VP024,0.5627454689081988,35,65,35,0.5333333333333333,0.4608472400513479,0.5721153846153846,0.5333333333333333,0.06666666666666665
VP025,0.5281071854884593,14,44,14,0.4,0.34065934065934067,0.34375,0.39999999999999997,-0.19999999999999996
VP026,0.5584102769971899,15,45,15,0.48333333333333334,0.4831897749374826,0.4833147942157954,0.48333333333333334,-0.03333333333333344
