subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,0.679342260588182,82,100,82,0.8,0.7984569359156038,0.809477756286267,0.8,0.6
B62,0.6484366416910198,59,89,59,0.86875,0.868126692570352,0.875856028029941,0.86875,0.7375
B63,0.6443669815500683,17,47,17,0.60625,0.6058651026392962,0.6066666666666667,0.60625,0.21250000000000002
B64,0.6808011265842591,88,100,88,0.4875,0.4661458333333333,0.4851190476190476,0.4875,-0.02499999999999991
B65,0.6560350218886805,79,100,79,0.8375,0.834368530020704,0.8651115618661258,0.8374999999999999,0.675
B66,0.6651541229854483,72,100,72,0.5875,0.5250944414463034,0.6844532279314888,0.5875,0.17500000000000004
B67,0.655033859602701,76,100,76,0.56875,0.5611908263444493,0.5738378922638027,0.56875,0.13749999999999996
B68,0.6708334966103687,37,67,37,0.525,0.4933333333333333,0.5333333333333334,0.525,0.050000000000000044
B69,0.5665260712757503,62,92,62,0.6625,0.625974025974026,0.7666666666666666,0.6625,0.32499999999999996
B70,0.7181306581844874,93,100,93,0.56875,0.5470769230769231,0.585024154589372,0.56875,0.13749999999999996
B71,0.6819398519918123,22,52,22,0.4875,0.4823232323232323,0.48697916666666663,0.48750000000000004,-0.02499999999999991
B72,0.6655074049470517,79,100,79,0.48125,0.34487691776429386,0.3879551820728291,0.48125,-0.03750000000000009
B73,0.613472706155633,84,100,84,0.775,0.7630019749835418,0.8448275862068966,0.775,0.55
B74,0.642209123275042,70,100,70,0.65,0.6405071417108008,0.6677148846960168,0.65,0.30000000000000004
B75,0.6774756570327268,51,81,51,0.69375,0.6936422961197295,0.6940228446252543,0.6937500000000001,0.38749999999999996
B76,0.6542409508373852,85,100,85,0.76875,0.755684866493335,0.8418803418803419,0.76875,0.5375
B77,0.6781218566587564,56,86,56,0.49375,0.4313544820323812,0.48886104149262044,0.49374999999999997,-0.012499999999999956
B78,0.6836799608514803,49,79,49,0.74375,0.7323650605850435,0.7937299943513463,0.7437499999999999,0.48750000000000004
B79,0.6497229253608812,64,94,64,0.90625,0.9056269906806653,0.9172684962285347,0.90625,0.8125
B80,0.6877811526307919,47,77,47,0.5,0.3333333333333333,0.25,0.5,0.0
B81,0.6430668075613479,43,73,43,0.53125,0.47347637225220485,0.5556947925368978,0.53125,0.0625
