subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.7333251026266243,47,77,47,0.7222222222222222,0.7077922077922079,0.7769230769230769,0.7222222222222222,0.4444444444444444
VP002,0.7471734516689177,24,54,24,0.5138888888888888,0.41975592908128023,0.5395604395604395,0.5138888888888888,0.02777777777777779
VP003,0.7332592386774104,71,100,71,0.7083333333333334,0.7069199457259159,0.7124311565696302,0.7083333333333333,0.41666666666666663
VP004,0.7721940980367947,76,100,76,0.5277777777777778,0.42857142857142855,0.5909090909090908,0.5277777777777778,0.05555555555555558
VP005,0.7277693755980124,55,85,55,0.8055555555555556,0.804953560371517,0.809375,0.8055555555555556,0.6111111111111112
VP006,0.7276432806324111,45,75,45,0.5833333333333334,0.4957983193277311,0.7727272727272727,0.5833333333333334,0.16666666666666663
VP007,0.7466572836030965,21,51,21,0.5694444444444444,0.48606953718627677,0.6978021978021978,0.5694444444444444,0.13888888888888884
VP008,0.7472046669907633,66,96,66,0.7638888888888888,0.7601410934744268,0.7814814814814814,0.7638888888888888,0.5277777777777778
VP009,0.7636682396373158,74,100,74,0.5138888888888888,0.45864661654135336,0.5234680573663624,0.513888888888889,0.02777777777777779
VP010,0.7027571359122161,36,66,36,0.6388888888888888,0.6017021276595744,0.7216748768472906,0.6388888888888888,0.2777777777777778
VP011,0.7527758701841836,52,82,52,0.5,0.35650446871896724,0.5,0.5,0.0
VP012,0.7492260061919505,31,61,31,0.8194444444444444,0.8151293699387715,0.8523404255319149,0.8194444444444444,0.6388888888888888
VP013,0.7442471042471042,72,100,72,0.5694444444444444,0.48606953718627677,0.6978021978021978,0.5694444444444444,0.13888888888888884
VP014,0.7190781188432447,74,100,74,0.6666666666666666,0.6625,0.6753246753246753,0.6666666666666667,0.33333333333333337
VP015,0.738816337871631,68,98,68,0.6388888888888888,0.6246992782678429,0.6636363636363636,0.6388888888888888,0.2777777777777778
VP016,0.7499922837124602,18,48,18,0.5277777777777778,0.39225422045680236,0.7571428571428571,0.5277777777777778,0.05555555555555558
VP017,0.7637995847195314,55,85,55,0.625,0.5735906997148498,0.7414307004470939,0.625,0.25
VP018,0.7135153093153881,50,80,50,0.6944444444444444,0.6934984520123839,0.696875,0.6944444444444444,0.38888888888888884
VP019,0.7472202717613562,79,100,79,0.7222222222222222,0.7037037037037037,0.7962962962962963,0.7222222222222222,0.4444444444444444
VP020,0.7777709188555202,18,48,18,0.6805555555555556,0.650853889943074,0.7736842105263158,0.6805555555555556,0.36111111111111116
VP021,0.6999166435120867,57,87,57,0.625,0.5901328273244781,0.6894736842105263,0.625,0.25
VP022,0.7638433339764614,55,85,55,0.5694444444444444,0.5294117647058824,0.6052631578947368,0.5694444444444444,0.13888888888888884
VP023,0.7471266142291453,54,84,54,0.5972222222222222,0.5313131313131313,0.7222222222222222,0.5972222222222222,0.19444444444444442
VP024,0.7777160322311754,86,100,86,0.6388888888888888,0.6017021276595744,0.7216748768472906,0.6388888888888888,0.2777777777777778
VP025,0.7357665474268142,76,100,76,0.8055555555555556,0.803125,0.8214285714285714,0.8055555555555556,0.6111111111111112
VP026,0.7249978780700468,43,73,43,0.8055555555555556,0.8041958041958042,0.8142857142857143,0.8055555555555556,0.6111111111111112
