subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.7998242627272227,59,89,59,0.7592592592592593,0.7507102272727273,0.800476947535771,0.7592592592592593,0.5185185185185186
VP002,0.8166660379493758,64,94,64,0.7129629629629629,0.6993264481365065,0.7601591956430667,0.712962962962963,0.42592592592592593
VP003,0.807396839332748,55,85,55,0.7685185185185185,0.7594226142742582,0.8163636363636364,0.7685185185185185,0.537037037037037
VP004,0.7925897474588128,53,83,53,0.5185185185185185,0.5125,0.5194805194805194,0.5185185185185185,0.03703703703703709
VP005,0.7925897474588128,48,78,48,0.7129629629629629,0.6967116586647342,0.7710606721955477,0.7129629629629629,0.42592592592592593
VP006,0.8036363636363637,33,63,33,0.5925925925925926,0.5856295779560516,0.5992647058823529,0.5925925925925926,0.18518518518518523
VP007,0.8055228759290827,49,79,49,0.5092592592592593,0.3684210526315789,0.5857142857142856,0.5092592592592593,0.01851851851851849
VP008,0.8092533720176549,44,74,44,0.7314814814814815,0.7229054233389365,0.764187866927593,0.7314814814814815,0.4629629629629629
VP009,0.8425488561637492,66,96,66,0.6944444444444444,0.6629787234042553,0.8103448275862069,0.6944444444444444,0.38888888888888884
VP010,0.8148148148148148,64,94,64,0.6574074074074074,0.6439454691259021,0.6854545454545454,0.6574074074074074,0.31481481481481477
VP011,0.8295922287470501,67,97,67,0.5555555555555556,0.4763636363636364,0.640625,0.5555555555555556,0.11111111111111116
VP012,0.797992277992278,56,86,56,0.5648148148148148,0.5069451189898009,0.6221719457013575,0.5648148148148149,0.12962962962962965
VP013,0.8166509474406243,55,85,55,0.7314814814814815,0.7162786484282997,0.7946311654299432,0.7314814814814814,0.4629629629629629
VP014,0.7777655838454784,29,59,29,0.6574074074074074,0.6380106893740375,0.7003491924923615,0.6574074074074074,0.31481481481481477
VP015,0.8148122745167972,59,89,59,0.5462962962962963,0.460825267447784,0.626522961574508,0.5462962962962963,0.09259259259259256
VP016,0.8200982968068993,73,100,73,0.5555555555555556,0.49275929549902153,0.6100543478260869,0.5555555555555556,0.11111111111111116
VP017,0.8055015282022784,53,83,53,0.7685185185185185,0.7554126279554307,0.8417721518987342,0.7685185185185186,0.537037037037037
VP018,0.8163889833390003,37,67,37,0.6574074074074074,0.6118504128217581,0.7967032967032968,0.6574074074074074,0.31481481481481477
VP019,0.8036606113824707,33,63,33,0.7314814814814815,0.7296037296037297,0.7380952380952381,0.7314814814814814,0.4629629629629629
VP020,0.8092586051392494,30,60,30,0.6759259259259259,0.6507437863808556,0.7472289156626506,0.6759259259259259,0.35185185185185186
VP021,0.7796107348023664,56,86,56,0.7314814814814815,0.7261998426435878,0.7508361204013378,0.7314814814814814,0.4629629629629629
VP022,0.8258877119806817,40,70,40,0.8055555555555556,0.8051378984448836,0.8081978554133518,0.8055555555555556,0.6111111111111112
VP023,0.8314809035696282,68,98,68,0.7222222222222222,0.7213622291021672,0.725,0.7222222222222222,0.4444444444444444
VP024,0.8166610080558042,53,83,53,0.6944444444444444,0.6771446689011686,0.7474901789611523,0.6944444444444444,0.38888888888888884
VP025,0.7721839403740683,40,70,40,0.6203703703703703,0.556445958128819,0.7842105263157895,0.6203703703703703,0.2407407407407407
VP026,0.8018348623853211,78,100,78,0.5833333333333334,0.4957983193277311,0.7727272727272727,0.5833333333333334,0.16666666666666663
